Date,ZRX,ETC,TRX,KAVA,TRU,FUN,HIVE,SUN,HARD,COS
2022-03-09 10:00:00,4434.7181983164755,8700.655853249787,1036.1094493314777,4592.524536612752,4049.5269380840073,3088.621460918221,1478.6981488037527,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 11:00:00,4434.7181983164755,8634.238632995972,1036.1094493314777,4557.467097401968,4049.5269380840073,3088.621460918221,1478.6981488037527,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 12:00:00,4434.7181983164755,8672.066622625744,1036.1094493314777,4577.434094542829,4049.5269380840073,3088.621460918221,1478.6981488037527,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 13:00:00,4434.7181983164755,8587.415213077335,1036.1094493314777,4532.751982990892,4049.5269380840073,3088.621460918221,1478.6981488037527,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 14:00:00,4434.7181983164755,8495.27556486835,1036.1094493314777,4484.117305061805,4049.5269380840073,3088.621460918221,1478.6981488037527,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 15:00:00,4434.7181983164755,8513.544974685272,1036.1094493314777,4493.760568083444,4049.5269380840073,3081.99351786904,1478.6981488037527,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 16:00:00,4453.874648417194,8550.320546930134,1036.1094493314777,4513.172060818146,4049.5269380840073,3068.7376317706785,1478.6981488037527,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 17:00:00,4507.418496649532,8653.111285745688,1036.1094493314777,4567.428774117599,4049.5269380840073,3032.2839450001843,1478.6981488037527,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 18:00:00,4502.497734098605,8643.664657704481,1037.241809385392,4562.442498163323,4049.5269380840073,3035.597916524775,1477.0838495146656,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 19:00:00,4532.18453234541,8700.655853249787,1030.4476490619065,4592.524536612752,4049.5269380840073,3015.7140873772323,1486.8228639070703,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 20:00:00,4522.245531177985,8681.575467606694,1032.712369169735,4582.453210874566,4049.5269380840073,3015.7140873772323,1483.5622874511337,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 21:00:00,4527.209576766546,8691.105188207799,1031.5800091158208,4587.483346122507,4049.5269380840073,3015.7140873772323,1485.1907861201253,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 22:00:00,4478.05420676908,8596.739225252231,1042.9036096549626,4537.67353780413,4049.5269380840073,3015.7140873772323,1469.0649361079631,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-09 23:00:00,4497.587703854224,8634.238632995972,1038.374169439306,4557.467097401968,4049.5269380840073,3015.7140873772323,1475.473071052818,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-10 00:00:00,4592.74824547252,8816.922969328849,1016.8593284149363,4653.894574963924,4049.5269380840073,3015.7140873772323,1506.6913208857839,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-10 01:00:00,4587.639515499803,8807.11549105373,1017.991688468851,4648.7178290518395,4049.5269380840073,3015.7140873772323,1505.0153572363001,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-10 02:00:00,4587.639515499803,8807.11549105373,1017.991688468851,4648.7178290518395,4049.5269380840073,3015.7140873772323,1505.0153572363001,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-10 03:00:00,4670.767751341248,8966.700822714953,999.8739276062238,4732.952806701703,4049.5269380840073,3015.7140873772323,1532.286303686788,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-10 04:00:00,4670.767751341248,8966.700822714953,972.6972863122834,4732.952806701703,4049.5269380840073,3015.7140873772323,1575.0975624626703,1365.7679643379067,2707.3362762910747,4174.752311825484
2022-03-10 05:00:00,4670.767751341248,8966.700822714953,979.4914466357685,4732.952806701703,4049.5269380840073,2994.795839372303,1564.1720302374958,1365.7679643379067,2707.3362762910747,4174.752311825484
