time_entered,time_exited,log_return,trade_type,reference_coin,trading_coin,strategy_type
2024-03-06 12:00:00,2024-03-07 13:00:00,-0.019076147060813644,short,1000LUNC,IOTA,both
2024-03-08 02:00:00,2024-03-09 03:00:00,-0.006228701733419955,long,1000LUNC,IOTA,both
2024-03-10 06:00:00,2024-03-13 02:00:00,-0.09232341204506296,short,1000LUNC,IOTA,both
2024-03-13 15:00:00,2024-03-14 09:00:00,-0.020904929523366277,short,1000LUNC,IOTA,both
2024-03-17 00:00:00,2024-03-17 14:00:00,0.055071331398294066,long,1000LUNC,IOTA,both
2024-03-21 00:00:00,2024-03-21 20:00:00,-0.02011517613447961,short,1000LUNC,IOTA,both
2024-03-22 17:00:00,2024-03-23 17:00:00,0.025407380519781905,long,1000LUNC,IOTA,both
2024-03-24 18:00:00,2024-03-24 20:00:00,0.018343433657200113,long,1000LUNC,IOTA,both
2024-03-25 06:00:00,2024-03-25 13:00:00,0.00423986098500452,long,1000LUNC,IOTA,both
2024-03-25 15:00:00,2024-03-26 13:00:00,-0.04544288070937487,short,1000LUNC,IOTA,both
2024-03-26 22:00:00,2024-03-27 06:00:00,0.010008423826839282,short,1000LUNC,IOTA,both
2024-03-28 08:00:00,2024-03-28 19:00:00,0.01456608386653922,short,1000LUNC,IOTA,both
2024-03-28 22:00:00,2024-03-29 11:00:00,-0.01242602828425095,long,1000LUNC,IOTA,both
2024-03-29 21:00:00,2024-03-30 12:00:00,-0.007067167223092443,short,1000LUNC,IOTA,both
2024-03-31 15:00:00,2024-04-01 23:00:00,-0.05884050002293335,long,1000LUNC,IOTA,both
2024-04-08 11:00:00,2024-04-08 22:00:00,-0.022291944755452615,short,1000LUNC,IOTA,both
2024-04-09 03:00:00,2024-04-10 20:00:00,-0.07121707169214614,long,1000LUNC,IOTA,both
2024-04-11 05:00:00,2024-04-11 14:00:00,0.02875755929505247,short,1000LUNC,IOTA,both
