Date,AXS,OG,TRB,DIA,COTI,KNC,BAL,PSG,BEL,AAVE
2022-01-10 18:00:00,298024.11079021206,60347.2048379923,129650.8966034014,52616.46648765607,44604.51528854762,15268.527862923816,35149.46121536554,18613.422312686584,39253.330504592166,14529.175555947288
2022-01-10 19:00:00,298024.11079021206,59423.951356465266,129650.8966034014,51811.485776440175,44604.51528854762,15034.934251669067,35149.46121536554,18328.655072854097,39253.330504592166,14306.893315174791
2022-01-10 20:00:00,298024.11079021206,59548.18261365648,129650.8966034014,51919.802471443174,44604.51528854762,15066.366169965237,35149.46121536554,18366.972818651004,39253.330504592166,14336.80319666993
2022-01-10 21:00:00,298024.11079021206,59882.0196570407,129650.8966034014,52210.8735434625,44604.51528854762,15150.830731534774,35149.46121536554,18469.94113157968,39253.330504592166,14417.177706532135
2022-01-10 22:00:00,298024.11079021206,59714.63455667158,129650.8966034014,52064.93119952549,44604.51528854762,15108.480401048302,35149.46121536554,18418.313064125923,39253.330504592166,14376.878118253917
2022-01-10 23:00:00,298024.11079021206,59882.0196570407,129650.8966034014,52210.8735434625,44604.51528854762,15150.830731534774,35149.46121536554,18469.94113157968,39253.330504592166,14417.177706532135
2022-01-11 00:00:00,298024.11079021206,59423.951356465266,129650.8966034014,51811.485776440175,44604.51528854762,15034.934251669067,35149.46121536554,18328.655072854097,39253.330504592166,14306.893315174791
2022-01-11 01:00:00,298024.11079021206,58932.16693144627,129650.8966034014,51382.7010665662,44604.51528854762,14910.507209586292,35149.46121536554,18176.969651561518,39253.330504592166,14188.491439463005
2022-01-11 02:00:00,298024.11079021206,58729.65089388114,129650.8966034014,51206.12821066735,44604.51528854762,14859.268353195961,35149.46121536554,18114.505838325913,39253.330504592166,14139.733736921895
2022-01-11 03:00:00,298024.11079021206,59095.18814010863,129650.8966034014,51524.838552227506,44604.51528854762,14951.753425933692,35149.46121536554,18227.25172528644,39253.330504592166,14227.740378438004
2022-01-11 04:00:00,298024.11079021206,59218.04715911093,129650.8966034014,51631.95879869784,44604.51528854762,14982.838152390934,35149.46121536554,18265.146219517806,39253.330504592166,14257.319880264278
2022-01-11 05:00:00,298024.11079021206,59300.2373702964,129650.8966034014,51703.62008780082,44604.51528854762,15003.633208813406,35149.46121536554,18290.49687353518,39253.330504592166,14277.107971701147
2022-01-11 06:00:00,298024.11079021206,59177.03743116143,129650.8966034014,51596.20259454361,44604.51528854762,14972.462225692603,35149.46121536554,18252.497226290994,39253.330504592166,14247.446390042489
2022-01-11 07:00:00,298024.11079021206,59218.04715911093,129650.8966034014,51631.95879869784,44604.51528854762,14982.838152390934,35149.46121536554,18265.146219517806,39253.330504592166,14257.319880264278
2022-01-11 08:00:00,298024.11079021206,59341.41809069241,129650.8966034014,51739.52537952845,44604.51528854762,15014.052398541748,35149.46121536554,18303.198607475137,39253.330504592166,14287.022630014826
2022-01-11 09:00:00,298024.11079021206,59756.393042375545,129650.8966034014,52101.34024232235,44604.51528854762,15119.045771958125,35149.46121536554,18431.193003331602,39253.330504592166,14386.931879175769
2022-01-11 10:00:00,298024.11079021206,53440.676704563484,129650.8966034014,46594.69452565416,44604.51528854762,13521.097844840602,35149.46121536554,16483.180734686804,39253.330504592166,12866.361843165327
2022-01-11 11:00:00,288705.03290433926,51769.611141569025,125596.7722568285,45137.69969996141,43209.75245901206,13098.29928809137,34050.35361013211,15967.759198267584,38025.89678024596,12464.03658227836
2022-01-11 12:00:00,283859.1124036852,50900.65704881189,123488.62759661053,44380.06239060118,42484.47578765356,12878.444038581765,33478.81765541069,15699.739999329588,37387.63124358592,12254.827446617133
2022-01-11 13:00:00,279572.3365761837,50131.96688983443,121623.73039718696,43709.844770782525,41842.8848860672,12683.956702477119,32973.22815700332,15462.646092576746,36823.01173038666,12069.75782660913
2022-01-11 14:00:00,280131.48124933604,50232.23082361408,121866.97785798134,43797.26446032407,41926.57065583932,12709.324615882068,33039.174613317315,15493.571384761895,36896.65775384742,12093.897342262342
2022-01-11 15:00:00,282368.05994194566,50633.28655873277,122839.96770115891,44146.94321849034,42261.31373492787,12810.796269501887,33302.96043857334,15617.272553502511,37191.24184769052,12190.455404875218
2022-01-11 16:00:00,282181.67838422826,50599.86524747288,122758.88521422744,44117.80332197649,42233.41847833716,12802.340298366902,33280.97828646867,15606.964122774127,37166.693173203596,12182.408899657477
