Date,PSG,CELR,TRU,ASR,COTI,OG,EOS,DCR,BTC,MDT
2022-11-24 17:00:00,247.83839752287875,330.03868080254114,229.14242885651785,121.00104024772631,148.4208245674654,100.12231372039332,114.1959375113451,61.85016720842517,89.2323154020385,78.31192009411822
2022-11-24 18:00:00,248.31065056693907,330.6675654839483,229.57905696028405,121.23160625429588,148.4208245674654,100.12231372039332,114.1959375113451,61.96802194777048,89.2323154020385,78.31192009411822
2022-11-24 19:00:00,246.70499021713385,328.52935756716363,228.0945214074789,120.44768183195926,148.4208245674654,100.12231372039332,114.1959375113451,61.56731583399639,89.2323154020385,78.82160716976907
2022-11-24 20:00:00,246.70499021713385,327.77469594947485,227.57056768295942,120.44768183195926,148.4208245674654,100.12231372039332,114.1959375113451,61.425890146782,89.2323154020385,79.00308439272325
2022-11-24 21:00:00,246.70499021713385,330.5417885476669,229.49173133953084,120.44768183195926,148.4208245674654,100.12231372039332,114.1959375113451,61.94445099990142,89.2323154020385,78.34171915047062
2022-11-24 22:00:00,246.70499021713385,330.1644577388225,229.22975447727106,120.44768183195926,148.4208245674654,100.12231372039332,114.1959375113451,61.873738156294216,89.2323154020385,78.43125254378545
2022-11-24 23:00:00,246.70499021713385,325.3849341601273,225.91138088864778,120.44768183195926,148.4208245674654,100.12231372039332,114.1959375113451,60.97804213726979,89.2323154020385,79.58331578176913
2022-11-25 00:00:00,246.70499021713385,323.6240570521869,225.91138088864778,120.44768183195926,148.4208245674654,100.66709117553731,114.1959375113451,60.64804886710289,89.2323154020385,80.01633809849855
2022-11-25 01:00:00,246.70499021713385,321.6116260716835,225.91138088864778,120.44768183195926,148.4208245674654,101.29699866822743,114.1959375113451,60.27091370119785,89.2323154020385,80.5170269563695
2022-11-25 02:00:00,246.70499021713385,323.2467262433424,225.91138088864778,120.44768183195926,148.4208245674654,100.78460139869944,114.1959375113451,60.27091370119785,89.2323154020385,80.10974238421666
2022-11-25 03:00:00,246.70499021713385,322.49206462565365,225.91138088864778,120.44768183195926,148.4208245674654,101.02044679978844,114.1959375113451,60.27091370119785,89.2323154020385,80.29720667996756
2022-11-25 04:00:00,246.70499021713385,321.7374030079649,225.91138088864778,120.44768183195926,148.4208245674654,101.257398590562,114.1959375113451,60.27091370119785,89.2323154020385,80.48555040165631
2022-11-25 05:00:00,246.70499021713385,324.7560494787199,225.91138088864778,120.44768183195926,148.4208245674654,100.31619891350022,114.1959375113451,60.27091370119785,89.2323154020385,79.73742754741937
2022-11-25 06:00:00,246.70499021713385,323.7498339884682,225.91138088864778,120.44768183195926,148.4208245674654,100.31619891350022,114.1959375113451,60.27091370119785,89.2323154020385,79.98525172006093
2022-11-25 07:00:00,246.70499021713385,323.7498339884682,225.91138088864778,120.44768183195926,148.4208245674654,100.31619891350022,114.32918831357534,60.27091370119785,89.2323154020385,80.07858340234804
2022-11-25 08:00:00,246.70499021713385,323.7498339884682,225.91138088864778,120.44768183195926,148.4208245674654,100.31619891350022,114.06299695545292,60.27091370119785,89.2323154020385,79.89213734087573
2022-11-25 09:00:00,246.70499021713385,323.7498339884682,225.91138088864778,120.44768183195926,148.4208245674654,100.31619891350022,113.49047998231744,60.27091370119785,89.2323154020385,79.49113433491767
2022-11-25 10:00:00,246.70499021713385,323.7498339884682,225.91138088864778,120.44768183195926,148.4208245674654,100.31619891350022,112.44848628699394,60.27091370119785,89.2323154020385,78.76129989572944
2022-11-25 11:00:00,246.70499021713385,323.7498339884682,225.91138088864778,120.44768183195926,148.4208245674654,100.31619891350022,113.01051255447987,60.27091370119785,89.2323154020385,79.15495498940282
2022-11-25 12:00:00,246.70499021713385,323.7498339884682,225.04615154782576,120.44768183195926,148.4208245674654,100.31619891350022,112.57768791811651,60.27091370119785,89.2323154020385,79.15495498940282
2022-11-25 13:00:00,246.70499021713385,323.7498339884682,224.18752449117628,120.44768183195926,148.4208245674654,100.31619891350022,112.14816602602144,60.27091370119785,89.2323154020385,79.15495498940282
2022-11-25 14:00:00,246.70499021713385,323.7498339884682,225.04615154782576,120.44768183195926,148.4208245674654,100.31619891350022,112.57768791811651,60.27091370119785,89.2323154020385,79.15495498940282
2022-11-25 15:00:00,246.70499021713385,323.7498339884682,224.78787363862773,120.44768183195926,148.4208245674654,100.31619891350022,112.44848628699394,60.27091370119785,89.2323154020385,79.15495498940282
2022-11-25 16:00:00,246.70499021713385,323.7498339884682,224.35872534989426,120.44768183195926,148.4208245674654,100.31619891350022,112.23380800084085,60.27091370119785,89.2323154020385,79.15495498940282
2022-11-25 17:00:00,246.70499021713385,323.7498339884682,223.5053258620666,120.44768183195926,148.4208245674654,100.31619891350022,111.80690116173535,60.27091370119785,89.2323154020385,79.15495498940282
2022-11-25 18:00:00,246.70499021713385,323.7498339884682,223.5053258620666,120.44768183195926,148.4208245674654,100.31619891350022,112.06265465276485,60.133361216524136,89.2323154020385,79.15495498940282
2022-11-25 19:00:00,246.70499021713385,323.7498339884682,223.5053258620666,120.44768183195926,148.4208245674654,100.31619891350022,112.01994784840022,60.15628663063643,89.2323154020385,79.15495498940282
2022-11-25 20:00:00,246.70499021713385,323.7498339884682,223.5053258620666,120.44768183195926,148.4208245674654,100.31619891350022,112.27667805737289,60.0187341459627,89.2323154020385,79.15495498940282
2022-11-25 21:00:00,246.70499021713385,323.7498339884682,223.5053258620666,120.44768183195926,148.4208245674654,100.31619891350022,112.40548495380582,59.949957903625844,89.2323154020385,79.15495498940282
2022-11-25 22:00:00,246.70499021713385,323.7498339884682,222.0617124351459,119.66971428213273,148.4208245674654,99.66825993875494,111.67946168472727,60.33968994353471,89.2323154020385,79.15495498940282
2022-11-25 23:00:00,246.70499021713385,323.7498339884682,219.72422072530227,118.41003307916293,148.4208245674654,98.61912036045226,111.67946168472727,60.981601538678696,89.2323154020385,79.15495498940282
2022-11-26 00:00:00,246.70499021713385,320.496672277382,217.51634801983772,117.22020394141174,148.4208245674654,97.62815785589989,111.67946168472727,61.600587719710404,89.2323154020385,79.15495498940282
2022-11-26 01:00:00,246.70499021713385,323.26372312662363,217.51634801983772,118.2322402367017,148.4208245674654,98.47104360315427,111.67946168472727,61.07330319512785,89.2323154020385,79.15495498940282
2022-11-26 02:00:00,246.70499021713385,323.38511393515796,217.51634801983772,118.2766383742296,148.4208245674654,98.5080210885479,111.67946168472727,61.05037778101554,89.2323154020385,79.15495498940282
