,0
2021-01-10 07:00:00,1003.9089630052272
2021-01-19 20:00:00,989.1104174636125
2021-01-25 16:00:00,973.1414208193609
2021-01-27 01:00:00,976.1067413807011
2021-01-29 17:00:00,1108.3077375825987
2021-01-31 06:00:00,1098.4886650645287
2021-02-01 15:00:00,1056.5229966204681
2021-02-03 08:00:00,1078.8697150842952
2021-02-06 10:00:00,1147.4222219585713
2021-02-08 08:00:00,1177.159984561542
2021-02-08 15:00:00,1197.2133531396034
2021-02-09 10:00:00,1224.2882807566639
2021-02-09 16:00:00,1229.2004961376551
2021-02-12 08:00:00,1217.889531274528
2021-02-14 23:00:00,1209.1431308158537
2021-02-15 20:00:00,1211.2881492578545
2021-02-17 12:00:00,1202.0681318389677
2021-02-18 23:00:00,1195.4142652365144
2021-02-20 03:00:00,1274.8188135468192
2021-02-20 22:00:00,1237.0699164326504
2021-02-26 22:00:00,1204.4777723324553
2021-03-02 05:00:00,1194.8221444930507
2021-03-03 20:00:00,1185.7157152438265
2021-03-09 10:00:00,1274.5902244991785
2021-03-10 23:00:00,1248.7015879053215
2021-03-14 13:00:00,1259.03199372504
2021-03-18 13:00:00,1264.9537105088034
2021-03-19 23:00:00,1257.698591930524
2021-03-24 16:00:00,1246.1335700108918
2021-03-29 12:00:00,1248.5642126788125
2021-04-07 14:00:00,1252.9155845235448
2021-04-10 17:00:00,1232.94228418869
2021-04-13 02:00:00,1235.3386730732477
2021-04-14 00:00:00,1247.2272657091635
2021-04-18 07:00:00,1273.6588134248912
2021-04-20 12:00:00,1257.5552237724426
2021-04-23 21:00:00,1227.631592798087
2021-05-01 19:00:00,1321.1985701257875
2021-05-03 20:00:00,1292.1501912162717
2021-05-04 17:00:00,1276.6375568481858
2021-05-06 18:00:00,1234.9258717679784
2021-05-08 15:00:00,1216.6925520742882
2021-05-10 21:00:00,1161.2753202111794
2021-05-16 18:00:00,1067.3220353456759
2021-05-20 12:00:00,1150.059901826727
2021-05-23 01:00:00,1202.019415705396
2021-05-23 21:00:00,1167.7751543506793
2021-05-29 22:00:00,1153.5828863421991
2021-06-04 04:00:00,1198.31589586827
2021-06-05 14:00:00,1155.9755965524878
2021-06-10 21:00:00,1166.7426673129673
2021-06-15 04:00:00,1276.2387838729485
2021-06-22 03:00:00,1305.215578364243
2021-06-23 11:00:00,1513.7894473094113
2021-06-25 06:00:00,1565.8609427798278
2021-07-02 17:00:00,1589.7748947152238
2021-07-05 06:00:00,1532.2296344115207
2021-07-06 15:00:00,1495.6571877263927
2021-07-07 15:00:00,1487.824356060911
2021-07-09 10:00:00,1505.7756982152175
2021-07-15 08:00:00,1531.366175873074
2021-07-20 16:00:00,1473.8664906512754
2021-07-22 00:00:00,1484.452061496233
2021-07-24 13:00:00,1480.2859066535405
2021-07-25 12:00:00,1468.4482061559995
2021-07-27 16:00:00,1561.4969109934327
2021-07-28 09:00:00,1563.6105580675116
2021-07-31 07:00:00,1548.1972808594346
2021-08-03 14:00:00,1492.9669798128562
2021-08-04 02:00:00,1493.598989225643
2021-08-07 07:00:00,1585.3606673097856
2021-08-08 10:00:00,1601.2372218201676
2021-08-10 06:00:00,1590.1795453104971
2021-08-12 01:00:00,1574.5700790615053
2021-08-13 06:00:00,1652.6686689186884
2021-08-18 23:00:00,1653.0140229243134
2021-08-20 12:00:00,1715.4290436509389
2021-08-21 00:00:00,1727.0079749601307
2021-08-23 21:00:00,1702.954595482378
2021-08-29 03:00:00,1679.6915035544
2021-09-02 00:00:00,1690.4872266709149
2021-09-03 00:00:00,1651.7939837946067
2021-09-04 01:00:00,1641.940763649171
2021-09-07 14:00:00,1546.9590991752689
2021-09-10 00:00:00,1526.461123248222
2021-09-11 17:00:00,1541.1346717078459
2021-09-14 19:00:00,1552.3200871176282
2021-09-16 17:00:00,1541.4842313297836
2021-09-19 13:00:00,1509.4663140254136
2021-09-22 14:00:00,1489.1377303009394
2021-09-22 19:00:00,1494.7169632837092
2021-09-27 23:00:00,1456.5646652358585
2021-09-29 07:00:00,1489.268883806403
2021-09-30 19:00:00,1493.5396384296175
2021-10-02 09:00:00,1624.946295552273
2021-10-07 07:00:00,1769.973738740537
2021-10-08 13:00:00,1718.5550592461573
2021-10-12 16:00:00,1703.1303391088006
2021-10-14 13:00:00,1740.4520042166932
2021-10-16 11:00:00,1814.3963632766845
2021-10-18 11:00:00,1804.2509560383878
2021-10-20 02:00:00,1822.1174822010855
2021-10-21 00:00:00,1793.0236988718275
2021-10-21 14:00:00,1732.239456602475
2021-10-26 17:00:00,1794.852782101151
2021-10-29 02:00:00,1882.1986488143784
2021-10-29 20:00:00,1875.049606397664
2021-10-31 09:00:00,1823.6787466810522
2021-11-02 02:00:00,1786.4624292083495
2021-11-03 02:00:00,1789.558178068794
2021-11-06 10:00:00,1740.240737475572
2021-11-09 15:00:00,1854.5951870911201
2021-11-10 21:00:00,1738.9355854464222
2021-11-15 12:00:00,1733.3398569586943
2021-11-16 00:00:00,1686.7907654664832
2021-11-20 12:00:00,1706.684762081006
2021-11-23 16:00:00,1700.2125139203279
2021-11-25 23:00:00,1764.8795694725923
2021-11-27 04:00:00,1789.759044826333
2021-11-30 01:00:00,1789.2959407736605
2021-12-05 05:00:00,1848.425433805581
2021-12-06 20:00:00,1864.5162748133466
2021-12-07 19:00:00,1873.6935454138024
2021-12-09 17:00:00,1784.1276284757957
2021-12-14 16:00:00,1736.562836016158
2021-12-22 16:00:00,1827.5988789543667
2021-12-25 02:00:00,1832.9585620988632
2021-12-27 23:00:00,1823.1705359621521
2021-12-31 18:00:00,1757.3907354528294
2022-01-04 18:00:00,1733.9855314045612
2022-01-07 03:00:00,1679.8602806282854
2022-01-09 07:00:00,1718.9092465444935
2022-01-11 13:00:00,1678.9013188574122
2022-01-14 00:00:00,1625.5219048021545
2022-01-16 19:00:00,1622.425925892184
2022-01-17 16:00:00,1602.239401280035
2022-01-20 20:00:00,1593.068493696758
2022-01-21 21:00:00,1523.5839165196553
2022-01-24 05:00:00,1479.0049244331226
2022-01-25 14:00:00,1518.188845629289
2022-01-26 01:00:00,1499.1411489686977
2022-01-26 14:00:00,1524.3492182638483
2022-01-29 09:00:00,1588.2192096007445
2022-01-31 09:00:00,1568.3300402113869
2022-02-05 19:00:00,1649.9032482084606
2022-02-07 12:00:00,1694.4273402775755
2022-02-09 15:00:00,1686.828319938745
2022-02-10 13:00:00,1642.0142492134946
2022-02-10 20:00:00,1611.1555411698027
2022-02-12 02:00:00,1622.4196770600224
2022-02-14 00:00:00,1605.3854020665422
2022-02-16 16:00:00,1592.954496030235
2022-02-19 08:00:00,1574.6271075709765
2022-02-22 12:00:00,1532.2074349072975
2022-02-25 08:00:00,1654.3674487151127
2022-03-02 01:00:00,1828.8886350176085
2022-03-02 19:00:00,1783.3910547226485
2022-03-06 10:00:00,1743.1844363920088
2022-03-09 01:00:00,1773.3755893807636
2022-03-09 20:00:00,1800.2190561114776
2022-03-11 18:00:00,1743.5334063066432
2022-03-16 16:00:00,1798.0573620653804
2022-03-19 07:00:00,1824.8085021330598
2022-03-20 13:00:00,1793.8632595636898
2022-03-23 03:00:00,1755.6580103961876
2022-03-25 10:00:00,1806.6480234691348
2022-03-29 07:00:00,1854.7816355403802
2022-03-29 20:00:00,1854.248143923112
2022-04-02 11:00:00,1861.2235071875523
2022-04-05 08:00:00,1875.628169342515
