,0
2021-01-08 14:00:00,1043.089763210677
2021-01-10 16:00:00,1514.8330992434046
2021-01-12 03:00:00,1534.5277302502625
2021-01-13 02:00:00,1480.1586597715832
2021-01-23 08:00:00,1502.8565120877424
2021-01-28 00:00:00,1500.307641932083
2021-01-31 08:00:00,1591.7433808429244
2021-02-03 08:00:00,1651.758657235832
2021-02-06 00:00:00,2272.869298158539
2021-02-06 14:00:00,2150.0785214349207
2021-02-07 14:00:00,1978.1469528733815
2021-02-08 07:00:00,1999.3012727294085
2021-02-11 05:00:00,2124.702595110824
2021-02-15 13:00:00,2170.5017399387684
2021-02-16 01:00:00,2186.1947565729256
2021-02-20 18:00:00,2382.7545785954226
2021-02-24 17:00:00,2619.324954411864
2021-03-01 12:00:00,3079.3431046245623
2021-03-05 14:00:00,3147.3176509627165
2021-03-06 03:00:00,3095.9807075880813
2021-03-08 02:00:00,3086.720545950231
2021-03-11 07:00:00,2968.696367277676
2021-03-12 19:00:00,2815.7893529346957
2021-03-14 19:00:00,2710.8387559860194
2021-03-16 15:00:00,2742.8473802688213
2021-03-17 18:00:00,2783.688794379913
2021-03-21 13:00:00,2631.2463403456336
2021-03-24 12:00:00,2692.225336509388
2021-03-26 10:00:00,2772.904093838636
2021-03-28 05:00:00,2888.8681536431213
2021-04-01 19:00:00,2903.940621440477
2021-04-02 14:00:00,3047.944689430568
2021-04-03 04:00:00,2985.8180951020904
2021-04-07 09:00:00,2782.0488645622336
2021-04-10 20:00:00,2660.0399914036443
2021-04-13 07:00:00,2893.302973529757
2021-04-14 18:00:00,2838.167575871648
2021-04-16 09:00:00,3425.152348619541
2021-04-17 07:00:00,3342.8498611082487
2021-04-20 02:00:00,3444.2956199145997
2021-04-20 13:00:00,3485.351803078597
2021-04-22 14:00:00,4341.659092821279
2021-04-23 03:00:00,3729.4745127336373
2021-04-23 23:00:00,3804.9285591094945
2021-04-25 05:00:00,3408.8542136511096
2021-04-26 02:00:00,3426.886277554595
2021-04-28 00:00:00,3540.9180935619816
2021-05-02 01:00:00,3683.4041112354416
2021-05-03 12:00:00,3941.8646256212446
2021-05-04 01:00:00,3830.271284895948
2021-05-04 11:00:00,3806.225925420525
2021-05-08 21:00:00,4021.8727144064273
2021-05-11 09:00:00,4071.6534336735444
2021-05-12 10:00:00,3777.7241089092627
2021-05-13 07:00:00,3461.731853463465
2021-05-17 22:00:00,3091.4281589384063
2021-05-18 18:00:00,2928.3219486604185
2021-05-20 05:00:00,3161.5523656384607
2021-05-25 02:00:00,5127.843867668225
2021-06-05 06:00:00,5293.8798003671745
2021-06-12 17:00:00,5475.077914040502
2021-06-23 07:00:00,6651.899029467378
2021-07-01 17:00:00,6621.6207041511725
2021-07-06 16:00:00,6501.213890123766
2021-07-09 22:00:00,6468.254030653937
2021-07-13 07:00:00,6441.819561294793
2021-07-16 06:00:00,6485.18234327287
2021-07-30 03:00:00,6711.8108435396
2021-08-06 20:00:00,6699.552070459901
2021-08-10 12:00:00,6682.777666146346
2021-08-14 04:00:00,7435.613189193757
2021-08-15 08:00:00,7189.1775667814045
2021-08-20 08:00:00,7504.865701262656
2021-08-22 01:00:00,7364.924054126727
2021-08-23 17:00:00,7272.92818186596
2021-08-27 19:00:00,7504.7426887713345
2021-09-01 09:00:00,7513.239425469632
2021-09-04 13:00:00,7384.6018323101725
2021-09-14 08:00:00,7674.615286088173
2021-09-16 18:00:00,7564.297392397261
2021-09-26 14:00:00,7551.476549359301
2021-09-28 23:00:00,7202.200546219771
2021-10-05 11:00:00,7210.687035472975
2021-10-10 18:00:00,7143.998600462821
2021-10-13 11:00:00,7141.04653492544
2021-10-16 16:00:00,7122.00374416564
2021-10-22 00:00:00,7196.623108190658
2021-10-26 15:00:00,7102.381615107209
2021-11-01 16:00:00,7014.206272668954
2021-11-04 02:00:00,8484.926942744705
2021-11-07 06:00:00,8451.400724992669
2021-11-09 01:00:00,8611.112234756309
2021-11-14 09:00:00,8859.903716725812
2021-11-16 14:00:00,8158.6982328201675
2021-11-19 05:00:00,7391.707799843127
2021-11-21 06:00:00,7450.1787910086605
2021-11-24 00:00:00,7714.081581970822
2021-11-24 16:00:00,7383.3017637359135
2021-11-25 16:00:00,7953.081912761707
2021-11-27 08:00:00,8123.008557709026
2021-12-02 16:00:00,7934.789226679689
2021-12-04 12:00:00,7514.281963514633
2021-12-19 02:00:00,7833.495300962156
2021-12-24 01:00:00,8231.436862251034
2021-12-26 09:00:00,8009.949618998425
2021-12-29 14:00:00,7872.617946902359
2022-01-01 01:00:00,7981.534407905763
2022-01-03 13:00:00,8067.631662805267
2022-01-03 15:00:00,7797.559135362194
2022-01-05 00:00:00,7706.7441896089795
2022-01-06 19:00:00,7920.528362217506
2022-01-07 16:00:00,7982.865853957179
2022-01-14 21:00:00,8045.89823645475
2022-01-16 09:00:00,8002.38729511295
2022-01-17 03:00:00,7687.94470382595
2022-01-18 21:00:00,7725.31925270211
2022-01-22 21:00:00,7571.229326906974
2022-01-25 14:00:00,7756.098411470743
2022-01-28 17:00:00,7958.240353072811
2022-01-30 05:00:00,7999.114725713144
2022-02-01 18:00:00,8785.7145096335
2022-02-02 22:00:00,8444.598731832833
2022-02-04 03:00:00,8833.213491696284
2022-02-08 20:00:00,8805.209644575867
2022-02-10 15:00:00,8489.37887512911
2022-02-12 11:00:00,8397.239587880547
2022-02-17 04:00:00,8304.608167966278
2022-02-18 18:00:00,8098.360930140457
2022-02-23 13:00:00,8303.721791654492
2022-02-25 08:00:00,9780.401183532938
2022-02-25 23:00:00,9765.679054305343
2022-03-03 01:00:00,9682.085628362145
2022-03-04 11:00:00,9406.971530248165
2022-03-07 11:00:00,9510.885750640444
2022-03-10 09:00:00,8848.955973123344
2022-03-15 10:00:00,8758.352328347337
2022-03-15 22:00:00,8592.474443340761
2022-03-18 12:00:00,9165.602262984485
2022-03-28 19:00:00,9072.292105749102
2022-03-29 12:00:00,9084.863411207416
2022-03-29 19:00:00,8835.507599371897
2022-03-30 06:00:00,9024.930106266482
2022-03-30 20:00:00,8975.680828742516
2022-04-01 07:00:00,9023.539524387774
2022-04-02 07:00:00,9681.108225036623
2022-04-05 12:00:00,10039.822273874692
2022-04-12 13:00:00,9356.639101392093
2022-04-14 02:00:00,9260.624333804695
2022-04-15 02:00:00,9183.331694607577
2022-04-15 22:00:00,9192.76500913722
2022-04-22 19:00:00,8889.254580743771
2022-04-23 15:00:00,8794.209090009877
2022-04-24 15:00:00,8636.110949065878
2022-04-25 17:00:00,8780.878126824784
2022-04-27 18:00:00,8743.917124486978
2022-04-30 11:00:00,8649.418338017633
2022-05-01 09:00:00,8511.670468002752
2022-05-02 17:00:00,8171.203649282642
2022-05-03 05:00:00,8061.6700883002995
2022-05-06 07:00:00,7985.172488922267
2022-05-10 20:00:00,8250.151306940315
2022-05-11 23:00:00,7643.026517386246
2022-05-13 11:00:00,9879.84506491485
2022-05-15 00:00:00,10103.937614752811
2022-05-17 10:00:00,10922.636117133969
2022-05-27 15:00:00,10903.456773644708
2022-05-29 01:00:00,10714.84673060802
2022-05-30 17:00:00,10650.006508335051
2022-06-01 09:00:00,10561.72461565104
2022-06-04 09:00:00,10663.546675924623
2022-06-11 06:00:00,10633.309776087404
2022-06-12 11:00:00,10059.99805876021
2022-06-13 02:00:00,9024.24798480242
2022-06-15 10:00:00,7917.394039232161
2022-06-16 10:00:00,8068.613024974661
2022-06-20 14:00:00,9897.934196628834
2022-06-22 07:00:00,9058.423547490684
2022-06-22 23:00:00,8428.438348192067
2022-06-25 09:00:00,8592.415747962339
2022-07-06 03:00:00,8403.076051522457
2022-07-07 06:00:00,8569.213871479718
2022-07-09 22:00:00,8612.449057511401
2022-07-16 00:00:00,8660.509599126979
2022-07-16 21:00:00,8624.386514250535
2022-07-18 12:00:00,8692.563482742633
2022-07-19 14:00:00,8684.189144127273
2022-07-29 04:00:00,10595.089151876413
2022-07-30 05:00:00,10383.371471169932
2022-07-31 16:00:00,10178.729188533336
2022-08-07 18:00:00,10251.111262762906
2022-08-11 16:00:00,9665.590847930227
2022-08-18 10:00:00,9604.737180472113
2022-08-19 17:00:00,9593.450767804108
2022-08-20 05:00:00,9650.759314804136
2022-08-30 13:00:00,10273.799112466064
2022-09-07 09:00:00,10245.141374355977
2022-09-09 17:00:00,10086.301973203172
