Date,1INCH,LRC,SUSHI,ATM,KNC,SAND,AVA,DIA,AXS,TRU
2022-12-03 14:00:00,5891.501113669525,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2706.6539313707763,2493.1259385680864,2000.656648190338,1761.8382381031167,1684.375944016489
2022-12-03 15:00:00,5883.593058483391,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2703.0208388454466,2493.1259385680864,2000.656648190338,1761.8382381031167,1684.375944016489
2022-12-03 16:00:00,5875.685003297257,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2699.3877463201165,2493.1259385680864,2000.656648190338,1761.8382381031167,1684.375944016489
2022-12-03 17:00:00,5859.868892924988,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2692.1215612694564,2493.1259385680864,2000.656648190338,1761.8382381031167,1684.375944016489
2022-12-03 18:00:00,5865.140929715746,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2694.54362295301,2493.1259385680864,2000.656648190338,1761.8382381031167,1684.375944016489
2022-12-03 19:00:00,5836.144727366589,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2681.222283693467,2493.1259385680864,2000.656648190338,1761.8382381031167,1684.375944016489
2022-12-03 20:00:00,5830.872690575833,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2678.800222009914,2493.1259385680864,2000.656648190338,1761.8382381031167,1684.375944016489
2022-12-03 21:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2654.5796051743814,2493.1259385680864,2000.656648190338,1761.8382381031167,1684.375944016489
2022-12-03 22:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1687.4552419031736
2022-12-03 23:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1677.4884458355948
2022-12-04 00:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1672.170321233761
2022-12-04 01:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1675.2051131053286
2022-12-04 02:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1672.170321233761
2022-12-04 03:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1665.3820790636644
2022-12-04 04:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1668.3922590529346
2022-12-04 05:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1666.133605272628
2022-12-04 06:00:00,5778.152322668276,3266.4822419413254,4334.202075874652,3854.2840710374394,3058.266248025459,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1674.4453828953035
2022-12-04 07:00:00,5778.152322668276,3269.4477274083633,4334.202075874652,3854.2840710374394,3061.0427039927995,2649.7354818072745,2493.1259385680864,2000.656648190338,1761.8382381031167,1675.9655330386495
