coin,earliest_date,latest_date,data_span_days
HBAR,2019-09-29 04:00:00,2025-08-29 07:00:00,2161
NKN,2019-10-11 14:00:00,2025-08-29 07:00:00,2148
KAVA,2019-10-25 02:00:00,2025-08-29 07:00:00,2135
STX,2019-10-25 04:00:00,2025-08-29 07:00:00,2135
ARPA,2019-11-06 14:00:00,2025-08-29 07:00:00,2122
IOTX,2019-11-14 03:00:00,2025-08-29 07:00:00,2115
RLC,2019-11-14 03:00:00,2025-08-29 07:00:00,2115
BCH,2019-11-28 10:00:00,2025-08-29 07:00:00,2100
FTT,2019-12-20 03:00:00,2025-08-29 07:00:00,2079
EUR,2020-01-03 08:00:00,2025-08-29 07:00:00,2064
OGN,2020-01-09 03:00:00,2025-08-29 07:00:00,2059
LSK,2020-02-06 10:00:00,2025-08-29 07:00:00,2030
BNT,2020-02-06 10:00:00,2025-08-29 07:00:00,2030
MBL,2020-02-21 14:00:00,2025-08-29 07:00:00,2015
COTI,2020-02-26 14:00:00,2025-08-29 07:00:00,2010
DATA,2020-04-07 13:00:00,2025-08-29 07:00:00,1969
CTSI,2020-04-23 02:00:00,2025-08-29 07:00:00,1954
HIVE,2020-04-27 05:00:00,2025-08-29 07:00:00,1950
CHR,2020-05-07 14:00:00,2025-08-29 07:00:00,1939
ARDR,2020-05-15 08:00:00,2025-08-29 07:00:00,1931
MDT,2020-06-05 14:00:00,2025-08-29 07:00:00,1910
LRC,2020-06-12 08:00:00,2025-08-29 07:00:00,1903
KNC,2020-06-12 08:00:00,2025-08-29 07:00:00,1903
COMP,2020-06-25 06:00:00,2025-08-29 07:00:00,1891
ZEN,2020-07-06 05:00:00,2025-08-29 07:00:00,1880
SC,2020-07-06 05:00:00,2025-08-29 07:00:00,1880
SNX,2020-07-09 12:00:00,2025-08-29 07:00:00,1876
VTHO,2020-07-17 09:00:00,2025-08-29 07:00:00,1868
DGB,2020-07-20 12:00:00,2025-08-29 07:00:00,1865
SXP,2020-07-20 12:00:00,2025-08-29 07:00:00,1865
MKR,2020-07-23 14:00:00,2025-08-29 07:00:00,1862
