Date,KNC,1INCH,CELO,TRU,UNI,STORJ,FIO,RUNE,BNT,DOT
2022-04-24 03:00:00,6211.642496967323,3110.66283476633,3926.301638993976,3604.7759093221957,2598.403656884164,5725.506422752405,2394.6857924007486,2373.523814907377,2019.5778678380948,3199.20714142188
2022-04-24 04:00:00,6198.468281703341,3110.66283476633,3926.301638993976,3597.1305733533254,2598.403656884164,5725.506422752405,2394.6857924007486,2373.523814907377,2019.5778678380948,3192.4219725111225
2022-04-24 05:00:00,6198.468281703341,3110.66283476633,3926.301638993976,3595.224303839095,2598.403656884164,5725.506422752405,2394.6857924007486,2373.523814907377,2019.5778678380948,3190.7301749634216
2022-04-24 06:00:00,6198.468281703341,3110.66283476633,3926.301638993976,3608.610777310836,2598.403656884164,5725.506422752405,2394.6857924007486,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 07:00:00,6198.468281703341,3110.66283476633,3926.301638993976,3602.861530188196,2598.403656884164,5725.506422752405,2394.6857924007486,2373.523814907377,2019.5778678380948,3197.5081466574497
2022-04-24 08:00:00,6198.468281703341,3110.66283476633,3926.301638993976,3604.7759093221957,2598.403656884164,5728.548668460562,2394.6857924007486,2373.523814907377,2019.5778678380948,3199.20714142188
2022-04-24 09:00:00,6198.468281703341,3110.66283476633,3926.301638993976,3608.610777310836,2598.403656884164,5734.64286917169,2397.23333047777,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 10:00:00,6172.091820930135,3110.66283476633,3926.301638993976,3624.0321908890874,2598.403656884164,5759.149889980116,2407.4779173601537,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 11:00:00,6172.091820930135,3110.66283476633,3926.301638993976,3624.0321908890874,2598.403656884164,5759.149889980116,2407.4779173601537,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 12:00:00,6165.497705736833,3110.66283476633,3926.301638993976,3627.908161146723,2598.403656884164,5765.309408579026,2410.052760052518,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 13:00:00,6149.012417753581,3110.66283476633,3926.301638993976,3637.634456484918,2598.403656884164,5780.766002167709,2416.5140275057415,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 14:00:00,6145.71536015693,3110.66283476633,3926.301638993976,3639.585977116079,2598.403656884164,5783.867271482177,2417.8104406106263,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 15:00:00,6125.933014577025,3110.66283476633,3926.301638993976,3651.3392149323854,2598.403656884164,5802.544991411613,2425.6182245953755,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 16:00:00,6096.259496207169,3110.66283476633,3926.301638993976,3669.1120937503365,2598.403656884164,5802.544991411613,2437.424911464688,2373.523814907377,2019.5778678380948,3187.0973697548275
2022-04-24 17:00:00,6158.903590543532,3110.66283476633,3926.301638993976,3631.792431126538,2598.403656884164,5802.544991411613,2412.633116326664,2373.523814907377,2019.5778678380948,3219.847423851821
2022-04-24 18:00:00,6165.497705736833,3110.66283476633,3926.301638993976,3627.908161146723,2598.403656884164,5802.544991411613,2412.633116326664,2373.523814907377,2019.5778678380948,3223.294797967294
2022-04-24 19:00:00,6116.041841787073,3110.66283476633,3926.301638993976,3657.244345738206,2598.403656884164,5802.544991411613,2412.633116326664,2373.523814907377,2019.5778678380948,3197.4394921012467
2022-04-24 20:00:00,6158.903590543532,3110.66283476633,3926.301638993976,3631.792431126538,2598.403656884164,5802.544991411613,2412.633116326664,2373.523814907377,2019.5778678380948,3219.847423851821
2022-04-24 21:00:00,6129.2300721736765,3110.66283476633,3926.301638993976,3649.3750733428574,2598.403656884164,5802.544991411613,2412.633116326664,2373.523814907377,2019.5778678380948,3204.334240332193
2022-04-24 22:00:00,6125.933014577025,3110.66283476633,3926.301638993976,3651.3392149323854,2598.403656884164,5802.544991411613,2412.633116326664,2373.523814907377,2019.5778678380948,3202.610553274456
2022-04-24 23:00:00,5964.3771923411405,3110.66283476633,3926.301638993976,3651.3392149323854,2598.403656884164,5802.544991411613,2349.0060858099755,2373.523814907377,2019.5778678380948,3118.1498874453664
2022-04-25 00:00:00,5964.3771923411405,3110.66283476633,3926.301638993976,3651.3392149323854,2605.585535427238,5802.544991411613,2355.498639944332,2373.523814907377,2019.5778678380948,3126.7683227340494
2022-04-25 01:00:00,5961.0910341084455,3110.66283476633,3926.301638993976,3649.3274577891725,2607.0219111358524,5802.544991411613,2355.498639944332,2373.523814907377,2019.5778678380948,3128.4920097917857
2022-04-25 02:00:00,5915.462125154088,3110.66283476633,3926.301638993976,3621.393841381819,2627.13117105646,5802.544991411613,2355.498639944332,2373.523814907377,2019.5778678380948,3152.623628600097
2022-04-25 03:00:00,5918.698154763036,3110.66283476633,3926.301638993976,3623.3749102228385,2625.694795347845,5802.544991411613,2355.498639944332,2373.523814907377,2019.5778678380948,3150.89994154236
2022-04-25 04:00:00,6037.600573050687,3110.66283476633,3926.301638993976,3696.165924044279,2573.985269837712,5688.271676482283,2355.498639944332,2373.523814907377,2019.5778678380948,3088.8472074638457
2022-04-25 05:00:00,6147.375128924335,3110.66283476633,3926.301638993976,3763.3689408450837,2528.0212471620393,5586.695396545099,2398.32588794332,2416.678793360238,2019.5778678380948,3033.6892216162773
2022-04-25 06:00:00,6186.037865584237,3110.66283476633,3950.995359993939,3787.0379278944247,2528.0212471620393,5586.695396545099,2413.409698559316,2431.8780310543284,2032.279615434561,3014.7286639811746
2022-04-25 07:00:00,6186.037865584237,3110.66283476633,3950.995359993939,3787.0379278944247,2528.0212471620393,5586.695396545099,2413.409698559316,2431.8780310543284,2032.279615434561,3014.7286639811746
2022-04-25 08:00:00,6203.773065886944,3110.66283476633,3962.32275494805,3797.8952614032964,2528.0212471620393,5586.695396545099,2420.3288777409653,2438.8501584369383,2032.279615434561,3006.110228692492
2022-04-25 09:00:00,6257.594116198282,3110.66283476633,3996.6980246555227,3830.8440346369857,2549.953183950605,5586.695396545099,2441.3265256103205,2460.0084883250547,2049.9107283504186,3006.110228692492
