trading_coin,reference_coin,trade_type,time_entered,time_exited,log_return
1000LUNC,IOTA,long,2024-03-28 08:00:00,2024-03-28 19:00:00,0.0122402117769466
1000LUNC,IOTA,short,2024-03-28 22:00:00,2024-03-29 11:00:00,0.0343598281786147
1000LUNC,IOTA,long,2024-03-29 21:00:00,2024-03-30 12:00:00,0.017699577099401
1000LUNC,IOTA,short,2024-03-31 15:00:00,2024-04-01 23:00:00,0.0618074467121936
1000LUNC,IOTA,long,2024-04-08 11:00:00,2024-04-08 22:00:00,0.042826984350994
1000LUNC,IOTA,short,2024-04-09 03:00:00,2024-04-10 20:00:00,0.0929620615999478
1000LUNC,IOTA,long,2024-04-11 05:00:00,2024-04-11 14:00:00,-0.0167448644138194
1000LUNC,IOTA,long,2024-04-12 00:00:00,2024-04-12 16:00:00,-0.0403833931074585
1000LUNC,IOTA,long,2024-04-12 18:00:00,2024-04-13 01:00:00,0.0358504398308552
1000LUNC,IOTA,short,2024-04-14 08:00:00,2024-04-16 04:00:00,0.0463935889446455
1000LUNC,IOTA,short,2024-04-20 17:00:00,2024-04-21 05:00:00,0.0259848941834948
1000LUNC,IOTA,short,2024-04-23 06:00:00,2024-04-23 17:00:00,0.0079344505127208
1000LUNC,IOTA,long,2024-04-23 20:00:00,2024-04-24 17:00:00,-0.0434435204101448
1000LUNC,IOTA,short,2024-04-25 20:00:00,2024-04-26 18:00:00,0.0185906329617454
1000LUNC,IOTA,long,2024-04-27 04:00:00,2024-04-27 15:00:00,0.0013338416611714
1000LUNC,IOTA,short,2024-05-05 20:00:00,2024-05-06 09:00:00,-0.0450805451113964
1000LUNC,IOTA,long,2024-05-06 16:00:00,2024-05-07 22:00:00,-0.0531048234507542
1000LUNC,IOTA,short,2024-05-08 01:00:00,2024-05-08 16:00:00,-0.0088525636428822
1000LUNC,IOTA,long,2024-05-08 19:00:00,2024-05-09 10:00:00,-0.0027747231121014
1000LUNC,IOTA,short,2024-05-10 16:00:00,2024-05-12 10:00:00,-0.0102406459624553
1000LUNC,IOTA,short,2024-05-13 00:00:00,2024-05-13 14:00:00,0.0018072007581802
1000LUNC,IOTA,long,2024-05-15 12:00:00,2024-05-15 22:00:00,0.0427987973709753
1000LUNC,IOTA,short,2024-05-16 04:00:00,2024-05-16 09:00:00,0.0165382649742589
1000LUNC,IOTA,long,2024-05-17 10:00:00,2024-05-18 04:00:00,0.0200061733600834
1000LUNC,IOTA,short,2024-05-19 17:00:00,2024-05-20 04:00:00,-0.0063733866154734
1000LUNC,IOTA,long,2024-05-20 09:00:00,2024-05-21 14:00:00,0.0678995874023363
1000LUNC,IOTA,short,2024-05-22 02:00:00,2024-05-22 23:00:00,-0.0396891424083644
1000LUNC,IOTA,long,2024-05-23 04:00:00,2024-05-23 16:00:00,-0.0377205077523371
1000LUNC,IOTA,long,2024-05-24 11:00:00,2024-05-24 17:00:00,0.0220335850345405
1000LUNC,IOTA,short,2024-05-29 03:00:00,2024-05-29 19:00:00,0.0331541107500275
1000LUNC,IOTA,short,2024-05-30 15:00:00,2024-05-31 12:00:00,0.03309648744763
1000LUNC,IOTA,long,2024-05-31 20:00:00,2024-06-01 16:00:00,0.0047740783333576
1000LUNC,IOTA,short,2024-06-01 18:00:00,2024-06-02 03:00:00,0.018909774474173
1000LUNC,IOTA,short,2024-06-03 16:00:00,2024-06-04 03:00:00,0.0146256420125381
1000LUNC,IOTA,long,2024-06-04 11:00:00,2024-06-05 07:00:00,0.0325026505839455
1000LUNC,IOTA,long,2024-06-05 17:00:00,2024-06-06 04:00:00,0.0017548995436782
1000LUNC,IOTA,short,2024-06-06 20:00:00,2024-06-06 22:00:00,-0.000329245208341
1000LUNC,IOTA,long,2024-06-07 02:00:00,2024-06-07 18:00:00,-0.1307161144295561
1000LUNC,IOTA,short,2024-06-08 00:00:00,2024-06-09 09:00:00,0.0318844688272043
1000LUNC,IOTA,short,2024-06-09 14:00:00,2024-06-10 09:00:00,0.0114085548473889
1000LUNC,IOTA,long,2024-06-12 13:00:00,2024-06-12 22:00:00,0.0168596529952511
1000LUNC,IOTA,short,2024-06-13 01:00:00,2024-06-13 11:00:00,0.0502173408557524
1000LUNC,IOTA,long,2024-06-13 15:00:00,2024-06-13 23:00:00,0.0160330215121978
1000LUNC,IOTA,short,2024-06-16 01:00:00,2024-06-17 10:00:00,0.0054574609015498
1000LUNC,IOTA,long,2024-06-17 14:00:00,2024-06-18 02:00:00,-0.0934557518273656
1000LUNC,IOTA,short,2024-06-18 03:00:00,2024-06-18 21:00:00,-0.0241056198365187
1000LUNC,IOTA,long,2024-06-19 03:00:00,2024-06-20 21:00:00,-0.013845955729576
1000LUNC,IOTA,long,2024-06-22 03:00:00,2024-06-23 16:00:00,-0.1451562869862459
1000LUNC,IOTA,short,2024-06-24 05:00:00,2024-06-24 23:00:00,-0.1062740254393242
1000LUNC,IOTA,long,2024-06-25 04:00:00,2024-06-26 00:00:00,0.0019719010579892
1000LUNC,IOTA,short,2024-06-26 02:00:00,2024-06-27 12:00:00,0.0049484139355741
1000LUNC,IOTA,long,2024-06-27 17:00:00,2024-06-28 07:00:00,0.0026566855379331
1000LUNC,IOTA,short,2024-06-28 14:00:00,2024-06-30 00:00:00,0.028679737336767
1000LUNC,IOTA,long,2024-07-05 22:00:00,2024-07-06 13:00:00,0.0340319866765936
1000LUNC,IOTA,short,2024-07-07 16:00:00,2024-07-08 05:00:00,0.0407747679033251
1000LUNC,IOTA,long,2024-07-08 08:00:00,2024-07-08 21:00:00,-0.020504776493657
1000LUNC,IOTA,short,2024-07-13 19:00:00,2024-07-14 07:00:00,-0.007593256822821
1000LUNC,IOTA,long,2024-07-14 21:00:00,2024-07-15 01:00:00,0.0165731337248704
1000LUNC,IOTA,short,2024-07-15 15:00:00,2024-07-15 22:00:00,-0.0236630759300165
1000LUNC,IOTA,short,2024-07-16 16:00:00,2024-07-17 13:00:00,-0.0681405877023579
1000LUNC,IOTA,short,2024-07-17 13:00:00,2024-07-17 13:00:00,0.0
1000LUNC,IOTA,short,2024-07-19 10:00:00,2024-07-19 13:00:00,0.0032762837869943
1000LUNC,IOTA,short,2024-07-20 07:00:00,2024-07-20 09:00:00,0.0199016954098961
1000LUNC,IOTA,long,2024-07-21 01:00:00,2024-07-21 17:00:00,-0.0196771397935796
1000LUNC,IOTA,short,2024-07-22 07:00:00,2024-07-22 20:00:00,-0.0162986416620471
1000LUNC,IOTA,long,2024-07-23 08:00:00,2024-07-23 18:00:00,-0.0241625641929438
1000LUNC,IOTA,short,2024-07-24 05:00:00,2024-07-24 11:00:00,-0.0091229918498019
