Date,1INCH,KMD,FUN,AXS,BNT,CKB,NMR,TWT,BTC,HARD
2022-11-04 05:00:00,756.4424153092425,410.46942381051167,466.6605617377361,497.7464468495039,261.48988761342014,227.0487815213647,252.6328839245959,176.89248478726986,162.51061255230306,178.4475170273025
2022-11-04 06:00:00,752.0825166619268,408.10360580584006,463.97087550293634,494.8775912480658,259.98274128711796,227.0487815213647,251.17678661090943,176.89248478726986,161.57395196122351,177.4190010790183
2022-11-04 07:00:00,756.4424153092425,410.46942381051167,466.6605617377361,497.7464468495039,261.48988761342014,227.0487815213647,252.6328839245959,176.89248478726986,162.51061255230306,178.4475170273025
2022-11-04 08:00:00,745.636095090539,404.6055748989329,459.9939822843398,490.63578332308236,257.7543177903712,227.0487815213647,249.02384272567306,176.89248478726986,160.18903237298446,175.89826678405532
2022-11-04 09:00:00,749.9213600048525,404.6055748989329,462.6376258606866,493.45552920424956,259.2356644443389,227.0487815213647,249.02384272567306,176.89248478726986,161.1096589958177,175.89826678405532
2022-11-04 10:00:00,756.4424153092425,404.6055748989329,466.6605617377361,497.7464468495039,261.48988761342014,227.0487815213647,249.02384272567306,176.89248478726986,162.51061255230306,175.89826678405532
2022-11-04 11:00:00,745.636095090539,404.6055748989329,459.9939822843398,490.63578332308236,257.7543177903712,227.0487815213647,249.02384272567306,176.89248478726986,160.18903237298446,175.89826678405532
2022-11-04 12:00:00,752.0825166619268,404.6055748989329,463.97087550293634,494.8775912480658,259.98274128711796,227.0487815213647,251.17678661090943,178.42181462692926,161.57395196122351,175.89826678405532
2022-11-04 13:00:00,739.2992444240472,404.6055748989329,456.0846849844729,486.46607411637063,255.56377118025475,227.0487815213647,246.90749278749456,175.38914922250555,158.82765249446052,175.89826678405532
2022-11-04 14:00:00,749.9213600048525,404.6055748989329,462.6376258606866,493.45552920424956,259.2356644443389,227.0487815213647,250.45501423559074,177.9091082630588,161.1096589958177,175.89826678405532
2022-11-04 15:00:00,745.636095090539,404.6055748989329,459.9939822843398,490.63578332308236,257.7543177903712,227.0487815213647,249.02384272567306,176.89248478726986,160.18903237298446,175.89826678405532
2022-11-04 16:00:00,747.772588199681,404.6055748989329,461.3120166175327,492.04161651311983,258.49286884421184,227.0487815213647,249.7373780916492,177.39934004454,160.6480267350847,175.89826678405532
2022-11-04 17:00:00,747.772588199681,404.6055748989329,461.3120166175327,492.04161651311983,258.49286884421184,227.0487815213647,249.7373780916492,177.39934004454,160.6480267350847,175.89826678405532
2022-11-04 18:00:00,747.772588199681,404.6055748989329,461.3120166175327,492.04161651311983,258.49286884421184,227.0487815213647,249.7373780916492,177.39934004454,160.6480267350847,175.89826678405532
2022-11-04 19:00:00,743.5117757313068,404.6055748989329,458.68345811828766,489.23796057857226,257.01997500464375,227.0487815213647,248.31437308827805,176.3885175941438,159.73265336337482,175.89826678405532
2022-11-04 20:00:00,743.5117757313068,404.6055748989329,458.68345811828766,489.23796057857226,257.01997500464375,227.0487815213647,248.31437308827805,176.3885175941438,159.73265336337482,175.89826678405532
2022-11-04 21:00:00,737.2108284793464,404.6055748989329,454.7963101681326,485.0918761668894,254.8418396232484,227.0487815213647,246.21001399430955,174.8936996484307,158.3789868094479,175.89826678405532
2022-11-04 22:00:00,735.134178258278,404.6055748989329,453.5151938014618,483.7254201776869,254.1239752862815,227.0487815213647,245.51646465911435,174.40104133956186,157.9328488184354,175.89826678405532
2022-11-04 23:00:00,726.9432681941188,404.6055748989329,448.4620997201085,478.3357219027266,251.29251038058482,227.0487815213647,242.78090516430527,172.45785424942747,156.17315133856425,175.89826678405532
2022-11-05 00:00:00,726.9432681941188,404.6055748989329,448.4620997201085,478.3357219027266,251.29251038058482,227.0487815213647,242.78090516430527,172.45785424942747,156.17315133856425,175.89826678405532
2022-11-05 01:00:00,728.9738359823706,404.6055748989329,449.71478714949427,479.67185520413085,251.99444476712273,227.0487815213647,242.78090516430527,172.45785424942747,156.60938919146525,175.89826678405532
