Date,TRX,FUN,RIF,KMD,STPT,MDT,ARDR,EOS,LTC,TROY
2021-01-29 15:00:00,1723.0883260729672,1686.2152346718767,1368.103915659848,1448.0519430956672,1680.3287831202979,1262.274536167233,883.4036999190295,1122.8734926047446,1538.1978234116505,1622.0164126649927
2021-01-29 16:00:00,1705.9476568607233,1669.4413658452977,1354.4945049805092,1433.647237902569,1663.6134706180544,1249.7178784776115,874.6159144224529,1111.7035468667918,1522.8963790949904,1605.8811708636133
2021-01-29 17:00:00,1707.7358619517722,1671.1913043839197,1355.9143105412854,1435.1500127850666,1665.3573002518258,1251.0278552894329,875.532702592707,1112.86885456791,1524.4927065363895,1607.5644844599065
2021-01-29 18:00:00,1714.0242107332883,1677.3450861465117,1355.9143105412854,1435.1500127850666,1671.4895996215062,1251.0278552894329,878.756652575952,1116.96674093402,1530.1063040880751,1613.4839749339826
2021-01-29 19:00:00,1714.9263287389376,1678.2278993497468,1355.9143105412854,1435.1500127850666,1672.3693309897283,1251.0278552894329,879.2191560773078,1117.5546181660907,1530.9116231954902,1614.3331770260534
2021-01-29 20:00:00,1674.3885018519943,1638.5575584606981,1355.9143105412854,1435.1500127850666,1632.8374763003512,1251.0278552894329,858.4359694485534,1091.1376025259879,1494.7235786595227,1576.1731944242042
2021-01-29 21:00:00,1648.1335481052004,1612.8644455055735,1355.9143105412854,1435.1500127850666,1632.8374763003512,1251.0278552894329,844.9754155522937,1091.1376025259879,1494.7235786595227,1576.1731944242042
2021-01-29 22:00:00,1592.5513316735003,1558.4716562876438,1355.9143105412854,1485.2387082236953,1632.8374763003512,1251.0278552894329,844.9754155522937,1091.1376025259879,1494.7235786595227,1576.1731944242042
2021-01-29 23:00:00,1639.0140968832902,1603.940145253782,1317.476856967779,1443.135167130355,1586.5498059066954,1215.5637225392927,844.9754155522937,1060.206038036004,1452.3511604961543,1576.1731944242042
2021-01-30 00:00:00,1639.0140968832902,1604.7473622367984,1316.8141422509946,1442.4092440080562,1585.751742624046,1214.952271974635,844.9754155522937,1059.6727351999698,1451.620601562303,1576.1731944242042
2021-01-30 01:00:00,1639.0140968832902,1630.180474828486,1296.2699860306716,1419.9056272167877,1561.0117808619195,1195.9973044702497,844.9754155522937,1043.140347282909,1428.9732746129162,1551.5826715116975
2021-01-30 02:00:00,1601.3067173537668,1668.5677701541176,1266.447823775365,1387.2390867133342,1525.0989331427036,1168.482029060658,844.9754155522937,1019.14171966137,1396.098122589613,1515.8867511548333
2021-01-30 03:00:00,1600.468775586444,1669.4413658452977,1265.7851090585802,1386.5131635910352,1524.3008698600543,1167.8705784960005,844.9754155522937,1018.6084168253356,1395.3675636557616,1515.0935084802363
2021-01-30 04:00:00,1611.36201856164,1658.1554907771808,1274.4004003767802,1395.950164180922,1534.6756925344946,1175.8194358365492,844.9754155522937,1025.5413536937806,1404.8648297958273,1515.0935084802363
2021-01-30 05:00:00,1652.4211651604542,1616.9538583998576,1306.8734214992253,1431.5203971735714,1573.7807933843073,1175.8194358365492,844.9754155522937,1051.6731926594564,1440.6622175545351,1515.0935084802363
2021-01-30 06:00:00,1674.2076511108457,1595.9124167990585,1324.1040041356248,1450.3943983533447,1594.5304387331878,1175.8194358365492,844.9754155522937,1065.5390663963458,1459.656749834666,1515.0935084802363
2021-01-30 07:00:00,1629.7967374427403,1639.4000045061791,1288.9801241460414,1411.9204728714994,1552.233084752778,1175.8194358365492,844.9754155522937,1037.274016086533,1420.9371263405533,1474.9033403373674
2021-01-30 08:00:00,1737.8912254273741,1537.4315374949463,1374.4703226112542,1505.5645556480665,1655.18324821453,1175.8194358365492,844.9754155522937,1106.0700819349456,1515.179228807356,1572.724692986992
2021-01-30 09:00:00,1680.0732434821048,1590.3406527503835,1328.743007153117,1455.4758602094375,1600.1168817117323,1136.7010457339832,816.8638901554239,1069.2721862485853,1464.7706623716242,1520.4016438953322
2021-01-30 10:00:00,1679.235301714782,1591.1342359104385,1328.0802924363325,1454.7499370871387,1599.3188184290832,1136.1341125440908,816.456476743875,1069.2721862485853,1464.040103437773,1520.4016438953322
2021-01-30 11:00:00,1753.8121190065065,1523.4749205754986,1387.0619022301619,1519.3570949717473,1670.346450584866,1186.5911664445023,852.7162703717219,1069.2721862485853,1529.0598485505284,1520.4016438953322
2021-01-30 12:00:00,1722.808273615565,1550.8915412278789,1362.5414577091315,1492.497939446685,1640.8181091268439,1165.6146384184888,837.6419741444147,1050.3696201276118,1502.0291679980346,1493.5240228613486
2021-01-30 13:00:00,1903.803695357278,1403.4476270970592,1505.6878365346045,1649.2973338632628,1813.1997781790803,1288.0722074352168,925.643271038964,1050.3696201276118,1659.8298977098905,1650.4312159246033
2021-01-30 14:00:00,1875.3136752683047,1382.445329860572,1483.1555361639282,1624.6159477050978,1786.0656265690063,1268.7964789788803,911.7912150463036,1050.3696201276118,1634.9908939589502,1625.732861460943
2021-01-30 15:00:00,2145.9688661135515,1581.9671536072049,1697.212389685353,1859.0891162076657,2043.8400668647118,1451.9158993140804,1043.3857469765787,1050.3696201276118,1870.9614295928827,1625.732861460943
2021-01-30 16:00:00,2151.8344584848105,1586.291155979423,1701.851392702845,1864.1705780637583,2049.4265098432566,1455.8844316433263,1046.2376408574205,1053.2406030799325,1876.075342129841,1630.1764889620076
2021-01-30 17:00:00,2090.6647094702503,1541.1979883834347,1653.4732183775698,1811.1781901359336,1991.1678902098618,1414.4983087811913,1016.4964618143555,1023.3003522914453,1822.7445399587045,1583.8358021651904
2021-01-30 18:00:00,2132.5617978363875,1572.0837196135635,1686.6089542167995,1847.474346250882,2031.0710543423238,1442.8449682758041,1036.8671323917972,1043.8073733794502,1859.2724866512638,1615.5759986013666
2021-01-30 19:00:00,2116.640904257255,1560.3471417461144,1674.0173745978918,1833.6818069272015,2015.907851971988,1432.0732376678511,1029.1262775723692,1036.0147053660082,1845.391866908091,1603.5147239556193
2021-01-30 20:00:00,2064.688514683245,1522.0488350207547,1632.929062157247,1879.8215277183892,1966.427928447735,1396.923379894531,1003.8666460563412,1010.5859992168822,1800.0972130093178,1564.156880374761
2021-01-30 21:00:00,2038.7123198962395,1502.8996816580743,1612.3849059369245,1903.7732200156643,1941.6879666856084,1379.3484510078708,991.2368302983272,997.871646142319,1777.4498860599308,1544.4779585843319
2021-01-30 22:00:00,2135.075623138356,1573.9368634873713,1688.5970983671534,1817.8493894419585,2033.4652441902717,1444.545767845481,1038.089372626444,1045.0377946447304,1861.4641634528173,1617.4804103875372
2021-01-30 23:00:00,2177.8106532718157,1605.4403093421029,1722.3955489231678,1782.1778546741477,2074.1664716053833,1473.4593605299865,1058.8674566154348,1065.9549561544954,1898.722669079228,1649.855410752437
2021-01-31 00:00:00,2216.355974568662,1633.8551820738214,1752.8804258952593,1813.7208255533365,2110.877382607248,1499.5382872650302,1077.6084735466814,1084.8214155554601,1932.3283800363822,1679.0563914737188
2021-01-31 01:00:00,2199.5971392222073,1621.5008895817698,1739.626131559567,1800.0064903884718,2094.916116954263,1488.1996234671851,1069.4602053157046,1076.6186071202578,1917.7172013593583,1666.3603128992484
2021-01-31 02:00:00,2295.122500697,1691.9203567864638,1815.175609273011,1878.1782008281996,2185.8953311762766,1552.8300071149026,1115.9053342322723,1123.3746152009091,2001.0009198183934,1738.7279607737298
2021-01-31 03:00:00,2230.6009846131487,1644.3563306920653,1764.1465760805972,1825.378010443471,2124.444458412285,1509.1761514931984,1084.5345015430114,1091.7938027253815,1944.7478819118521,1689.8480582620186
2021-01-31 04:00:00,2209.6524404300803,1628.9134650770006,1747.5787081609824,1825.378010443471,2104.492876346054,1495.002821745892,1074.3491662542906,1081.5402921813793,1926.4839085655726,1673.9779600439306
2021-01-31 05:00:00,2139.2653319749693,1577.025436610384,1691.9106719510764,1767.231725696694,2037.4555606035178,1447.3804337949423,1040.126439684188,1047.088496753531,1865.1169581220731,1620.6544300311548
2021-01-31 06:00:00,2175.2968279698475,1577.025436610384,1720.407404772814,1796.9970857456394,2071.7722817574354,1471.7585609603095,1057.645216380788,1064.7245348892152,1896.5309922776742,1647.950998966266
2021-01-31 07:00:00,2145.9688661135515,1555.7635374265,1697.212389685353,1772.7694671011486,2043.8400668647118,1451.9158993140804,1043.3857469765787,1050.3696201276118,1870.9614295928827,1625.732861460943
2021-01-31 08:00:00,2094.0164765395416,1518.0996017293335,1656.1240772447081,1729.8519712166228,1994.3601433404588,1416.7660415407604,1018.1261154605507,1024.9409139784857,1825.6667756941094,1586.3750178800847
2021-01-31 09:00:00,2170.269177365911,1573.3805396074324,1716.4311164721062,1792.843779692298,2066.9839020615395,1468.3569618209558,1055.200735911495,1062.2636923586547,1892.1476386745671,1644.1421753939248
2021-01-31 10:00:00,2236.4665769844078,1621.3716834796282,1768.7855790980896,1847.528976061291,2130.03090139083,1513.1446838224444,1087.3863954238534,1062.2636923586547,1949.8617944488105,1694.2916857630835
2021-01-31 11:00:00,2318.1084636782075,1564.2682971000536,1706.4903957203373,1782.4605145589449,2055.0129528218013,1459.852963972572,1049.0895347382625,1062.2636923586547,1881.1892546667993,1634.6201164630722
2021-01-31 12:00:00,2347.278526925436,1544.8288464176453,1685.2835247832304,1804.8902182419517,2029.4749277770254,1441.7111018960197,1049.0895347382625,1075.6307541578983,1857.8113687835616,1614.3063907439198
2021-01-31 13:00:00,2430.4272369590326,1491.9778398748472,1627.6273444229703,1868.825661640588,1960.043422186541,1441.7111018960197,1049.0895347382625,1113.7333093744037,1794.2527415385084,1559.078448944973
2021-01-31 14:00:00,2516.4963296675314,1491.9778398748472,1627.6273444229703,1935.0066715806424,1960.043422186541,1441.7111018960197,1086.2411034220795,1153.1741179694502,1794.2527415385084,1505.7549189321971
2021-01-31 15:00:00,2412.744257870406,1491.9778398748472,1560.5222558493472,1855.2287085647872,1960.043422186541,1441.7111018960197,1041.4567086973211,1105.6301567597152,1794.2527415385084,1570.5049196619964
2021-01-31 16:00:00,2560.7590278727516,1491.9778398748472,1656.2557104123919,1969.0415379619405,1960.043422186541,1441.7111018960197,1105.3470172960845,1173.4573178136145,1794.2527415385084,1479.7279578545326
2021-01-31 17:00:00,2595.273606074515,1512.087106412291,1678.5791569440373,1995.580793473602,1960.043422186541,1461.142860225923,1120.245172746597,1189.2734816624068,1794.2527415385084,1479.7279578545326
2021-01-31 18:00:00,2526.080953860087,1471.7733155938506,1633.826517550269,1942.3765658016437,1907.7866572276953,1422.1872951839282,1090.3782891735814,1157.5662326802944,1794.2527415385084,1479.7279578545326
2021-01-31 19:00:00,2495.4553904562645,1453.929910011818,1614.0184201384973,1918.8276860323092,1884.6571367178278,1404.9450579095412,1077.1588199486507,1143.5321939061605,1794.2527415385084,1461.7881122116473
2021-01-31 20:00:00,2545.4709142735114,1483.0705094875345,1646.367616618885,1957.286066093511,1922.4306486264577,1433.103871436939,1098.74793062566,1166.451602483384,1794.2527415385084,1491.0862108359318
2021-01-31 21:00:00,2487.13720582141,1449.0834769784456,1608.6383587380358,1912.4315937455349,1878.3749462621017,1400.2619077165095,1073.568290548822,1139.7204199264731,1794.2527415385084,1456.9154851709418
2021-01-31 22:00:00,2377.192072469687,1385.0260233963634,1537.5277024975248,1827.8916069252423,1795.3404504297266,1338.3626358102836,1026.1106719702002,1089.3385136692693,1794.2527415385084,1392.511813783457
2021-01-31 23:00:00,2377.192072469687,1385.0260233963634,1537.5277024975248,1888.821327156084,1795.3404504297266,1382.9747236706264,1060.3143610358736,1125.649797458245,1794.2527415385084,1438.9288742429053
2021-02-01 00:00:00,2377.192072469687,1385.0260233963634,1537.5277024975248,1888.821327156084,1795.3404504297266,1342.1040649040026,1028.979192219318,1092.383789066907,1794.2527415385084,1396.4046183747046
2021-02-01 01:00:00,2377.192072469687,1385.0260233963634,1537.5277024975248,1888.821327156084,1795.3404504297266,1368.891478012066,1049.5168624509868,1114.1869685635581,1794.2527415385084,1424.2758307170102
2021-02-01 02:00:00,2377.192072469687,1385.0260233963634,1537.5277024975248,1888.821327156084,1795.3404504297266,1368.891478012066,1049.5168624509868,1114.1869685635581,1794.2527415385084,1424.2758307170102
2021-02-01 03:00:00,2377.192072469687,1385.0260233963634,1569.4929353976815,1888.821327156084,1795.3404504297266,1397.3507602992192,1071.3363398408205,1137.350938803965,1794.2527415385084,1453.8865548483413
2021-02-01 04:00:00,2373.2448876254034,1385.0260233963634,1566.8868865219695,1888.821327156084,1795.3404504297266,1395.030543179586,1069.5574501109063,1135.4624357922523,1794.2527415385084,1451.4724634330678
2021-02-01 05:00:00,2417.3982808835503,1410.7939494130396,1596.0382704572614,1888.821327156084,1795.3404504297266,1420.9845997968803,1089.4561933687833,1156.5873183186195,1827.6341878927128,1478.4766022876363
2021-02-01 06:00:00,2379.1705927131075,1388.4842656520345,1570.7992133297644,1888.821327156084,1795.3404504297266,1398.5137655096223,1072.2280055418946,1138.297547991484,1798.732773352587,1455.0966144029383
2021-02-01 07:00:00,2422.519887410846,1413.7829196448472,1599.4197074709425,1888.821327156084,1795.3404504297266,1423.9951603896704,1091.7643632699885,1159.0377151794642,1831.5062942229943,1481.6089679704494
2021-02-01 08:00:00,2394.115131612059,1397.2059004865325,1580.666042559223,1888.821327156084,1795.3404504297266,1407.2983997150848,1078.9631060792183,1145.447658217561,1810.0313460495254,1464.2366685135096
2021-02-01 09:00:00,2343.093005856392,1367.4293812958358,1546.9797170620589,1888.821327156084,1795.3404504297266,1377.306794475255,1055.9688103758906,1121.036478616203,1771.4569075271584,1433.0316247583035
2021-02-01 10:00:00,2343.093005856392,1367.4293812958358,1546.9797170620589,1888.821327156084,1795.3404504297266,1377.306794475255,1055.9688103758906,1121.036478616203,1771.4569075271584,1433.0316247583035
2021-02-01 11:00:00,2320.2706713837647,1354.1102639455519,1531.9117328049613,1907.399897587127,1812.999536827396,1363.8914685550417,1045.6833998852162,1110.1172921361754,1754.2024571291665,1419.073524517151
2021-02-01 12:00:00,2320.2706713837647,1379.8708396864513,1531.9117328049613,1871.7909709276275,1779.1529545651965,1389.8381218029867,1065.576467045977,1131.236148810395,1787.5743814583398,1446.0699604674357
2021-02-01 13:00:00,2320.2706713837647,1393.1222089193482,1531.9117328049613,1853.9865075978773,1762.2296634340967,1403.1852102378382,1075.8095604664604,1142.0997944983446,1804.7410665412385,1459.9570623842421
2021-02-01 14:00:00,2320.2706713837647,1412.5858130236406,1531.9117328049613,1828.4409732551928,1737.948419637301,1422.789406655217,1090.8399226575666,1142.0997944983446,1804.7410665412385,1480.3544303176377
2021-02-01 15:00:00,2320.2706713837647,1364.0750982673096,1531.9117328049613,1828.4409732551928,1799.7552220291443,1373.9282823056508,1053.3785352891139,1142.0997944983446,1804.7410665412385,1429.5164204457317
2021-02-01 16:00:00,2320.2706713837647,1318.7856483643634,1531.9117328049613,1828.4409732551928,1861.562024420987,1328.3116911144755,1053.3785352891139,1181.321537236636,1804.7410665412385,1382.0542151819213
2021-02-01 17:00:00,2323.939083512435,1316.703903063078,1534.3337276394352,1828.4409732551928,1864.5052054872654,1328.3116911144755,1053.3785352891139,1183.1892392717928,1804.7410665412385,1382.0542151819213
2021-02-01 18:00:00,2335.8614229306127,1309.9833884420254,1542.2052108514767,1828.4409732551928,1874.0705439526696,1328.3116911144755,1053.3785352891139,1189.259270886052,1804.7410665412385,1382.0542151819213
2021-02-01 19:00:00,2334.0272168662777,1311.0128449358897,1540.9942134342396,1828.4409732551928,1872.5989534195307,1328.3116911144755,1053.3785352891139,1188.3254198684735,1804.7410665412385,1382.0542151819213
2021-02-01 20:00:00,2403.7270473110075,1272.9979741937577,1587.0121152892502,1828.4409732551928,1928.5193936788169,1328.3116911144755,1053.3785352891139,1223.8117585364516,1804.7410665412385,1382.0542151819213
2021-02-01 21:00:00,2335.8614229306127,1309.9833884420254,1542.2052108514767,1776.8176874784342,1874.0705439526696,1290.8088047571803,1023.637973819677,1189.259270886052,1753.7869120490404,1382.0542151819213
2021-02-01 22:00:00,2329.4417017054407,1313.5935788826139,1537.9667198911468,1771.9344036887408,1868.9199770866826,1294.3661518569047,1020.8246774644598,1185.9907923245278,1748.9669244619404,1382.0542151819213
2021-02-01 23:00:00,2343.198247187953,1305.8816792022853,1547.0492005204255,1782.398583238084,1879.9569060852264,1286.7671333528524,1020.8246774644598,1192.9946749563655,1759.2954692914402,1382.0542151819213
2021-02-02 00:00:00,2400.0586351823376,1274.9437104936337,1584.590120454776,1825.6505253753678,1925.576212612539,1256.282012119426,1020.8246774644598,1221.9440565012949,1759.2954692914402,1415.591342908449
2021-02-02 01:00:00,2478.0123929165743,1234.8363028726274,1636.057510687354,1884.9475428216447,1988.1188102709516,1216.7616675486815,1020.8246774644598,1261.6327247483757,1759.2954692914402,1461.5696631786889
2021-02-02 02:00:00,2468.8413625948997,1239.4233619471916,1630.0025236011684,1877.9714231220828,1980.760857605256,1221.2815845900957,1017.0466438691066,1256.963469660484,1752.7843831726711,1456.1604490292493
2021-02-02 03:00:00,2494.5202474955895,1226.6645920447938,1646.956487442488,1897.5045582808564,2001.3631250692035,1221.2815845900957,1027.6251379360958,1270.0373839065808,1771.015424305225,1471.306248647681
2021-02-02 04:00:00,2446.83088982288,1250.572597586896,1615.470554594323,1861.228735843134,1963.1017712075866,1221.2815845900957,1007.9793632402587,1245.7572574495434,1737.1577764876251,1443.1783350705932
2021-02-02 05:00:00,2419.317798857855,1264.7944239430776,1597.305593335766,1840.3003767444482,1941.0279132104997,1221.2815845900957,996.6452624541988,1231.749492185868,1717.6245181313175,1426.950692622273
2021-02-02 06:00:00,2366.12582299214,1293.2277869619534,1562.1866682358893,1799.8388824869887,1898.351787749465,1221.2815845900957,974.7326676011497,1204.6678126760953,1679.860218642456,1395.577250555521
2021-02-02 07:00:00,2382.6336775711547,1284.2677792000923,1573.0856449910234,1787.368867134885,1898.351787749465,1221.2815845900957,967.9793234838208,1213.0724718343004,1679.860218642456,1405.313836024513
2021-02-02 08:00:00,2324.856186544603,1316.1844932393842,1573.0856449910234,1831.7886851346868,1898.351787749465,1251.6329612485476,992.0356143633004,1183.6561647805818,1721.6082240761737,1440.2387952629917
2021-02-02 09:00:00,2324.856186544603,1313.5935788826139,1569.989019705608,1828.1828018962328,1898.351787749465,1249.1691168366413,990.0827883507742,1183.6561647805818,1718.2192315090945,1437.403679524285
2021-02-02 10:00:00,2324.856186544603,1309.469266233061,1565.0596978227015,1822.4428244962446,1898.351787749465,1245.247078793198,986.9742081675691,1183.6561647805818,1712.8245086472136,1432.890638144303
2021-02-02 11:00:00,2324.856186544603,1301.805575638642,1555.9001599891703,1811.776947645896,1898.351787749465,1237.9592496157115,981.1979252481335,1183.6561647805818,1702.8001748080765,1424.5046219241842
2021-02-02 12:00:00,2324.856186544603,1276.8954038889551,1526.1278645435302,1777.108425876935,1898.351787749465,1214.2707833008299,962.4226109494706,1183.6561647805818,1670.2169338052431,1397.2465924193205
2021-02-02 13:00:00,2324.856186544603,1296.2423039478786,1549.251014006311,1804.0343111174946,1898.351787749465,1232.6688254720546,977.0047717214322,1183.6561647805818,1695.5232509841105,1418.4169953347648
2021-02-02 14:00:00,2324.856186544603,1314.1109453965494,1570.6073690635067,1828.9028423853606,1898.351787749465,1249.6611093993968,990.4727382477221,1183.6561647805818,1718.8959622028751,1437.969809370494
2021-02-02 15:00:00,2324.856186544603,1375.3205648647318,1643.7642663034806,1914.0908148460146,1898.351787749465,1307.8687373310258,1036.607700911363,1183.6561647805818,1798.9599538471145,1504.948617473901
2021-02-02 16:00:00,2293.6564085226537,1356.8636398380802,1621.7048027865976,1888.4035448623142,1872.8757369175285,1290.3170218646069,1022.6963328226783,1167.771393150749,1774.8177503184627,1484.7520723837674
2021-02-02 17:00:00,2261.4679665425847,1337.8218485813309,1598.9463151773232,1861.9022922279194,1846.5923965838822,1272.2091246050795,1008.344138897741,1151.3832621321937,1749.9105244719728,1463.9155356823112
2021-02-02 18:00:00,2256.0404434228826,1337.8218485813309,1595.1088440208975,1857.4337267265723,1842.160574832081,1269.1558227060273,1005.9241129643865,1148.6199423030764,1745.71073921324,1460.4021383966738
2021-02-02 19:00:00,2282.517648141322,1337.8218485813309,1613.8292634772336,1879.2328275258726,1863.7804277944972,1284.050812126697,1017.729778393754,1162.1003058509475,1766.19864347758,1477.541621202624
2021-02-02 20:00:00,2293.6564085226537,1331.3249395635341,1621.7048027865976,1888.4035448623142,1872.8757369175285,1284.050812126697,1022.6963328226783,1167.771393150749,1774.8177503184627,1484.7520723837674
2021-02-02 21:00:00,2281.594299578158,1338.3632576661473,1613.176419924047,1878.4726200713717,1863.0264713107615,1290.8392060094327,1017.318075408967,1161.630200549228,1765.4841618256878,1476.9439101908108
2021-02-02 22:00:00,2256.0404434228826,1353.5227120410066,1595.1088440208975,1857.4337267265723,1842.160574832081,1305.4603620645557,1005.9241129643865,1148.6199423030764,1745.71073921324,1460.4021383966738
2021-02-02 23:00:00,2283.4417443551447,1337.2804394965146,1614.4826356486817,1879.9936505329679,1864.5349947693128,1289.794837719781,1018.1418147412819,1162.5707918047335,1766.9137036571256,1478.1398161909653
2021-02-03 00:00:00,2303.0220941434086,1325.9108487153699,1628.3267088820926,1896.1144617461948,1880.5232491140068,1278.8289706784385,1026.8723080485775,1172.5397532697802,1782.0648624063294,1490.8147594902755
2021-02-03 01:00:00,2302.08208512539,1325.3696606138533,1627.6620857356097,1895.3405374760941,1879.755688604164,1279.3511548232648,1026.453176494272,1172.0611656153844,1781.337488993102,1490.206263670075
2021-02-03 02:00:00,2308.6783088650045,1329.1672814179046,1632.3258739468868,1900.7713126551089,1885.1418080557523,1279.3511548232648,1029.3943030744847,1175.4195070641392,1786.4416078727386,1494.4761956576685
2021-02-03 03:00:00,2319.1205216106937,1335.179140009844,1639.7089268306927,1909.3685513225457,1893.6683540625834,1279.3511548232648,1034.0502805966146,1180.7359604266826,1794.5217302767683,1501.235750818949
2021-02-03 04:00:00,2271.4865519763216,1307.755001411172,1606.029846980364,1870.150751839078,1854.7730314459131,1306.1796535469434,1012.8112293237883,1156.4840337324574,1757.6628465699155,1470.4008642737351
2021-02-03 05:00:00,2279.7498417773672,1312.5123963233389,1611.8723161084251,1876.9540488344508,1861.520386855377,1301.4452125957062,1016.4956679106574,1160.6911300556555,1764.056931298747,1475.7499377492659
2021-02-03 06:00:00,2213.540466466721,1274.3939044363972,1565.0596978227015,1822.4428244962446,1807.4573928886196,1340.3728381947692,986.9742081675691,1126.9818900147925,1712.8245086472136,1432.890638144303
2021-02-03 07:00:00,2213.540466466721,1279.9194594024204,1571.8455301743177,1822.4428244962446,1807.4573928886196,1334.5862992543678,991.2535602723557,1126.9818900147925,1720.2510240571935,1439.1034079588821
2021-02-03 08:00:00,2213.540466466721,1242.6925635300195,1526.1278645435302,1822.4428244962446,1807.4573928886196,1374.566022842595,991.2535602723557,1126.9818900147925,1670.2169338052431,1397.2465924193205
2021-02-03 09:00:00,2213.540466466721,1242.6925635300195,1526.1278645435302,1822.4428244962446,1808.8408275559666,1375.618120831759,991.2535602723557,1127.8444861801313,1668.939521236367,1396.1779525780817
2021-02-03 10:00:00,2213.540466466721,1242.6925635300195,1526.1278645435302,1822.4428244962446,1801.9236542192323,1370.3576308859394,991.2535602723557,1123.5315053534384,1675.346198861075,1401.5375608413376
2021-02-03 11:00:00,2213.540466466721,1242.6925635300195,1526.1278645435302,1822.4428244962446,1783.24728621005,1356.1543080322272,991.2535602723557,1111.8864571213683,1675.346198861075,1416.2161931697767
2021-02-03 12:00:00,2213.540466466721,1242.6925635300195,1526.1278645435302,1822.4428244962446,1783.24728621005,1338.2686422164413,991.2535602723557,1097.2223223106132,1675.346198861075,1435.1436108457879
2021-02-03 13:00:00,2213.540466466721,1187.6070178889443,1526.1278645435302,1822.4428244962446,1704.2002615020167,1400.3424235771097,947.3136954668945,1148.1154960655865,1675.346198861075,1371.5271773071693
2021-02-03 14:00:00,2186.931415029105,1202.0569892092658,1526.1278645435302,1822.4428244962446,1724.9357779917748,1383.5088557504878,947.3136954668945,1134.3139574201703,1655.2068005276585,1388.214960453112
2021-02-03 15:00:00,2155.3331664469356,1219.6797382794634,1526.1278645435302,1822.4428244962446,1750.2241883172712,1363.5189939563743,947.3136954668945,1117.924630278738,1655.2068005276585,1408.5668773116065
2021-02-03 16:00:00,2172.7953564528716,1209.877490095817,1526.1278645435302,1822.4428244962446,1736.1580926591532,1363.5189939563743,947.3136954668945,1117.924630278738,1655.2068005276585,1397.2465924193205
2021-02-03 17:00:00,2170.300757880595,1211.268153877536,1526.1278645435302,1822.4428244962446,1738.1536766737042,1363.5189939563743,947.3136954668945,1117.924630278738,1655.2068005276585,1398.8526229853198
2021-02-03 18:00:00,2164.4800278786165,1214.525501967103,1526.1278645435302,1822.4428244962446,1742.8279278211169,1363.5189939563743,947.3136954668945,1117.924630278738,1655.2068005276585,1402.6144241228137
