reference_coin,trading_coin,trading_type,is_sharpe,is_return,is_trades,oos_trades,oos_total_return,oos_mean_return
HFT,1INCH,both,3.534255,0.201347,39,329,0.412287,0.001253
HOOK,1INCH,both,2.961246,0.088008,20,300,-0.692329,-0.002308
AXS,AAVE,both,2.676415,11.654521,290,270,0.311667,0.001154
FUN,AAVE,both,2.021103,6.640624,395,366,-1.848688,-0.005051
HOOK,AAVE,both,2.724569,0.098057,23,330,-1.011342,-0.003065
TRX,AAVE,both,2.043402,6.330895,364,331,-0.356159,-0.001076
HFT,ACA,both,2.240530,0.303018,37,388,-0.993826,-0.002561
HOOK,ADA,both,3.081844,0.125623,21,321,-0.298535,-0.000930
KNC,ADA,both,2.032391,3.246184,344,288,1.241054,0.004309
MAGIC,ADA,both,4.433487,0.031511,8,323,-0.194647,-0.000603
RIF,ADA,both,2.129576,3.776497,388,360,-0.288817,-0.000802
SUN,ADA,both,2.217631,4.262924,379,342,0.582461,0.001703
HFT,AGLD,both,3.044366,0.220439,43,368,3.046278,0.008278
GMT,ALGO,both,2.998446,3.837328,223,270,0.701695,0.002599
GMX,ALGO,both,4.594882,1.426434,72,293,-0.007687,-0.000026
POLYX,ALGO,both,2.524398,0.484675,59,332,0.724544,0.002182
CHZ,ALICE,both,2.070106,5.313059,312,278,-1.203606,-0.004330
DASH,ALICE,both,2.220212,7.244220,299,274,-1.633829,-0.005963
HOOK,ALICE,both,2.109885,0.073434,23,325,-2.012731,-0.006193
GMX,ANKR,both,2.060673,0.315848,69,294,-0.675920,-0.002299
HFT,ANKR,both,2.538257,0.166438,37,333,-0.420385,-0.001262
HOOK,ANKR,both,2.573349,0.096692,22,285,-0.495188,-0.001738
HOOK,APE,both,2.447573,0.092112,16,323,-1.650081,-0.005109
GMX,API3,both,3.406954,0.618959,79,334,-1.318457,-0.003947
HOOK,API3,both,3.094186,0.141042,23,343,-1.548348,-0.004514
AGLD,APT,both,2.392184,0.398357,58,318,0.261863,0.000823
ALCX,APT,both,3.469570,1.109186,57,339,1.082636,0.003194
ATA,APT,both,4.116751,0.873504,59,302,0.326630,0.001082
