total_cumulative_return,growth_factor,profit_factor,max_drawdown,sharpe_ratio,volatility,num_trades,trading_coin,reference_coin,trading_type
2.662331,3.662331,1.456434,0.378480,2.106716,0.824571,257,AVAX,API3,both
2.848410,3.848410,1.546121,0.428598,2.053027,0.828536,234,AVAX,EOS,both
8.447447,9.447447,1.468107,0.362457,2.167822,1.072962,413,AVAX,FUN,both
0.936423,1.936423,2.089563,0.209135,3.613507,0.964067,76,AVAX,GMX,both
0.100296,1.100296,1.611058,0.085343,2.659961,0.674797,20,AVAX,HOOK,both
4.830381,5.830381,1.413256,0.407056,2.008026,0.906728,380,AVAX,KAVA,both
16.774633,17.774633,1.701506,0.356949,2.813397,0.989790,347,AVAX,KNC,both
7.941477,8.941477,1.556742,0.345339,2.451883,0.865048,329,AVAX,LTC,both
8.145148,9.145148,1.609731,0.363965,2.411589,0.896759,295,AVAX,NEO,both
0.187297,1.187297,1.580160,0.162505,2.111796,0.614870,34,AVAX,OSMO,both
6.694938,7.694938,1.453957,0.317143,2.117770,0.991448,400,AVAX,REQ,both
6.678110,7.678110,1.512323,0.308052,2.326625,0.858320,319,AVAX,SHIB,both
0.457171,1.457171,1.445425,0.181327,2.138568,0.594446,102,AVAX,STG,both
9.550689,10.550689,1.631828,0.356969,2.552045,0.890013,314,AVAX,SUSHI,both
5.263996,6.263996,1.428073,0.355611,2.117309,1.166990,394,AVAX,TUSD,both
10.868919,11.868919,1.544024,0.497213,2.283784,1.131933,373,AXS,FUN,both
0.713692,1.713692,1.675216,0.316420,2.664942,1.194266,63,AXS,GMX,both
0.232309,1.232309,1.653188,0.100335,2.569481,1.030314,30,AXS,PHB,both
6.075806,7.075806,1.501709,0.363286,2.066609,0.976507,362,AXS,REQ,both
7.432075,8.432075,1.500152,0.401894,2.295930,0.925681,389,AXS,RIF,both
7.673395,8.673395,1.500903,0.460980,2.214372,0.991797,367,AXS,STRAX,both
6.536982,7.536982,1.526792,0.417758,2.077493,1.358816,401,AXS,TUSD,both
0.082122,1.082122,1.389570,0.091043,2.030937,0.781336,26,BAKE,HOOK,both
3.848507,4.848507,1.432805,0.391239,2.235823,0.899931,343,BAL,RAD,both
0.846381,1.846381,1.638806,0.223277,2.628919,0.785148,111,BAL,STG,both
2.390180,3.390180,2.456402,0.356377,2.536808,3.935938,77,BAND,GMX,both
2.805795,3.805795,2.223435,0.306793,2.182869,2.823178,115,BAND,STG,both
0.187493,1.187493,2.311457,0.071304,3.618729,0.886210,24,BAT,HOOK,both
0.108638,1.108638,1.952146,0.046461,4.404562,0.388407,24,BCH,HOOK,both
40.776819,41.776819,1.806025,0.416764,2.156507,2.022130,406,BEL,FUN,both
2.735420,3.735420,1.467672,0.457261,2.053971,1.061548,239,BICO,GMT,both
0.260429,1.260429,2.270093,0.044749,3.942534,0.496434,35,BNB,HFT,both
0.214291,1.214291,4.497522,0.026671,5.811296,0.612446,17,BNB,HOOK,both
0.192847,1.192847,2.471125,0.087329,4.335971,0.446886,25,BNT,PHB,both
0.301564,1.301564,1.861559,0.072597,2.335557,0.587823,61,BTC,GMX,both
0.082856,1.082856,2.808582,0.022050,4.239257,0.308968,19,BTC,HOOK,both
0.103699,1.103699,1.641134,0.054536,2.052544,0.347124,29,BTC,OSMO,both
0.058463,1.058463,1.584070,0.041457,2.249510,0.288802,27,BTC,PHB,both
13.381469,14.381469,1.547432,0.469448,2.375591,1.163571,389,C98,FUN,both
6.884011,7.884011,1.540160,0.413878,2.205705,0.942611,328,C98,NKN,both
6.507305,7.507305,1.483711,0.454379,2.088425,0.997273,362,C98,WIN,both
6.688848,7.688848,1.535397,0.423035,2.000902,1.076275,302,C98,ZRX,both
1.018344,2.018344,1.968787,0.263882,2.894301,1.415152,69,CELO,GMX,both
0.275928,1.275928,1.552855,0.228276,2.495658,0.967030,42,CELO,HFT,both
0.415302,1.415302,1.762399,0.212757,2.253501,1.384140,38,CELO,OSMO,both
0.866143,1.866143,1.602592,0.238668,2.037182,1.156352,120,CELO,STG,both
2.424717,3.424717,1.536716,0.431693,2.134685,0.903251,207,CHR,GMT,both
20.530176,21.530176,1.768750,0.377616,2.638606,1.171780,305,CHR,SHIB,both
0.493890,1.493890,1.462980,0.271973,2.008539,1.303948,66,CHZ,GMX,both
0.513048,1.513048,1.714717,0.190125,2.788711,0.791729,68,COTI,GMX,both
0.131378,1.131378,1.651840,0.154134,2.727108,0.878017,23,COTI,HOOK,both
0.280538,1.280538,1.570313,0.161492,2.225249,0.701849,59,COTI,POLYX,both
0.429576,1.429576,1.373048,0.181372,2.008959,0.608239,116,COTI,STG,both
8.623945,9.623945,1.489752,0.399691,2.116678,1.132410,351,CRV,1INCH,both
4.200386,5.200386,1.620753,0.276321,2.524274,1.053819,209,CRV,APE,both
13.209596,14.209596,1.544605,0.450684,2.484875,1.092382,384,CRV,ARDR,both
6.457690,7.457690,1.466518,0.373598,2.005954,1.080870,336,CRV,ARPA,both
6.905222,7.905222,1.451642,0.472571,2.075352,1.058032,318,CRV,BTC,both
4.464215,5.464215,1.547663,0.378522,2.425748,0.941173,302,CRV,BTTC,both
19.541415,20.541415,1.647161,0.347132,2.862817,1.032346,337,CRV,CELO,both
5.626859,6.626859,1.417956,0.378169,2.004687,0.998770,332,CRV,DASH,both
8.281205,9.281205,1.475504,0.470480,2.181522,1.065955,331,CRV,DOGE,both
45.463700,46.463700,1.766033,0.371784,3.211361,1.156327,404,CRV,FUN,both
8.344822,9.344822,1.497983,0.335018,2.289855,0.990771,324,CRV,HBAR,both
0.222050,1.222050,2.420402,0.078683,4.648655,0.776918,20,CRV,HOOK,both
11.424797,12.424797,1.593158,0.387322,2.472379,1.019611,315,CRV,HOT,both
7.268824,8.268824,1.597472,0.248966,2.805612,0.981420,291,CRV,LOKA,both
15.466760,16.466760,1.605052,0.463936,2.594379,1.080053,341,CRV,LTC,both
15.586838,16.586838,1.502458,0.413918,2.542777,1.127573,425,CRV,MDT,both
35.733515,36.733515,1.719769,0.305333,3.245598,1.059866,413,CRV,MLN,both
9.968910,10.968910,1.432684,0.341978,2.291721,1.082611,444,CRV,NMR,both
13.715401,14.715401,1.500181,0.361199,2.573702,1.043301,421,CRV,RIF,both
8.101053,9.101053,1.433275,0.443042,2.049133,1.186287,416,CRV,SUN,both
9.534060,10.534060,1.477070,0.472884,2.497407,1.239175,404,CRV,TUSD,both
23.813359,24.813359,1.706801,0.373616,2.912689,1.070733,378,CRV,WIN,both
25.368958,26.368958,1.683661,0.369468,2.899571,1.109000,350,CRV,ZEC,both
9.688476,10.688476,1.502352,0.408217,2.282958,1.074861,327,CRV,ZRX,both
0.141057,1.141057,1.541055,0.126077,2.524191,0.615869,37,CTSI,PHB,both
7.219359,8.219359,1.837457,0.413083,2.322350,1.517496,250,CTXC,GMT,both
1.069093,2.069093,1.998658,0.243027,2.217954,2.302879,76,CTXC,GMX,both
0.741278,1.741278,2.143309,0.276724,2.492131,2.941906,44,CTXC,HFT,both
1.328410,2.328410,3.777094,0.284009,4.815031,4.355233,20,CTXC,HOOK,both
0.971823,1.971823,2.378109,0.266714,2.557429,2.740732,41,CTXC,OSMO,both
1.219890,2.219890,2.463694,0.230151,3.650691,3.414365,42,CTXC,PHB,both
0.224564,1.224564,1.827320,0.100606,2.946133,0.604495,33,CVX,HFT,both
0.166103,1.166103,2.255905,0.090239,3.764640,0.709889,18,CVX,HOOK,both
41.515148,42.515148,2.216560,0.369359,3.998574,1.532595,276,CVX,TUSD,both
19.560786,20.560786,1.980158,0.470378,3.542262,1.404094,277,CVX,USDC,both
25.049765,26.049765,2.035977,0.346779,3.502573,1.569709,281,CVX,USDP,both
5.811161,6.811161,1.473422,0.361396,2.307892,0.799297,408,DASH,FUN,both
0.232349,1.232349,1.697966,0.098522,2.911270,0.634804,41,DASH,HFT,both
0.124931,1.124931,1.841010,0.050059,3.252272,0.697860,20,DATA,HOOK,both
1.346101,2.346101,2.435452,0.159241,3.613887,1.270593,71,DEGO,GMX,both
0.352358,1.352358,1.620017,0.179838,2.095871,1.264709,45,DEGO,OSMO,both
0.317517,1.317517,2.049586,0.099458,3.112191,1.130099,28,DEGO,PHB,both
3.346850,4.346850,1.720967,0.308714,2.741602,0.782884,202,DENT,GMT,both
0.399269,1.399269,1.572181,0.250164,2.443747,0.907367,67,DENT,POLYX,both
0.214851,1.214851,1.508726,0.127497,2.257644,0.639158,41,DF,OSMO,both
4.128747,5.128747,1.769126,0.468240,2.832653,0.846809,208,DOGE,GMT,both
0.104066,1.104066,1.839002,0.091678,2.767535,0.666249,18,DOGE,HOOK,both
0.686959,1.686959,1.666101,0.311975,2.445935,1.619662,60,DOGE,POLYX,both
5.834588,6.834588,1.477236,0.323367,2.266830,0.825963,375,DOT,FUN,both
0.098163,1.098163,1.938730,0.030925,3.269308,0.488511,22,DOT,HOOK,both
2.042115,3.042115,1.414405,0.454407,2.021344,0.894341,248,DUSK,GMT,both
5.215565,6.215565,1.567945,0.282269,2.163988,1.226911,257,DYDX,API3,both
7.052643,8.052643,1.673205,0.337449,2.415264,1.145699,246,DYDX,IMX,both
0.141043,1.141043,1.403104,0.118612,2.026302,0.841165,28,DYDX,PHB,both
5.838552,6.838552,1.551763,0.392102,2.181087,0.869178,323,EGLD,1INCH,both
5.360313,6.360313,1.494381,0.446711,2.108510,0.878292,349,EGLD,BCH,both
6.958297,7.958297,1.486440,0.400219,2.263574,0.909367,407,EGLD,FUN,both
0.447067,1.447067,1.831431,0.070245,3.904251,0.465115,73,EGLD,GMX,both
6.308258,7.308258,1.516237,0.344265,2.250713,0.866975,403,EGLD,HIVE,both
0.085966,1.085966,1.686999,0.072721,3.256074,0.429012,20,EGLD,HOOK,both
2.448069,3.448069,1.453643,0.301205,2.045865,0.810480,284,EGLD,LOKA,both
4.939062,5.939062,1.451575,0.454475,2.039124,0.882264,349,EGLD,LTC,both
1.378808,2.378808,1.444829,0.191120,2.128124,0.750966,215,EGLD,NEXO,both
6.538147,7.538147,1.528518,0.446701,2.237548,0.891516,390,EGLD,ONG,both
5.093455,6.093455,1.456746,0.371024,2.146818,1.114499,411,EGLD,TUSD,both
0.138895,1.138895,1.423520,0.119147,2.030452,0.588765,39,ENJ,HFT,both
0.103214,1.103214,1.657391,0.098807,2.718742,0.676405,23,ENJ,HOOK,both
2.691001,3.691001,1.550558,0.182947,2.558256,0.948283,217,ENS,NEXO,both
0.102133,1.102133,1.887991,0.070537,3.366688,0.516452,19,EOS,HOOK,both
0.298859,1.298859,1.432235,0.188580,2.131876,0.667170,75,ETC,GMX,both
0.351363,1.351363,2.697864,0.064130,4.283772,0.598300,32,ETC,HFT,both
0.137393,1.137393,2.023222,0.080417,3.102740,0.774890,22,ETC,HOOK,both
1.775414,2.775414,1.578389,0.257648,2.436582,0.630474,189,ETH,APE,both
3.561797,4.561797,1.531831,0.235900,2.218969,0.640427,302,ETH,CHZ,both
8.586211,9.586211,1.788993,0.225201,3.130160,0.650988,326,ETH,FUN,both
0.808759,1.808759,2.224858,0.187168,3.268593,0.965137,67,ETH,GMX,both
0.180898,1.180898,1.922019,0.069887,3.593392,0.388100,34,ETH,HFT,both
3.449884,4.449884,1.456898,0.287484,2.093292,0.677669,365,ETH,HIVE,both
0.157719,1.157719,3.975703,0.031112,5.313698,0.502270,17,ETH,HOOK,both
0.232104,1.232104,1.911459,0.073930,2.403269,0.631654,34,ETH,OSMO,both
0.130721,1.130721,1.737121,0.062857,2.796698,0.516349,28,ETH,PHB,both
0.476811,1.476811,1.839216,0.110713,2.867611,0.844163,57,ETH,POLYX,both
4.114225,5.114225,1.575713,0.378112,2.288197,0.665847,310,ETH,SUSHI,both
2.111164,3.111164,3.164205,0.373400,2.981996,3.190192,54,FIDA,APT,both
2.421335,3.421335,2.954548,0.418534,2.532964,3.832545,69,FIDA,GMX,both
1.115539,2.115539,3.649705,0.280797,2.451069,4.638315,37,FIDA,HFT,both
2.447177,3.447177,4.732198,0.352828,2.947339,4.837347,32,FIDA,OSMO,both
2.244702,3.244702,3.019869,0.333541,3.086841,2.978312,57,FIDA,POLYX,both
7.098001,8.098001,1.501480,0.471687,2.130841,1.439552,396,FIDA,TUSD,both
8.904126,9.904126,1.551137,0.441595,2.269907,1.427119,402,FIDA,USDP,both
0.188583,1.188583,2.154275,0.143467,2.391544,1.637000,21,FIL,HOOK,both
0.453966,1.453966,1.747056,0.131450,2.291497,0.911175,65,FIO,GMX,both
15.809934,16.809934,1.722652,0.444755,2.577345,1.097146,324,FLM,1INCH,both
9.386958,10.386958,1.678424,0.399366,2.732763,1.105461,314,FLM,ACH,both
5.859556,6.859556,1.751570,0.301136,2.844500,1.066904,234,FLM,APE,both
16.017078,17.017078,1.658160,0.393659,2.232932,1.360940,418,FLM,ASR,both
7.741414,8.741414,1.525833,0.363208,2.122702,1.067520,336,FLM,ATOM,both
5.615004,6.615004,1.606910,0.494357,2.204517,1.154982,246,FLM,BAL,both
11.151786,12.151786,1.567216,0.447670,2.272641,1.143690,367,FLM,CAKE,both
4.345157,5.345157,1.476391,0.336884,2.067321,1.121901,295,FLM,CTXC,both
22.984635,23.984635,1.768141,0.304435,2.868723,1.068658,396,FLM,DEXE,both
9.160872,10.160872,1.650932,0.420753,2.432132,1.071490,305,FLM,ENS,both
7.546347,8.546347,1.724050,0.420775,2.509967,1.111997,231,FLM,EOS,both
11.355838,12.355838,1.508814,0.456021,2.310773,1.130596,415,FLM,FUN,both
6.529937,7.529937,1.572261,0.379869,2.343167,1.132372,310,FLM,HARD,both
7.190584,8.190584,1.589399,0.411347,2.132315,1.017605,304,FLM,HBAR,both
