Date,ASR,CTK,TRX,CHR,BTC,FUN,OG,TRU,HBAR,MDT
2022-09-25 20:00:00,1332.5490728543311,1172.6785743564187,927.9349165112508,753.5320292985067,1275.667981043977,989.892176247998,575.0462515184649,602.8711998366887,800.2278788542828,613.429056081714
2022-09-25 21:00:00,1325.8752043759287,1172.6785743564187,923.287496228223,753.5320292985067,1275.667981043977,984.9344524938342,572.1662202086895,599.8518115236502,800.2278788542828,610.3567903584332
2022-09-25 22:00:00,1323.6654123686355,1172.6785743564187,921.7486837345091,753.5320292985067,1275.667981043977,983.2928950730112,571.2126098416751,598.8520585044441,800.2278788542828,609.339529041169
2022-09-25 23:00:00,1321.4629740785047,1172.6785743564187,920.2149920810407,753.5320292985067,1275.667981043977,981.6568004056684,570.2621728868636,597.8556324503601,800.2278788542828,608.3256529529142
2022-09-26 00:00:00,1306.2487622058902,1172.6785743564187,909.6204115801077,753.5320292985067,1275.667981043977,970.3548306641559,563.6966544490215,590.9724261557013,800.2278788542828,601.3219036590484
2022-09-26 01:00:00,1304.1038545503798,1172.6785743564187,909.6204115801077,753.5320292985067,1275.667981043977,968.7614729783362,562.7710441789902,590.9724261557013,800.2278788542828,600.3345113706099
2022-09-26 02:00:00,1304.1038545503798,1172.6785743564187,909.6204115801077,753.5320292985067,1275.667981043977,968.7614729783362,562.7710441789902,590.9724261557013,800.2278788542828,600.3345113706099
2022-09-26 03:00:00,1304.1038545503798,1174.6041549382849,911.1140411557728,753.5320292985067,1275.667981043977,967.1733394160765,561.8484686967296,590.9724261557013,801.5418819394295,600.3345113706099
2022-09-26 04:00:00,1304.1038545503798,1163.0506714470885,902.1522637017816,746.1202388463902,1275.667981043977,967.1733394160765,567.4297448758361,585.1595826197436,793.6578634285497,600.3345113706099
2022-09-26 05:00:00,1304.1038545503798,1157.2739297014905,897.6713749747861,742.4143436203321,1275.667981043977,967.1733394160765,570.2621728868635,582.2531608517648,789.71585417311,600.3345113706099
2022-09-26 06:00:00,1317.1231941964736,1168.827413192687,906.6331524287773,749.8261340724484,1275.667981043977,967.1733394160765,570.2621728868635,588.0660043877225,797.5998726839896,600.3345113706099
2022-09-26 07:00:00,1330.1425338425672,1180.3808966838828,915.5949298827685,757.237924524565,1275.667981043977,967.1733394160765,570.2621728868635,593.8788479236802,797.5998726839896,600.3345113706099
2022-09-26 08:00:00,1321.4629740785047,1172.6785743564187,915.5949298827685,752.2967308898207,1284.0467526764498,967.1733394160765,570.2621728868635,590.0036188997084,797.5998726839896,600.3345113706099
2022-09-26 09:00:00,1325.802753960536,1176.529735520151,915.5949298827685,754.7673277071927,1279.8436536496856,967.1733394160765,572.134955063832,591.9412334116943,797.5998726839896,600.3345113706099
2022-09-26 10:00:00,1319.2930841374891,1170.7529937745528,915.5949298827685,751.0614324811346,1286.1586716775623,967.1733394160765,569.3257817983795,589.0348116437154,797.5998726839896,600.3345113706099
2022-09-26 11:00:00,1351.8414332527234,1199.6367025025434,915.5949298827685,769.5909086114258,1286.1586716775623,967.1733394160765,583.3716481256421,603.5669204836097,797.5998726839896,600.3345113706099
2022-09-26 12:00:00,1369.2005527808483,1215.0413471574716,927.3521681477157,779.4732958809143,1286.1586716775623,967.1733394160765,590.8627768335156,611.3173785315533,807.8419256237519,608.0434617573915
2022-09-26 13:00:00,1364.860772898817,1211.1901859937398,924.4128585814789,777.0026990635422,1286.1586716775623,964.107813776089,588.9899946565471,609.3797640195673,805.2814123888113,606.116224160696
2022-09-26 14:00:00,1369.2005527808483,1215.0413471574716,927.3521681477157,779.4732958809143,1286.1586716775623,967.1733394160765,590.8627768335156,611.3173785315533,807.8419256237519,608.0434617573914
2022-09-26 15:00:00,1358.35110307577,1205.4134442481416,920.0038942321237,773.296803837484,1275.9672400477878,959.5095253161077,586.1808213910946,606.4733422515885,801.4406425364004,603.2253677656529
2022-09-26 16:00:00,1356.1812131347544,1203.4878636662754,918.5342394490052,772.0615054287979,1273.9289537218328,957.9767624961139,585.2444303026105,605.5045349955957,800.1603859189302,602.2617489673054
2022-09-26 17:00:00,1362.6908829578013,1209.2646054118736,922.9432037983605,775.7674006548561,1280.0438126996976,962.5750509560952,588.053603568063,608.4109567635745,804.001155771341,605.1526053623484
2022-09-26 18:00:00,1364.860772898817,1211.1901859937398,924.4128585814789,777.0026990635422,1282.0820990256525,964.107813776089,588.9899946565471,609.3797640195675,805.2814123888113,606.116224160696
2022-09-26 19:00:00,1351.8414332527234,1199.6367025025434,915.5949298827685,769.5909086114258,1269.852381069923,954.9112368561264,583.371648125642,603.5669204836098,797.5998726839896,600.3345113706099
2022-09-26 20:00:00,1338.8220936066296,1188.083219011347,906.777001184058,762.1791181593093,1257.6226631141933,945.7146599361637,577.753301594737,597.754076947652,789.9183329791679,594.5527985805237
2022-09-26 21:00:00,1347.501653370692,1188.083219011347,912.6556203165317,762.1791181593093,1257.6226631141933,945.7146599361637,581.4988659486736,601.6293059716239,795.039359449049,594.5527985805237
2022-09-26 22:00:00,1356.1812131347544,1188.083219011347,918.5342394490052,762.1791181593093,1257.6226631141933,945.7146599361637,585.2444303026103,605.5045349955957,800.1603859189302,594.5527985805237
2022-09-26 23:00:00,1371.3704427218638,1188.083219011347,928.8218229308342,762.1791181593093,1257.6226631141933,945.7146599361637,591.7991679219995,612.2861857875464,800.1603859189302,594.5527985805237
2022-09-27 00:00:00,1380.0500024859261,1188.083219011347,934.7004420633078,762.1791181593093,1257.6226631141933,945.7146599361637,595.5447322759363,616.1614148115181,800.1603859189302,594.5527985805237
2022-09-27 01:00:00,1380.0500024859261,1188.083219011347,934.7004420633078,762.1791181593093,1257.6226631141933,945.7146599361637,595.5447322759363,616.1614148115181,800.1603859189302,594.5527985805237
2022-09-27 02:00:00,1380.0500024859261,1188.083219011347,934.7004420633078,762.1791181593093,1257.6226631141933,945.7146599361637,595.5447322759363,616.1614148115181,800.1603859189302,594.5527985805237
2022-09-27 03:00:00,1369.2005527808483,1188.083219011347,934.7004420633078,762.1791181593093,1267.5879774019445,945.7146599361637,590.8627768335155,611.3173785315533,800.1603859189302,594.5527985805237
2022-09-27 04:00:00,1377.8801125449104,1180.5992302301734,934.7004420633078,757.3779898559435,1259.603171245082,939.7574022357783,594.6083411874521,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 05:00:00,1377.8801125449104,1180.5992302301734,934.7004420633078,757.3779898559435,1259.603171245082,939.7574022357783,594.6083411874521,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 06:00:00,1371.3704427218638,1186.2033405002533,939.1373112503172,760.9731385419685,1265.582300222511,944.2182759805684,591.7991679219995,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 07:00:00,1371.3704427218638,1186.2033405002533,939.1373112503172,760.9731385419685,1265.582300222511,944.2182759805684,591.7991679219995,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 08:00:00,1373.5403326628793,1184.3294015737124,937.6536820066358,759.770969286768,1263.582960095777,942.7266199363653,592.7355590104837,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 09:00:00,1382.2198924269417,1176.8924822545682,931.7657467978029,755.0000369835543,1255.6483732191946,936.8068295443002,596.4811233644203,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 10:00:00,1386.559672308973,1173.2089377091706,928.8494220816908,752.6369695751551,1251.7183313624835,933.874726791423,598.3539055413888,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 11:00:00,1395.2392320730353,1165.9105928400622,923.0711986161749,747.9549355498043,1243.9315921316127,928.0652417102942,602.0994698953253,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 12:00:00,1397.409122014051,1165.9105928400622,921.6378582456528,746.7935148424287,1242.0000213363774,928.0652417102942,603.0358609838096,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 13:00:00,1395.2392320730353,1165.9105928400622,923.0711986161749,747.9549355498043,1243.9315921316127,928.0652417102942,602.0994698953253,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 14:00:00,1384.3897823679574,1165.9105928400622,930.3052989188095,753.8166513456491,1253.6802723207318,928.0652417102942,597.4175144529045,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 15:00:00,1345.3317634296764,1165.9105928400622,957.3141624358071,753.8166513456491,1253.6802723207318,928.0652417102942,580.5624748601894,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 16:00:00,1345.3317634296764,1165.9105928400622,961.9688504217188,753.8166513456491,1247.6140774546639,928.0652417102942,583.3853069907899,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 17:00:00,1345.3317634296764,1165.9105928400622,961.9688504217188,753.8166513456491,1239.5258176332397,928.0652417102942,587.1920626644657,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 18:00:00,1360.8718993108773,1165.9105928400622,961.9688504217188,753.8166513456491,1225.3713629457477,928.0652417102942,593.9748092629001,615.1926075555252,800.1603859189302,594.5527985805237
2022-09-27 19:00:00,1365.3780976529663,1165.9105928400622,961.9688504217188,753.8166513456491,1221.3272330350355,928.0652417102942,595.9416132670818,617.2296691699474,800.1603859189302,594.5527985805237
2022-09-27 20:00:00,1365.3780976529663,1165.9105928400622,961.9688504217188,753.8166513456491,1221.3272330350355,928.0652417102942,595.9416132670818,617.2296691699474,800.1603859189302,594.5527985805237
2022-09-27 21:00:00,1349.7354680562873,1165.9105928400622,961.9688504217188,753.8166513456491,1235.4816877225276,917.4327430327622,589.1141316093575,610.1582981647271,800.1603859189302,587.7412280566879
2022-09-27 22:00:00,1358.6299357205794,1165.9105928400622,961.9688504217188,753.8166513456491,1227.3934279011037,923.4784283245762,592.9962675672446,614.1791106732262,800.1603859189302,591.6143168741949
2022-09-27 23:00:00,1356.3953470105125,1165.9105928400622,961.9688504217188,753.8166513456491,1229.4154928564597,921.9595493306213,592.0209447587458,613.1689476622504,800.1603859189302,590.641267010915
2022-09-28 00:00:00,1372.1936289224489,1165.9105928400622,961.9688504217188,753.8166513456491,1215.2610381689674,932.6978469101792,598.9163634165016,620.3106824935911,800.1603859189302,597.5206162107094
2022-09-28 01:00:00,1419.4292099524814,1165.9105928400622,961.9688504217188,753.8166513456491,1174.819739061847,964.804485358034,619.5331057027838,641.6638901525787,800.1603859189302,618.0893121215771
