Date,DOT,SOL,SKL,ARDR,KNC,1INCH,ATM,AXS,AVA,STPT
2022-04-03 12:00:00,14231.801621633498,6779.940845785534,14998.033062472816,6650.188022280929,6286.624220266882,6296.450879281787,16267.9148582213,8915.031166855842,10574.383734820653,8299.352653979598
2022-04-03 13:00:00,14231.801621633498,6779.940845785534,15142.615643409248,6714.296518639678,6286.624220266882,6296.450879281787,16424.739230247855,8915.031166855842,10473.418899669598,8379.359266967831
2022-04-03 14:00:00,14231.801621633498,6779.940845785534,14959.477707556436,6633.092423251931,6286.624220266882,6296.450879281787,16226.095025680888,8915.031166855842,10601.63730114751,8278.017557182735
2022-04-03 15:00:00,14231.801621633498,6779.940845785534,14888.792890209734,6601.750491698765,6286.624220266882,6296.450879281787,16149.425332690129,8915.031166855842,10651.968768697196,8238.903213055155
2022-04-03 16:00:00,14231.801621633498,6779.940845785534,14898.431728938824,6606.0243914560115,6286.624220266882,6296.450879281787,16159.880290825224,8915.031166855842,10645.077264210226,8244.236987254366
2022-04-03 17:00:00,14231.801621633498,6779.940845785534,14924.135298883086,6617.421457475348,6286.624220266882,6296.450879281787,16187.76017918551,8915.031166855842,10626.743438997373,8258.460385118946
2022-04-03 18:00:00,14231.801621633498,6779.940845785534,14953.051815070368,6630.243156747097,6286.624220266882,6296.450879281787,16219.125053590815,8915.031166855842,10606.193226072799,8274.46170771659
2022-04-03 19:00:00,14231.801621633498,6779.940845785534,14859.876374022444,6588.928792427012,6286.624220266882,6296.450879281787,16118.060458284812,8915.031166855842,10672.696924138987,8222.901890457504
2022-04-03 20:00:00,14231.801621633498,6779.940845785534,15091.20850352074,6691.5023866010115,6286.624220266882,6296.450879281787,16368.979453527303,8915.031166855842,10509.095864199024,8350.912471238682
2022-04-03 21:00:00,14231.801621633498,6779.940845785534,15071.930826062548,6682.954587086511,6286.624220266882,6296.450879281787,16348.069537257094,8915.031166855842,10522.537470505822,8340.244922840251
2022-04-03 22:00:00,14231.801621633498,6779.940845785534,15007.67190120191,6654.461922038178,6286.624220266882,6296.450879281787,16278.369816356402,8915.031166855842,10567.592223109144,8304.686428178811
2022-04-03 23:00:00,14231.801621633498,6779.940845785534,15087.995557277709,6654.461922038178,6286.624220266882,6296.450879281787,16365.494467482267,8915.031166855842,10511.333746623255,8349.134546505611
2022-04-04 00:00:00,14404.547084247017,6862.235698470748,15271.133493130523,6574.658780957563,6362.93120079397,6372.877135695555,16564.138672049237,9023.241724034457,10385.277356226135,8450.476256290705
2022-04-04 01:00:00,14683.364322149548,6995.062478243378,15566.724547489457,6574.658780957563,6486.093344802605,6496.231795170411,16884.757388192415,9197.897360182398,10188.074979183244,8614.045331733321
2022-04-04 02:00:00,14286.352820353555,6805.928694001917,15145.828589652283,6574.658780957563,6310.7211614859625,6320.585486570345,16428.22421629289,8949.202921754351,10188.074979183244,8381.137191700906
2022-04-04 03:00:00,14228.770999482384,6778.49707644018,15084.78261103468,6601.265493809147,6285.285501310266,6295.110067765757,16428.22421629289,8913.132736028147,10229.304675584623,8347.356621772538
2022-04-04 04:00:00,14253.015976691297,6790.047231203015,15110.48618097893,6590.036464689337,6295.99525296319,6305.8365598940045,16428.22421629289,8928.320182649706,10211.904199844741,8361.580019637113
2022-04-04 05:00:00,14301.50593110913,6813.147540728691,15161.893320867444,6567.692624164854,6317.4147562690405,6305.8365598940045,16428.22421629289,8958.695075892827,10177.280239853742,8390.026815366264
2022-04-04 06:00:00,14328.78153046916,6826.141464836884,15190.809837054729,6555.190671200073,6329.463226878582,6305.8365598940045,16428.22421629289,8975.780953342082,10157.907244473308,8406.028137963911
2022-04-04 07:00:00,14210.587266575696,6769.834460368052,15065.504933576487,6609.712410627841,6277.253187570574,6305.8365598940045,16428.22421629289,8901.742151061975,10242.393996986522,8336.689073374107
2022-04-04 08:00:00,14071.178647624427,6703.421070481735,14917.709406397016,6675.197392512158,6215.6721155662535,6305.8365598940045,16428.22421629289,8901.742151061975,10343.869362883872,8254.904535652799
2022-04-04 09:00:00,14071.178647624427,6703.421070481735,14917.709406397016,6675.197392512158,6215.6721155662535,6305.8365598940045,16428.22421629289,8901.742151061975,10343.869362883872,8254.904535652799
2022-04-04 10:00:00,14186.342289366778,6758.2843056052125,14917.709406397016,6729.82963479419,6266.543435917647,6305.8365598940045,16428.22421629289,8901.742151061975,10259.898622488745,8322.465675509533
2022-04-04 11:00:00,14037.841803962172,6687.539607682835,14917.709406397016,6659.382796062099,6200.946207043484,6305.8365598940045,16428.22421629289,8901.742151061975,10259.898622488745,8235.34736358901
2022-04-04 12:00:00,14180.281045064552,6755.396766914505,14917.709406397016,6726.954253621452,6263.865998004417,6305.8365598940045,16428.22421629289,8992.06639136852,10259.898622488745,8318.90982604339
2022-04-04 13:00:00,14019.658071055484,6678.876991610707,14917.709406397016,6650.756652543884,6192.913893303789,6305.8365598940045,16428.22421629289,8890.211396980289,10259.898622488745,8224.679815190579
2022-04-04 14:00:00,13810.545142628587,6579.256906781235,14917.709406397016,6551.5560020844105,6100.542285297312,6305.8365598940045,16428.22421629289,8757.607725040894,10259.898622488745,8102.003008608618
2022-04-04 15:00:00,13892.371940708677,6618.238679105811,14917.709406397016,6590.373647916379,6136.687697125934,6343.19833016329,16428.22421629289,8809.496118408484,10259.898622488745,8150.00697640156
2022-04-04 16:00:00,13674.167145828438,6514.287286240275,14917.709406397016,6486.859925697797,6040.299932249611,6243.566942778526,16428.22421629289,8671.127069428247,10259.898622488745,8021.996395620382
2022-04-04 17:00:00,13731.748966699608,6541.718903802012,14917.709406397016,6514.17604683881,6065.735592425306,6269.858558893949,16428.22421629289,8707.641124020252,10259.898622488745,8055.776965548746
2022-04-04 18:00:00,13992.382471695453,6665.883067502514,14917.709406397016,6637.817437266561,6065.735592425306,6388.862716047973,16428.22421629289,8872.91526585776,10259.898622488745,8208.678492592931
