Date,ZRX,FUN,SUN,ATOM,EOS,ETC,ZEC,XRP,DASH,YFI
2021-11-13 15:00:00,34609.026019950856,18818.174171073937,10405.419228765924,29072.56937148822,12817.126940881426,4066.2658356694915,16142.639243593216,16945.579168809723,6745.864316077402,18248.70775308795
2021-11-13 16:00:00,35049.665193787856,19057.765563073317,10274.603847020031,29072.56937148822,12655.991928750269,4066.2658356694915,16142.639243593216,17161.328840610062,6661.05631398614,18248.70775308795
2021-11-13 17:00:00,34171.92138494145,18580.504635160127,10538.518474865496,29072.56937148822,12981.075158198584,4066.2658356694915,15738.381411851751,16731.560109350037,6832.152954239887,18248.70775308795
2021-11-13 18:00:00,34264.99757406745,18631.113512079784,10509.892027816895,29072.56937148822,12945.813839301021,4066.2658356694915,15781.249020855214,16777.132900987013,6813.594343251166,18248.70775308795
2021-11-13 19:00:00,34199.01951595283,18595.2388651494,10530.16811399727,29072.56937148822,12970.789399124662,4066.2658356694915,15750.861854979346,16744.828137294986,6826.739390387353,18248.70775308795
2021-11-13 20:00:00,32866.49837795915,17870.699120894606,10957.097427767374,29072.56937148822,13496.669912833075,4066.2658356694915,15137.149629879215,16744.828137294986,7103.518937653199,18248.70775308795
2021-11-13 21:00:00,32866.49837795915,17686.84155537637,11070.998219602256,29374.783410736913,13636.969969516878,4108.535323692858,14981.415404765386,16744.828137294986,7177.361160664046,18438.40600819086
2021-11-13 22:00:00,32412.171514397556,17934.760990413157,10917.959345799354,28968.72393152721,13448.460633247303,4051.7413827631144,15191.412426086123,16513.35762403834,7078.145602399402,18183.524484931477
2021-11-13 23:00:00,32068.53101912192,18126.94659896881,10802.20489980911,28661.591574322712,13305.877293200147,4008.783988967916,15354.200814706854,16338.279616998065,7003.101649871843,17990.739026015744
2021-11-14 00:00:00,32015.353128358824,18157.055677642526,10784.292059591387,28614.063267368867,13283.812718780351,4002.136391766438,15354.200814706854,16311.186537860405,6991.488702140695,17960.905743222018
2021-11-14 01:00:00,32047.012315630367,18139.118354177335,10794.956378068113,28642.35900360359,13296.948751135136,4006.094005009222,15354.200814706854,16327.316264968296,6998.402411611289,17978.666836664015
2021-11-14 02:00:00,31952.22204010965,18192.930324572917,10794.956378068113,28557.63918402182,13257.618362913885,3994.244577338503,15354.200814706854,16279.022502291537,6977.702182639307,17925.48862566082
2021-11-14 03:00:00,31333.258070340948,18192.930324572917,10794.956378068113,28004.433535463933,13000.79778620136,3916.8698809335683,15354.200814706854,15963.672653403912,6842.533297126162,17578.24418094411
2021-11-14 04:00:00,31333.258070340948,18192.930324572917,10794.956378068113,28028.62952089288,13012.030547378306,3920.254078169557,15340.94615240134,15977.46535484974,6848.445283731594,17593.431881117725
2021-11-14 05:00:00,31333.258070340948,18192.930324572917,10794.956378068113,28641.34747799956,13296.47915978215,4005.952526904794,15012.760713716825,16326.739653996938,6998.15525797336,17978.031907054014
2021-11-14 06:00:00,31333.258070340948,18192.930324572917,10794.956378068113,28757.123437594342,13350.227072136424,4022.1456546286136,14952.31945360368,16392.736686851193,7026.443666575906,18050.703903274294
2021-11-14 07:00:00,31333.258070340948,18192.930324572917,10794.956378068113,28057.719951116953,13025.53550902582,3924.3228421323693,15325.040557634724,15994.048090039,6855.553166745326,17611.69180003949
2021-11-14 08:00:00,31333.258070340948,18192.930324572917,10794.956378068113,28057.719951116953,13025.53550902582,3924.3228421323693,15169.695915414104,15994.048090039,6855.553166745326,17792.043599893106
2021-11-14 09:00:00,31333.258070340948,18192.930324572917,10794.956378068113,28057.719951116953,13025.53550902582,3924.3228421323693,15313.376454805873,15994.048090039,6855.553166745326,17625.10651525608
2021-11-14 10:00:00,31333.258070340948,18192.930324572917,10851.766036672356,28057.719951116953,13025.53550902582,3924.3228421323693,15393.964801623393,15994.048090039,6855.553166745326,17532.838005171052
2021-11-14 11:00:00,31333.258070340948,18192.930324572917,10763.935314488166,28057.719951116953,13025.53550902582,3924.3228421323693,15269.370975951562,15994.048090039,6855.553166745326,17675.901093060475
2021-11-14 12:00:00,31333.258070340948,18192.930324572917,10638.356069152469,28057.719951116953,13025.53550902582,3924.3228421323693,15091.22831456546,15994.048090039,6855.553166745326,17884.554225693566
2021-11-14 13:00:00,31333.258070340948,18192.930324572917,10418.218642061027,28057.719951116953,13025.53550902582,3924.3228421323693,14778.94847064756,15994.048090039,6855.553166745326,18262.45565848042
2021-11-14 14:00:00,31333.258070340948,18192.930324572917,10326.650442337082,28057.719951116953,13025.53550902582,3924.3228421323693,14649.05278005353,15994.048090039,6855.553166745326,18424.392018825252
2021-11-14 15:00:00,31333.258070340948,18192.930324572917,10357.671505917036,28057.719951116953,13025.53550902582,3924.3228421323693,14693.05825890784,15994.048090039,6855.553166745326,18369.211253929254
2021-11-14 16:00:00,31333.258070340948,17932.800216428564,10507.918103015098,28464.720399294674,13025.53550902582,3924.3228421323693,14906.193228780496,15994.048090039,6855.553166745326,18106.560607509928
2021-11-14 17:00:00,31333.258070340948,18030.278513925157,10451.108444410853,28310.829682570755,13025.53550902582,3924.3228421323693,14825.604881962969,15994.048090039,6855.553166745326,18204.9834238151
2021-11-14 18:00:00,31333.258070340948,18045.766780661055,10442.138498315446,28286.53114835119,13025.53550902582,3924.3228421323693,14825.604881962969,15994.048090039,6855.553166745326,18220.62176456357
2021-11-14 19:00:00,31333.258070340948,18045.766780661055,10442.138498315446,28174.150427585693,13025.53550902582,3924.3228421323693,14825.604881962969,15994.048090039,6855.553166745326,18293.29996694487
2021-11-14 20:00:00,31333.258070340948,18045.766780661055,10442.138498315446,28598.36233750228,13025.53550902582,3924.3228421323693,14825.604881962969,15994.048090039,6855.553166745326,18021.9475158474
2021-11-14 21:00:00,31333.258070340948,18045.766780661055,10442.138498315446,28844.38499647538,13025.53550902582,3924.3228421323693,14825.604881962969,15994.048090039,6855.553166745326,17868.23276518573
2021-11-14 22:00:00,31333.258070340948,18045.766780661055,10442.138498315446,28725.92964215499,13025.53550902582,3924.3228421323693,14825.604881962969,15994.048090039,6855.553166745326,17941.91490079095
