Date,WING,AVA,KMD,HIVE,DOT,OXT,STORJ,SC,OG,DATA
2021-09-23 03:00:00,6177.674500100802,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4319.290702505839,4828.977527533014,5396.12430485015,4587.560034474527,3464.402317195599
2021-09-23 04:00:00,6164.6859597589355,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4310.209407993343,4828.977527533014,5396.12430485015,4577.914704572872,3457.118422704781
2021-09-23 05:00:00,6192.286607985405,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4329.507158832397,4828.977527533014,5396.12430485015,4598.41103061389,3472.596698497771
2021-09-23 06:00:00,6216.640121126404,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4346.534586043325,4828.977527533014,5396.12430485015,4616.49602417949,3486.2540006680542
2021-09-23 07:00:00,6119.226068562399,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3431.6247919869156
2021-09-23 08:00:00,6125.727238356358,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 09:00:00,6166.674612944299,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 10:00:00,6209.844656007453,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 11:00:00,6204.83267484845,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 12:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 13:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 14:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 15:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 16:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 17:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 18:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 19:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 20:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 21:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
2021-09-23 22:00:00,6104.6487698283945,14092.153041111513,8709.35486769075,6006.860471144731,6253.140391175852,4278.424877199607,4828.977527533014,5396.12430485015,4544.156049917081,3427.9828447415052
