Date,NMR,STRAX,TROY,CKB,DENT,KMD,FET,DASH,UTK,DGB
2022-10-31 14:00:00,808.4315052138903,815.4403395661027,352.78378066431435,348.24034401234957,550.8542894615291,258.6542218100419,354.7097310955807,221.06876198731234,205.95016924835255,299.6073677011849
2022-10-31 15:00:00,808.4315052138903,813.0629624828196,351.75525652243584,347.22506604146804,550.8542894615291,258.6542218100419,353.6755919378676,220.42424664624141,205.95016924835255,298.7338768332514
2022-10-31 16:00:00,808.4315052138903,811.8794647208359,351.24324013739596,346.7196438201559,550.8542894615291,258.6542218100419,353.1607803047703,220.10339621444197,205.95016924835255,298.29903858458584
2022-10-31 17:00:00,808.4315052138903,809.5227754183081,351.24324013739596,345.71320073214383,550.8542894615291,258.6542218100419,352.1356401587477,219.46448940395013,205.95016924835255,297.4331487773737
2022-10-31 18:00:00,808.4315052138903,811.8794647208359,351.24324013739596,346.7196438201559,550.8542894615291,258.6542218100419,353.1607803047703,220.10339621444197,205.3523458252804,298.29903858458584
2022-10-31 19:00:00,808.4315052138903,806.0132836173616,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,350.60904056268373,218.5130537562451,206.84690438296076,296.1436987104197
2022-10-31 20:00:00,808.4315052138903,806.0132836173616,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,350.60904056268373,218.5130537562451,206.84690438296076,296.1436987104197
2022-10-31 21:00:00,808.4315052138903,802.5340895873585,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,349.0956202437081,218.5130537562451,207.743639517569,296.1436987104197
2022-10-31 22:00:00,808.4315052138903,797.9416198329244,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,347.0979342909544,218.5130537562451,208.93928636371328,296.1436987104197
2022-10-31 23:00:00,808.4315052138903,796.8017032331633,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,218.5130537562451,209.23819807524933,296.567366376672
2022-11-01 00:00:00,808.4315052138903,797.9416198329244,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,218.5130537562451,208.93928636371328,296.1436987104197
2022-11-01 01:00:00,808.4315052138903,797.9416198329244,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,218.5130537562451,208.93928636371328,296.1436987104197
2022-11-01 02:00:00,808.4315052138903,804.8502052860234,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,218.5130537562451,207.14581609449684,293.60169271290533
2022-11-01 03:00:00,808.4315052138903,813.0629624828196,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,218.5130537562451,205.05343411374434,293.60169271290533
2022-11-01 04:00:00,808.4315052138903,810.6994073593231,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,217.8778413906747,205.05343411374434,293.60169271290533
2022-11-01 05:00:00,808.4315052138903,806.0132836173616,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,216.6184319028673,205.05343411374434,293.60169271290533
2022-11-01 06:00:00,808.4315052138903,811.8794647208359,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,218.19498526460578,205.05343411374434,293.60169271290533
2022-11-01 07:00:00,808.4315052138903,807.1797283114532,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,216.93191733253855,205.05343411374434,293.60169271290533
2022-11-01 08:00:00,808.4315052138903,803.6904787654385,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,215.9941712921962,205.05343411374434,293.60169271290533
2022-11-01 09:00:00,808.4315052138903,802.5340895873585,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,215.68338831191963,205.05343411374434,293.60169271290533
2022-11-01 10:00:00,808.4315052138903,807.1797283114532,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,346.60208009911025,216.93191733253855,205.05343411374434,293.60169271290533
2022-11-01 11:00:00,808.4315052138903,785.5791440326961,351.24324013739596,344.21444408157095,550.8542894615291,258.6542218100419,356.1323833145706,216.93191733253855,205.05343411374434,293.60169271290533
2022-11-01 12:00:00,799.3224178311984,785.5791440326961,347.2855698259886,340.3359714722011,544.6474805661878,255.7398080431682,352.11962406595563,214.48761403865078,205.05343411374434,290.29350462599933
2022-11-01 13:00:00,789.0746945256703,785.5791440326961,342.83319072565547,335.97268978666006,537.6648205589291,252.4610925554353,347.605269911264,211.7377728330271,205.05343411374434,286.5717930282301
2022-11-01 14:00:00,785.6587867571609,785.5791440326961,341.34906435887774,334.5182625581464,535.3372672231762,251.36818739285766,346.10048519303336,210.8211590978192,205.05343411374434,285.3312224956404
2022-11-01 15:00:00,779.9656071429785,779.8865415397054,338.8755204142481,334.5182625581464,531.4580116635879,249.54667878856154,343.59251066264903,209.29346953913927,205.05343411374434,283.2636049413241
2022-11-01 16:00:00,779.9656071429785,779.8865415397054,338.8755204142481,334.5182625581464,531.4580116635879,249.54667878856154,343.59251066264903,209.29346953913927,205.05343411374434,283.2636049413241
2022-11-01 17:00:00,779.9656071429785,785.5791440326961,338.8755204142481,334.5182625581464,531.4580116635879,251.36818739285766,346.10048519303336,210.8211590978192,203.5675396636447,285.3312224956404
2022-11-01 18:00:00,779.9656071429785,785.5791440326961,338.8755204142481,334.5182625581464,531.4580116635879,251.36818739285766,346.10048519303336,210.8211590978192,203.5675396636447,285.3312224956404
2022-11-01 19:00:00,779.9656071429785,787.8561850298923,338.8755204142481,334.5182625581464,531.4580116635879,252.0967908345761,347.10367500518714,211.43223492129113,202.97919417328737,286.1582695173669
2022-11-01 20:00:00,779.9656071429785,784.4406235340979,338.8755204142481,334.5182625581464,531.4580116635879,251.00388567199838,345.5988902869565,210.51562118608317,203.86299327708983,284.9176989847771
2022-11-01 21:00:00,779.9656071429785,785.5791440326961,338.8755204142481,334.5182625581464,531.4580116635879,251.00388567199838,346.10048519303336,210.8211590978192,203.5675396636447,285.3312224956404
2022-11-01 22:00:00,779.9656071429785,786.7176645312942,338.8755204142481,334.5182625581464,531.4580116635879,251.00388567199838,346.60208009911025,211.12669700955513,203.27294119814016,285.7447460065037
