Date,ASR,BNT,SUSHI,KNC,TRU,AAVE,1INCH,SNX,DCR,UNI
2022-11-20 00:00:00,4570.098286355673,3091.1984544458405,2919.5107359923113,2781.817838243768,2967.923787974736,2850.0249767105893,2797.0280136481683,2675.859685487182,2791.058153637126,2284.8166509253674
2022-11-20 01:00:00,4570.098286355673,3091.1984544458405,2919.5107359923113,2781.817838243768,2967.923787974736,2850.0249767105893,2797.0280136481683,2675.859685487182,2791.058153637126,2284.8166509253674
2022-11-20 02:00:00,4565.758212009659,3091.1984544458405,2919.5107359923113,2784.4621517782193,2970.745008305509,2850.0249767105893,2797.0280136481683,2675.859685487182,2791.058153637126,2284.8166509253674
2022-11-20 03:00:00,4661.239847622028,3091.1984544458405,2919.5107359923113,2727.4247520211234,2970.745008305509,2850.0249767105893,2797.0280136481683,2675.859685487182,2791.058153637126,2284.8166509253674
2022-11-20 04:00:00,4609.158955469825,3091.1984544458405,2919.5107359923113,2758.2431108010237,2937.5523266484633,2850.0249767105893,2797.0280136481683,2675.859685487182,2759.8731463339172,2259.2879732613965
2022-11-20 05:00:00,4609.158955469825,3091.1984544458405,2919.5107359923113,2758.2431108010237,2937.5523266484633,2850.0249767105893,2797.0280136481683,2675.859685487182,2759.8731463339172,2259.2879732613965
2022-11-20 06:00:00,4604.818881123807,3091.1984544458405,2919.5107359923113,2760.842774430432,2934.7862698437084,2852.711145397405,2797.0280136481683,2675.859685487182,2757.2743957253156,2257.1605834560646
2022-11-20 07:00:00,4552.737988971607,3091.1984544458405,2919.5107359923113,2792.4253419167662,2934.7862698437084,2885.3446380044293,2797.0280136481683,2675.859685487182,2726.089388422108,2231.6319057920946
2022-11-20 08:00:00,4574.438360701692,3091.1984544458405,2919.5107359923113,2779.178542382056,2934.7862698437084,2871.6570448450148,2797.0280136481683,2675.859685487182,2726.089388422108,2242.26885481875
2022-11-20 09:00:00,4565.758212009659,3091.1984544458405,2919.5107359923113,2784.4621517782193,2940.3657114213584,2877.1164688846434,2797.0280136481683,2675.859685487182,2726.089388422108,2238.0140752080883
2022-11-20 10:00:00,4565.758212009659,3091.1984544458405,2919.5107359923113,2822.0175179871753,2980.0238231360986,2915.921507964014,2797.0280136481683,2675.859685487182,2726.089388422108,2208.230617933455
2022-11-20 11:00:00,4565.758212009659,3091.1984544458405,2919.5107359923113,2816.590561221815,2974.2930080916053,2910.313966602544,2797.0280136481683,2675.859685487182,2726.089388422108,2212.4853975441174
2022-11-20 12:00:00,4561.372277127803,3091.1984544458405,2919.5107359923113,2813.884902661562,2971.4358582279233,2907.5182759525883,2797.0280136481683,2675.859685487182,2726.089388422108,2214.6127873494484
2022-11-20 13:00:00,4570.152589499562,3091.1984544458405,2919.5107359923113,2819.3014279794875,2977.155657762531,2913.115038755194,2797.0280136481683,2675.859685487182,2726.089388422108,2210.358007738786
2022-11-20 14:00:00,4570.152589499562,3091.1984544458405,2919.5107359923113,2819.3014279794875,2977.155657762531,2913.115038755194,2797.0280136481683,2675.859685487182,2726.089388422108,2210.358007738786
2022-11-20 15:00:00,4556.994760547068,3091.1984544458405,2919.5107359923113,2811.1844373039226,2968.5841923371104,2904.72795131156,2797.0280136481683,2675.859685487182,2726.089388422108,2216.740177154779
2022-11-20 16:00:00,4548.264885526862,3091.1984544458405,2919.5107359923113,2805.7990265044887,2962.8972494399122,2899.163338378012,2797.0280136481683,2675.859685487182,2726.089388422108,2220.9949567654417
