Date,KNC,ASR,HIVE,DIA,ATM,CRV,MDT,STRAX,RIF,SAND
2021-12-12 20:00:00,439.68838599166105,1417.3873496133563,242.8063352314236,524.0924856210321,1487.0738403327618,788.0301991810196,461.7155662994852,255.90966515060265,172.1896167712846,1713.2636846864314
2021-12-12 21:00:00,446.5552656593018,1439.523545797569,246.59838873953387,532.2775552024301,1510.2983726238085,800.3373437967196,468.926457775057,259.9063612935132,174.87880624286646,1740.02076068958
2021-12-12 22:00:00,445.5148293460229,1436.1695766787489,246.02383517769897,531.0373931446426,1506.7795040948622,798.4726249155528,467.8338984605764,259.30080127186005,174.47135329262676,1735.9666582648604
2021-12-12 23:00:00,438.0236878904148,1412.0209990232443,241.88704953248774,522.1082263285718,1481.4436506864477,785.046648971153,459.9674713963163,254.94076911595764,171.53769205090111,1706.7771208068802
2021-12-13 00:00:00,440.93690956759576,1421.4121125559404,243.49579950562548,525.5806800903772,1491.2964825674976,790.2678618384195,463.0266374768619,256.6363371765864,172.6785603115722,1718.1286075960948
2021-12-13 01:00:00,462.4739412524689,1490.8392733155156,255.3890582356077,551.2520346865801,1564.1370611166888,828.8675426785688,485.6426152866095,269.17142962480574,181.11283638153338,1802.048527787787
2021-12-13 02:00:00,500.4498666871485,1613.2591461524478,276.3602632425811,596.5179497958269,1692.5757624232333,896.929781841151,525.52103026515,291.27437041514406,195.98486906528134,1950.023266290046
2021-12-13 03:00:00,480.36944584086586,1548.5275421592207,265.2713794991678,572.5828220805266,1624.6615998145676,860.940707434635,504.43463549567514,279.5870619972392,188.12102712565573,1871.7790894929612
2021-12-13 04:00:00,502.3226520510505,1619.296290566324,277.3944596538839,598.7502414998445,1698.9097257753372,900.286275827251,527.4876370312151,292.36437845411973,196.71828437571278,1957.3206506545412
2021-12-13 05:00:00,475.2713079057993,1532.0930934770022,262.4560670461768,566.5060279973674,1607.4191440227298,851.8035849169186,499.0810948547204,276.619817891139,186.12450766948135,1851.913987611836
2021-12-13 06:00:00,493.27085612552423,1590.1167592325896,272.3958436659204,587.9608315970926,1668.2955695735034,884.0632215611014,517.9823709952342,287.09600626573774,193.17344370862764,1922.0499595594822
