Date,BTC,FET,STORJ,KMD,TRU,HBAR,FUN,CKB,TROY,NMR
2021-12-27 20:00:00,88.30648814581566,74.13884904535604,162.2730820405303,95.58587708091196,33.08781106211487,68.60079202940862,130.86449042427344,78.17171550935953,86.15385198477328,37.820077548919386
2021-12-27 21:00:00,88.96760623888596,74.69389925211274,162.2730820405303,95.58587708091196,33.08781106211487,68.60079202940862,131.84422457718244,78.17171550935953,86.15385198477328,38.10322251452627
2021-12-27 22:00:00,89.15831922117722,74.85401479177426,162.2730820405303,95.58587708091196,33.08781106211487,68.60079202940862,132.1268488528034,78.33928617497443,86.15385198477328,38.1849014481051
2021-12-27 23:00:00,89.06286063528735,74.85401479177426,162.2730820405303,95.58587708091196,33.08781106211487,68.60079202940862,131.98538541720086,78.25541113624323,86.15385198477328,38.1849014481051
2021-12-28 00:00:00,89.06286063528735,74.85401479177426,160.18820304215097,95.58587708091196,33.08781106211487,68.60079202940862,133.70319954410581,79.2739197410533,86.15385198477328,38.1849014481051
2021-12-28 01:00:00,89.06286063528735,74.85401479177426,161.4043824578723,95.58587708091196,33.08781106211487,68.60079202940862,133.70319954410581,78.67659203579241,85.50468410114205,38.1849014481051
2021-12-28 02:00:00,88.20003421363224,74.85401479177426,159.8407232090877,95.58587708091196,33.08781106211487,67.93619878046924,133.70319954410581,78.67659203579241,85.50468410114205,38.55844939705396
2021-12-28 03:00:00,89.63807824972406,74.85401479177426,162.44682195706196,95.58587708091196,33.08781106211487,69.0438541953682,133.70319954410581,78.67659203579241,85.50468410114205,38.55844939705396
2021-12-28 04:00:00,88.87112143047509,74.85401479177426,161.056902624809,94.76803000428383,32.80470679634276,68.45310464075541,132.55921494907602,78.00342333388188,84.77309322113227,38.2285375305551
2021-12-28 05:00:00,89.7339478521302,74.85401479177426,162.62056187359357,95.68810796549047,33.12319909533638,69.1176978896948,133.84619761848458,78.76073812353124,85.59613296114328,38.599688380366324
2021-12-28 06:00:00,88.58351262325671,73.89434793546947,160.53568287521418,94.46133735054828,32.698542696678224,68.23157355777562,132.13022072593986,77.75098507066544,84.4987466411286,38.10482058061803
2021-12-28 07:00:00,88.4876430208506,73.81437569744408,160.36194295868256,94.35910646596977,32.663154663456716,68.15772986344903,131.98722265156115,77.66683898292663,84.40729778112741,38.063581597305685
2021-12-28 08:00:00,88.58351262325671,73.89434793546947,160.53568287521418,94.46133735054828,32.698542696678224,68.23157355777562,131.98722265156115,77.75098507066544,84.4987466411286,38.10482058061803
2021-12-28 09:00:00,89.25459984009959,74.45415360164728,161.75186229093552,95.1769535425979,32.946258929228826,68.74847941806182,131.98722265156115,78.34000768483716,85.13888866113719,38.39349346380454
2021-12-28 10:00:00,89.06286063528735,74.29420912559648,161.4043824578723,94.9724917734409,32.8754828627858,68.60079202940862,131.703684042213,78.17171550935953,84.95599094113473,38.31101549717983
2021-12-28 11:00:00,92.8976447315322,77.49309864661244,168.3539791191369,94.9724917734409,34.291004191646316,71.55453980247248,137.37445622917585,81.53755901891212,88.61394534118357,39.9605748296741
