Date,FUN,NULS,BTC,PAXG,DIA,KMD,WIN,DCR,LRC,UTK
2021-11-07 07:00:00,402.56465953491306,334.50802395383226,392.6706241547036,31.314265991935777,219.72374955576655,109.10864192690674,208.08771587431696,179.99763476258167,408.2383460540235,171.150440056192
2021-11-07 08:00:00,402.56465953491306,313.1270003083312,367.57197390198473,31.314265991935777,205.67948649384854,102.13465539769369,194.78720271813293,168.49257835316,382.14464095597776,160.21087704503864
2021-11-07 09:00:00,403.7708027579453,314.06517508454397,368.67327386659326,31.408088161407978,206.2957326368605,102.44066592178436,195.37081396896482,168.9974070227871,382.14464095597776,160.69089251342868
2021-11-07 10:00:00,419.27835848264596,326.127422207279,382.83284484013245,32.61437319747912,214.21889733272855,106.37508694580735,202.87438719394643,175.48806134656414,396.82160440663415,166.86251996415783
2021-11-07 11:00:00,412.7307238433279,321.03447342212417,376.85435931797144,32.10505284891575,210.87356112780645,104.71388695788654,199.70621183228752,172.7475628543027,390.62466428302366,164.2567217071833
2021-11-07 12:00:00,445.3540262567721,346.4098673692111,406.64190121786123,34.64271914702097,227.5415520435585,112.99074303805345,215.49150661669321,186.40197639469295,421.5006466532933,177.2399972331616
2021-11-07 13:00:00,426.17060547140176,331.48842092849446,389.1259874950387,33.15049988017741,217.74030386422544,108.12371851203979,206.20930862727155,178.37279660157614,403.3446992735925,169.6054654978152
2021-11-07 14:00:00,424.5049791157858,330.19284623753407,387.6051446867698,33.02093593185865,216.88929728578037,107.70113255020031,205.40336928088465,177.6756522482816,401.7682846807443,168.942586993848
2021-11-07 15:00:00,434.4987372494818,337.96629438329666,396.73020153638396,33.79831962177118,221.9953367564509,110.23664832123738,210.23900535920617,181.85851836804906,411.226772237834,172.91985801765125
2021-11-07 16:00:00,421.57577414556454,327.9144217810175,384.93055905843454,32.79308209171188,215.3926995098942,106.95796413455152,203.98602767172147,176.4496397649015,398.9959693622869,167.7768351420436
2021-11-07 17:00:00,420.4845017056782,327.0655969834916,383.93414480474104,32.708195366951315,214.8351434757405,106.68109746989802,203.4579984447783,175.99289001619124,397.9631460083518,167.34253543254783
2021-11-07 18:00:00,416.80863664500845,324.20639766551005,380.5778020554577,32.422261136178896,212.95705999227548,105.7484939679074,201.67937368033824,174.4543645468515,394.4841620793074,165.8796311479306
2021-11-07 19:00:00,417.61273212702986,324.8318475163185,381.3120020318634,32.484809249160364,213.36789075428345,105.95250098396784,202.06844784755947,174.79091699326958,395.2451898137858,166.1996414601906
2021-11-07 20:00:00,419.85271239837556,326.5741721007136,383.357273394708,32.659050421037314,214.51234787701995,106.5208062429934,203.1522973133902,175.72845595114848,397.3651956455473,167.0910987586293
2021-11-07 21:00:00,419.96758318152155,326.66352207940054,383.46215910562313,32.667985865748946,214.57103798587826,106.54995010243061,203.20787933727894,175.77653487206535,397.47391389333,167.13681451752356
2021-11-07 22:00:00,424.8495914652236,330.4608961735949,387.91980181951516,33.04774226599357,217.06536761235523,107.78856412851192,205.57011535255094,177.81988901103222,397.47391389333,169.0797342705309
2021-11-07 23:00:00,419.68040622365663,326.4401471326832,383.1999448283353,32.64564725396985,214.42431271373252,106.47709045383756,203.06892427755704,175.65633756977317,397.47391389333,167.02252512028784
2021-11-08 00:00:00,418.35939221747844,325.4126223777835,384.40993916263676,32.54288963978599,213.74937646186225,106.14193607030964,202.42973100283638,175.1034299792292,398.7289797938718,166.49679389300348
2021-11-08 01:00:00,418.35939221747844,325.4126223777835,388.94874244487374,32.163133239541374,211.2550468353853,104.90332204422832,200.0674949875644,173.06007584026233,403.4368507874097,164.55387413999617
2021-11-08 02:00:00,418.35939221747844,335.7668723660117,401.32463764664556,32.163133239541374,204.74044475211605,104.90332204422832,193.8978903359129,167.72331561849015,416.2737406935018,159.47942490273005
2021-11-08 03:00:00,417.5215962668213,335.09447410923525,400.52095506517617,32.09872416139038,204.33043670941407,104.6932453014706,193.50959531879053,167.38743714349965,415.4401214159009,159.47942490273005
2021-11-08 04:00:00,416.98478278590676,334.6636383568091,400.0059995515209,32.05745437318288,204.06772614793056,104.5586397003687,193.26079726766636,167.17222472431516,414.90598411693753,159.47942490273005
2021-11-08 05:00:00,416.98478278590676,334.6636383568091,400.0059995515209,32.05745437318288,204.06772614793056,104.5586397003687,193.26079726766636,167.17222472431516,414.90598411693753,159.47942490273005
