Date,CELR,TRU,NEO,XTZ,QTUM,SKL,HIVE,NKN,KNC,BNT
2022-10-08 17:00:00,16539.046994862005,17765.2270794289,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9282.534238924729,4738.58262563807,5026.522415894605,4126.51502522818
2022-10-08 18:00:00,16539.046994862005,17765.2270794289,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9274.582324956487,4738.58262563807,5026.522415894605,4126.51502522818
2022-10-08 19:00:00,16539.046994862005,17765.2270794289,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9250.726583051768,4738.58262563807,5026.522415894605,4126.51502522818
2022-10-08 20:00:00,16539.046994862005,17765.2270794289,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9157.954253422315,4738.58262563807,5026.522415894605,4126.51502522818
2022-10-08 21:00:00,16539.046994862005,17703.737975029377,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9189.76190929527,4738.58262563807,5026.522415894605,4112.2323080944225
2022-10-08 22:00:00,16539.046994862005,17683.3360874177,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9200.364461252924,4738.58262563807,5026.522415894605,4107.4933483616705
2022-10-08 23:00:00,16539.046994862005,17652.821271045977,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9216.2682891894,4738.58262563807,5026.522415894605,4100.405352937406
2022-10-09 00:00:00,16539.046994862005,17657.899758178035,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9213.617651199987,4738.58262563807,5026.522415894605,4101.584986238021
2022-10-09 01:00:00,16539.046994862005,17662.9811681804,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9210.967013210573,4738.58262563807,5026.522415894605,4102.765298464277
2022-10-09 02:00:00,16539.046994862005,17693.53115002217,6789.361082410477,5700.043650010595,4039.157496914034,10062.096216216554,9195.06318527409,4738.58262563807,5026.522415894605,4109.861462139915
2022-10-09 03:00:00,16539.046994862005,17688.43214969075,6789.361082410477,5700.043650010595,4037.993474580629,10062.096216216554,9197.7138232635,4738.58262563807,5026.522415894605,4108.677064024024
2022-10-09 04:00:00,16539.046994862005,17662.981168180406,6789.361082410477,5700.043650010595,4032.183412027275,10062.096216216554,9210.96701321057,4738.58262563807,5026.522415894605,4102.765298464277
2022-10-09 05:00:00,16539.046994862005,17657.899758178053,6789.361082410477,5700.043650010595,4031.02340529194,10062.096216216554,9213.61765119998,4738.58262563807,5026.522415894605,4101.584986238021
2022-10-09 06:00:00,16539.046994862005,17657.899758178053,6789.361082410477,5700.043650010595,4031.02340529194,10062.096216216554,9213.61765119998,4738.58262563807,5026.522415894605,4101.584986238021
2022-10-09 07:00:00,16539.046994862005,17662.981168180413,6789.361082410477,5700.043650010595,4032.183412027275,10062.096216216554,9210.967013210564,4738.58262563807,5026.522415894605,4102.765298464277
2022-10-09 08:00:00,16539.046994862005,17637.603321674407,6789.361082410477,5700.043650010595,4026.390045055972,10062.096216216554,9224.220203157629,4738.58262563807,5026.522415894605,4096.870520736598
