time_entered,time_exited,log_return,trade_type,reference_coin,trading_coin,strategy_type
2024-01-08 01:00:00,2024-01-09 15:00:00,-0.05095173711076779,short,IOTA,1000LUNC,both
2024-01-10 19:00:00,2024-01-12 00:00:00,0.06599324004065403,long,IOTA,1000LUNC,both
2024-01-12 01:00:00,2024-01-12 15:00:00,0.06209424709180059,short,IOTA,1000LUNC,both
2024-01-13 17:00:00,2024-01-14 07:00:00,0.03842316729137089,short,IOTA,1000LUNC,both
2024-01-17 17:00:00,2024-01-18 02:00:00,0.008851751689028076,short,IOTA,1000LUNC,both
2024-01-18 08:00:00,2024-01-18 13:00:00,0.06318059932937138,short,IOTA,1000LUNC,both
2024-01-22 15:00:00,2024-01-23 10:00:00,-0.07620729669274005,long,IOTA,1000LUNC,both
2024-01-23 14:00:00,2024-01-24 00:00:00,-0.039966226793433764,short,IOTA,1000LUNC,both
2024-01-24 10:00:00,2024-01-26 07:00:00,-0.038579826640612214,long,IOTA,1000LUNC,both
2024-01-26 09:00:00,2024-01-27 16:00:00,-0.06486579763235555,short,IOTA,1000LUNC,both
2024-01-27 18:00:00,2024-01-28 13:00:00,0.0049027063033791,long,IOTA,1000LUNC,both
2024-01-28 16:00:00,2024-01-29 05:00:00,0.016609860203501723,short,IOTA,1000LUNC,both
2024-01-29 07:00:00,2024-01-29 22:00:00,0.025044960822481404,long,IOTA,1000LUNC,both
2024-01-30 05:00:00,2024-01-30 15:00:00,0.0051880790817778995,short,IOTA,1000LUNC,both
2024-01-31 02:00:00,2024-01-31 05:00:00,0.008705057786919648,long,IOTA,1000LUNC,both
2024-01-31 07:00:00,2024-01-31 15:00:00,0.0236758356852846,short,IOTA,1000LUNC,both
2024-02-01 03:00:00,2024-02-01 17:00:00,0.013724349682399762,long,IOTA,1000LUNC,both
2024-02-02 00:00:00,2024-02-02 10:00:00,0.003766876903638706,short,IOTA,1000LUNC,both
2024-02-02 14:00:00,2024-02-03 01:00:00,0.028141404089109704,long,IOTA,1000LUNC,both
2024-02-03 18:00:00,2024-02-04 10:00:00,0.0013838096504975236,short,IOTA,1000LUNC,both
2024-02-04 12:00:00,2024-02-04 20:00:00,0.02466742283710398,short,IOTA,1000LUNC,both
2024-02-05 06:00:00,2024-02-05 13:00:00,0.019701940106022435,short,IOTA,1000LUNC,both
2024-02-05 17:00:00,2024-02-06 01:00:00,0.0373968883630247,short,IOTA,1000LUNC,both
2024-02-06 02:00:00,2024-02-07 03:00:00,0.007278790140495311,long,IOTA,1000LUNC,both
2024-02-07 07:00:00,2024-02-07 20:00:00,-0.008908744889109555,short,IOTA,1000LUNC,both
2024-02-08 01:00:00,2024-02-08 05:00:00,0.015514149693631659,long,IOTA,1000LUNC,both
2024-02-08 17:00:00,2024-02-09 07:00:00,-0.01329782269635303,short,IOTA,1000LUNC,both
2024-02-09 18:00:00,2024-02-09 22:00:00,0.0170006343213634,long,IOTA,1000LUNC,both
2024-02-10 00:00:00,2024-02-10 02:00:00,0.0574112903111407,long,IOTA,1000LUNC,both
2024-02-10 02:00:00,2024-02-10 02:00:00,0.0,long,IOTA,1000LUNC,both
2024-02-13 00:00:00,2024-02-14 22:00:00,0.0067014714047953046,long,IOTA,1000LUNC,both
2024-02-15 04:00:00,2024-02-16 07:00:00,-0.06327012600485886,short,IOTA,1000LUNC,both
2024-02-16 10:00:00,2024-02-16 20:00:00,-0.02214460337001096,long,IOTA,1000LUNC,both
2024-02-17 10:00:00,2024-02-18 04:00:00,-0.010334174720559093,short,IOTA,1000LUNC,both
2024-02-18 06:00:00,2024-02-18 23:00:00,0.02737333151871101,long,IOTA,1000LUNC,both
2024-02-19 02:00:00,2024-02-19 04:00:00,0.028283797048161315,long,IOTA,1000LUNC,both
2024-02-19 12:00:00,2024-02-21 09:00:00,-0.10029729973029251,long,IOTA,1000LUNC,both
2024-02-21 13:00:00,2024-02-22 07:00:00,-0.04017462264289235,short,IOTA,1000LUNC,both
2024-02-23 04:00:00,2024-02-23 17:00:00,-0.004528061085382355,short,IOTA,1000LUNC,both
2024-02-25 16:00:00,2024-02-26 05:00:00,0.04269410921880639,short,IOTA,1000LUNC,both
2024-02-26 19:00:00,2024-02-27 04:00:00,0.021003195424831686,long,IOTA,1000LUNC,both
2024-02-27 13:00:00,2024-02-28 10:00:00,0.0388289770264008,long,IOTA,1000LUNC,both
2024-02-28 14:00:00,2024-02-28 18:00:00,-0.07316033347612484,long,IOTA,1000LUNC,both
2024-02-28 21:00:00,2024-02-28 22:00:00,0.04230755984101267,long,IOTA,1000LUNC,both
2024-02-28 23:00:00,2024-02-29 19:00:00,-0.047186215220759595,short,IOTA,1000LUNC,both
2024-03-01 06:00:00,2024-03-01 19:00:00,0.04587833369685786,long,IOTA,1000LUNC,both
2024-03-01 22:00:00,2024-03-03 02:00:00,-0.15025564991208323,short,IOTA,1000LUNC,both
2024-03-03 10:00:00,2024-03-03 14:00:00,0.03058240664643497,short,IOTA,1000LUNC,both
2024-03-04 05:00:00,2024-03-04 07:00:00,0.006731873475445046,short,IOTA,1000LUNC,both
2024-03-04 11:00:00,2024-03-04 16:00:00,0.03605293134372977,long,IOTA,1000LUNC,both
2024-03-05 02:00:00,2024-03-05 06:00:00,0.07690848009961254,short,IOTA,1000LUNC,both
