reference_coin,trading_coin,trading_type,is_sharpe,is_return,is_trades,oos_trades,oos_total_return,oos_mean_return
EGLD,XLM,both,2.201725,1.185084,102,303,-0.059702,-0.000197
FET,XLM,both,2.297442,16.281041,479,346,-0.205875,-0.000595
FIL,XLM,both,3.306101,2.295970,59,272,-0.071733,-0.000264
FLM,XLM,both,2.575500,1.512137,68,278,-0.019053,-0.000069
INJ,XLM,both,2.446885,0.894719,70,316,-0.462952,-0.001465
JST,XLM,both,2.942881,3.121890,101,260,0.249990,0.000961
LUNA,XLM,both,2.622121,0.961806,167,352,2.565785,0.007289
MKR,XLM,both,2.070932,1.044326,139,291,0.031645,0.000109
NMR,XLM,both,2.127653,1.343549,137,358,-0.638153,-0.001783
ROSE,XLM,both,2.202537,0.180806,29,337,-0.070417,-0.000209
RSR,XLM,both,2.109869,1.088091,99,265,-0.727964,-0.002747
RUNE,XLM,both,2.999162,2.492902,107,279,-0.166084,-0.000595
SAND,XLM,both,2.210040,1.480678,125,289,2.004528,0.006936
SOL,XLM,both,2.241688,1.700522,120,292,1.093753,0.003746
SUN,XLM,both,2.353975,1.118878,74,342,-0.244908,-0.000716
TRB,XLM,both,2.767991,2.057932,93,323,-0.940145,-0.002911
UNI,XLM,both,2.913307,1.816722,76,258,0.355594,0.001378
UTK,XLM,both,3.138370,1.760722,86,327,0.075962,0.000232
XVS,XLM,both,3.160377,1.989708,81,305,-0.876961,-0.002875
AAVE,XRP,both,2.979319,1.330552,63,259,0.008834,0.000034
BEL,XRP,both,2.655004,1.642982,103,292,0.747843,0.002561
COMP,XRP,both,2.777750,3.092665,157,267,-1.423644,-0.005332
CTK,XRP,both,3.135888,1.945411,47,309,0.324744,0.001051
DIA,XRP,both,2.133102,1.062965,105,284,0.545694,0.001921
EGLD,XRP,both,2.566294,2.638854,93,301,-1.110141,-0.003688
FLM,XRP,both,2.051303,0.881193,77,269,0.973927,0.003621
INJ,XRP,both,3.594946,2.506914,63,314,-1.547546,-0.004928
JST,XRP,both,2.185113,1.741464,109,245,-0.077585,-0.000317
JUV,XRP,both,426.754113,0.162372,2,336,0.670983,0.001997
PAXG,XRP,both,2.247199,1.283733,129,350,1.659337,0.004741
PSG,XRP,both,110.988312,0.131294,2,320,0.190176,0.000594
ROSE,XRP,both,2.971381,0.546893,29,313,-0.397604,-0.001270
RUNE,XRP,both,2.928939,2.182981,104,289,-0.200512,-0.000694
SKL,XRP,both,2.329961,0.217989,18,301,0.684902,0.002275
STORJ,XRP,both,2.077942,1.932086,126,288,0.161518,0.000561
UTK,XRP,both,2.982100,1.684809,92,300,0.764715,0.002549
XVS,XRP,both,2.935812,2.409317,80,283,-1.295746,-0.004579
XVS,XTZ,both,3.726933,0.776258,77,327,-1.265891,-0.003871
ADA,YFI,both,3.015063,4.536330,122,247,0.214853,0.000870
ALGO,YFI,both,3.630393,8.096585,114,288,1.672611,0.005808
ATOM,YFI,both,3.189635,6.085471,117,285,-0.386625,-0.001357
AXS,YFI,both,2.551481,0.430645,50,327,0.654771,0.002002
BAND,YFI,both,4.026192,9.978027,116,287,-0.310413,-0.001082
BAT,YFI,both,3.260751,3.796920,126,289,-1.063064,-0.003678
BCH,YFI,both,4.487451,19.702294,120,252,-0.277968,-0.001103
BTC,YFI,both,4.087064,10.630205,121,249,0.700824,0.002815
CELR,YFI,both,3.685460,10.098460,138,316,0.633965,0.002006
CHZ,YFI,both,4.421108,24.336998,139,287,1.293855,0.004508
COS,YFI,both,2.494386,2.012667,167,328,0.920844,0.002807
CTK,YFI,both,2.631755,0.709992,54,325,-0.089595,-0.000276
CTSI,YFI,both,2.268869,1.845193,154,333,-0.784316,-0.002355
DASH,YFI,both,3.513069,7.831037,124,262,0.676299,0.002581
DATA,YFI,both,4.611692,23.020860,144,327,-0.591304,-0.001808
DCR,YFI,both,3.032615,4.137185,155,320,0.016925,0.000053
DGB,YFI,both,2.975412,5.501185,138,270,0.242697,0.000899
DIA,YFI,both,3.070191,2.003141,104,318,-0.382289,-0.001202
DOGE,YFI,both,3.172595,5.467830,118,273,0.776553,0.002845
DOT,YFI,both,2.842195,3.309686,107,262,0.725308,0.002768
DUSK,YFI,both,3.546159,8.327371,136,340,-0.079074,-0.000233
ETC,YFI,both,3.786738,10.965439,118,244,0.120005,0.000492
ETH,YFI,both,4.758601,26.012552,110,204,0.486609,0.002385
EUR,YFI,both,2.586086,2.634388,162,491,-1.234825,-0.002515
FET,YFI,both,3.031537,4.408312,149,348,-1.009106,-0.002900
FIL,YFI,both,5.456529,3.236543,66,272,0.281770,0.001036
FLM,YFI,both,3.006103,1.119752,80,291,0.367436,0.001263
FUN,YFI,both,2.664242,3.225310,153,307,0.654710,0.002133
HBAR,YFI,both,3.157904,5.854591,142,292,0.744729,0.002550
HOT,YFI,both,2.826995,3.342089,140,263,0.205317,0.000781
ICX,YFI,both,4.656980,13.438574,122,287,0.541947,0.001888
INJ,YFI,both,2.362291,0.637675,71,330,-0.629050,-0.001906
IOST,YFI,both,4.849871,25.221206,123,276,-0.787575,-0.002854
IOTA,YFI,both,5.069917,44.988623,124,279,-0.221558,-0.000794
KAVA,YFI,both,2.873227,3.842542,124,304,1.371934,0.004513
KNC,YFI,both,4.173454,11.943417,128,260,0.369102,0.001420
LRC,YFI,both,3.280363,7.026912,117,285,0.172294,0.000605
LTC,YFI,both,3.891365,13.250806,116,247,0.181771,0.000736
LUNA,YFI,both,4.102366,8.120315,166,337,1.191902,0.003537
MANA,YFI,both,3.089439,6.423569,141,280,1.511749,0.005399
MBL,YFI,both,2.866749,4.697749,131,343,-0.850426,-0.002479
MDT,YFI,both,2.616236,3.693426,161,333,-0.078215,-0.000235
MKR,YFI,both,4.608251,17.768548,121,257,-0.314844,-0.001225
NEAR,YFI,both,2.185359,0.571416,64,314,1.119648,0.003566
NEO,YFI,both,4.574880,9.240678,128,229,0.426145,0.001861
NKN,YFI,both,3.291540,5.710031,146,336,0.151959,0.000452
NMR,YFI,both,2.232896,1.559046,143,355,0.293347,0.000826
OGN,YFI,both,2.484023,2.834345,126,288,0.652939,0.002267
ONE,YFI,both,2.278905,2.074291,134,304,-0.922156,-0.003033
OXT,YFI,both,4.013899,1.983648,97,346,1.579959,0.004566
QTUM,YFI,both,3.672525,7.638007,124,260,0.113785,0.000438
RVN,YFI,both,3.843143,13.751344,139,286,-0.305811,-0.001069
SC,YFI,both,3.635509,6.093457,139,277,-0.099665,-0.000360
STX,YFI,both,3.447153,7.837789,150,320,-1.781449,-0.005567
SUN,YFI,both,3.597465,2.180352,83,343,-0.532079,-0.001551
THETA,YFI,both,5.153346,28.094242,121,281,0.514189,0.001830
TRX,YFI,both,3.427311,5.088552,123,252,0.196122,0.000778
UNI,YFI,both,3.605186,2.652127,63,246,0.799191,0.003249
UTK,YFI,both,5.793834,5.071017,83,332,-0.024525,-0.000074
VTHO,YFI,both,3.143563,6.147364,143,316,-0.440586,-0.001394
WIN,YFI,both,3.342770,4.614651,134,279,-0.240826,-0.000863
XLM,YFI,both,3.882326,12.546394,118,261,-0.368657,-0.001412
XRP,YFI,both,4.046712,11.764822,115,252,-0.017528,-0.000070
XTZ,YFI,both,3.940420,11.561623,114,256,0.471397,0.001841
