reference_coin,trading_coin,trading_type,sharpe_ratio,total_cumulative_return,num_trades
HFT,1INCH,both,3.534255,0.201347,39
HOOK,1INCH,both,2.961246,0.088008,20
AXS,AAVE,both,2.581262,17.508543,373
HOOK,AAVE,both,2.724569,0.098057,23
HFT,ACA,both,2.240530,0.303018,37
FUN,ADA,both,2.048370,6.777673,451
HIVE,ADA,both,2.114552,6.261205,444
HOOK,ADA,both,3.081844,0.125623,21
KNC,ADA,both,2.142191,5.829220,413
MAGIC,ADA,both,4.433487,0.031511,8
RIF,ADA,both,2.192619,6.419501,482
STRAX,ADA,both,2.014345,5.151237,441
YFI,ADA,both,2.281247,7.572378,371
HFT,AGLD,both,3.044366,0.220439,43
GMT,ALGO,both,2.998446,3.837328,223
GMX,ALGO,both,4.594882,1.426434,72
POLYX,ALGO,both,2.524398,0.484675,59
CELO,ALICE,both,2.223333,26.110746,403
DASH,ALICE,both,2.701841,96.411443,375
DOGE,ALICE,both,2.083000,22.930183,355
HOOK,ALICE,both,2.109885,0.073434,23
NKN,ALICE,both,2.093326,12.736742,395
STRAX,ALICE,both,2.489871,23.667283,477
VTHO,ALICE,both,2.202260,18.122505,459
XLM,ALICE,both,2.077877,18.852822,391
XTZ,ALICE,both,2.106881,18.617891,379
GMX,ANKR,both,2.060673,0.315848,69
HFT,ANKR,both,2.538257,0.166438,37
HOOK,ANKR,both,2.573349,0.096692,22
HOOK,APE,both,2.447573,0.092112,16
GMX,API3,both,3.406954,0.618959,79
HOOK,API3,both,3.094186,0.141042,23
AGLD,APT,both,2.392184,0.398357,58
ALCX,APT,both,3.469570,1.109186,57
ATA,APT,both,4.116751,0.873504,59
BAL,APT,both,2.587107,0.387691,56
BICO,APT,both,4.741183,1.021837,55
CAKE,APT,both,2.313337,0.638142,55
CHR,APT,both,4.799901,1.067761,54
COTI,APT,both,2.353433,0.409683,46
DATA,APT,both,4.605536,0.982418,58
DIA,APT,both,2.420306,0.594350,60
DOT,APT,both,3.097587,0.857568,48
DYDX,APT,both,2.062833,0.287892,57
FET,APT,both,3.198495,0.527433,52
FLOW,APT,both,2.598137,0.451026,51
GHST,APT,both,2.675252,0.980965,57
HFT,APT,both,2.568192,0.242516,37
HOOK,APT,both,3.635360,0.163261,22
HOT,APT,both,2.236076,0.488560,49
ICP,APT,both,2.897196,0.666904,57
INJ,APT,both,2.663551,0.556519,57
KMD,APT,both,3.338578,0.625087,64
LOKA,APT,both,2.713350,0.568686,55
MBOX,APT,both,2.494680,0.620248,51
MDT,APT,both,2.327420,0.366352,69
MLN,APT,both,2.113945,0.612499,55
NEO,APT,both,3.044648,0.585015,58
NEXO,APT,both,2.900205,0.781871,61
NKN,APT,both,2.112261,0.679657,55
OXT,APT,both,2.311134,0.746984,70
PEOPLE,APT,both,3.321942,0.641925,54
PSG,APT,both,2.041697,0.344961,59
RAD,APT,both,2.371070,0.507777,61
SLP,APT,both,2.357662,0.495897,51
SUPER,APT,both,2.703610,0.535599,54
TFUEL,APT,both,3.016183,0.915652,59
THETA,APT,both,3.055503,0.716928,52
TRU,APT,both,2.120931,0.434565,61
TRX,APT,both,2.558226,0.571661,69
UTK,APT,both,4.262482,0.950439,60
WIN,APT,both,2.344609,0.428419,50
XVG,APT,both,4.069061,0.934039,54
HOOK,AR,both,3.695602,0.165680,23
SUN,AR,both,2.071885,14.682112,514
GMX,ATOM,both,4.295961,0.797798,64
TRX,ATOM,both,2.683808,28.372518,437
HOOK,AUDIO,both,2.143931,0.087768,22
APE,AVAX,both,3.485488,5.448798,185
API3,AVAX,both,2.106716,2.662331,257
ATOM,AVAX,both,2.028199,10.129637,392
EOS,AVAX,both,2.053027,2.848410,234
FUN,AVAX,both,2.027602,12.036588,483
GMX,AVAX,both,3.613507,0.936423,76
HOOK,AVAX,both,2.659961,0.100296,20
KNC,AVAX,both,2.409918,17.379286,426
OSMO,AVAX,both,2.111796,0.187297,34
STG,AVAX,both,2.138568,0.457171,102
FUN,AXS,both,3.044809,185.597119,455
GMX,AXS,both,2.664942,0.713692,63
PHB,AXS,both,2.569481,0.232309,30
RIF,AXS,both,2.631928,56.360096,476
STRAX,AXS,both,2.647904,62.648166,452
TFUEL,AXS,both,2.149985,20.975745,425
HOOK,BAKE,both,2.030937,0.082122,26
RAD,BAL,both,2.235823,3.848507,343
STG,BAL,both,2.628919,0.846381,111
GMX,BAND,both,2.536808,2.390180,77
STG,BAND,both,2.182869,2.805795,115
HOOK,BAT,both,3.618729,0.187493,24
HOOK,BCH,both,4.404562,0.108638,24
GMT,BICO,both,2.053971,2.735420,239
HFT,BNB,both,3.942534,0.260429,35
HOOK,BNB,both,5.811296,0.214291,17
PHB,BNT,both,4.335971,0.192847,25
FUN,BTC,both,2.072052,3.283798,418
GMX,BTC,both,2.335557,0.301564,61
HOOK,BTC,both,4.239257,0.082856,19
OSMO,BTC,both,2.052544,0.103699,29
PHB,BTC,both,2.249510,0.058463,27
FUN,C98,both,2.300277,19.459521,442
GMX,CELO,both,2.894301,1.018344,69
HFT,CELO,both,2.495658,0.275928,42
OSMO,CELO,both,2.253501,0.415302,38
STG,CELO,both,2.037182,0.866143,120
ATA,CHR,both,2.168087,17.542418,410
GMT,CHR,both,2.134685,2.424717,207
SHIB,CHR,both,2.701192,54.608617,377
GMX,CHZ,both,2.008539,0.493890,66
GMX,COTI,both,2.788711,0.513048,68
HOOK,COTI,both,2.727108,0.131378,23
POLYX,COTI,both,2.225249,0.280538,59
STG,COTI,both,2.008959,0.429576,116
APE,CRV,both,2.524274,4.200386,209
BTTC,CRV,both,2.425748,4.464215,302
CELO,CRV,both,2.414445,19.060654,422
DOGE,CRV,both,2.028352,10.003062,393
FUN,CRV,both,2.685148,37.891095,486
HOOK,CRV,both,4.648655,0.222050,20
HOT,CRV,both,2.010646,9.230110,384
LOKA,CRV,both,2.805612,7.268824,291
MDT,CRV,both,2.197425,15.725421,515
MLN,CRV,both,2.921849,41.032045,494
NMR,CRV,both,2.077026,11.337307,533
RIF,CRV,both,2.056570,10.410871,510
WIN,CRV,both,2.506563,23.493060,457
ZRX,CRV,both,2.029433,10.301018,399
PHB,CTSI,both,2.524191,0.141057,37
GMT,CTXC,both,2.322350,7.219359,250
GMX,CTXC,both,2.217954,1.069093,76
HFT,CTXC,both,2.492131,0.741278,44
HOOK,CTXC,both,4.815031,1.328410,20
OSMO,CTXC,both,2.557429,0.971823,41
PHB,CTXC,both,3.650691,1.219890,42
HFT,CVX,both,2.946133,0.224564,33
HOOK,CVX,both,3.764640,0.166103,18
TUSD,CVX,both,3.998574,41.515148,276
USDC,CVX,both,3.542262,19.560786,277
USDP,CVX,both,3.502573,25.049765,281
HFT,DASH,both,2.911270,0.232349,41
HOOK,DATA,both,3.252272,0.124931,20
GMX,DEGO,both,3.613887,1.346101,71
OSMO,DEGO,both,2.095871,0.352358,45
PHB,DEGO,both,3.112191,0.317517,28
GMT,DENT,both,2.741602,3.346850,202
POLYX,DENT,both,2.443747,0.399269,67
OSMO,DF,both,2.257644,0.214851,41
GMT,DOGE,both,2.832653,4.128747,208
HOOK,DOGE,both,2.767535,0.104066,18
POLYX,DOGE,both,2.445935,0.686959,60
FUN,DOT,both,2.019889,7.235618,443
