window_name,months_back,window_start,window_end,pairs_selected,pairs_with_oos,portfolio_return,portfolio_sharpe,portfolio_drawdown,trades_executed,max_concurrent_trades,simulation_metrics
3mo,3,2023-10-01,2024-01-01,14564,14564,1.251584,1.771791,-0.067918,6781305,13239,"{'total_return': 0.2515837852273566, 'sharpe_ratio': 1.7717913485103114, 'max_drawdown': -0.0679182266190801, 'volatility': 0.08193850738815851, 'num_trades': 6781305, 'initial_capital': 1000.0, 'final_value': 1251.5837852273567}"
6mo,6,2023-07-01,2024-01-01,9424,9424,1.340763,2.042866,-0.041380,4404873,8567,"{'total_return': 0.340763128410122, 'sharpe_ratio': 2.04286623146995, 'max_drawdown': -0.04138042717315262, 'volatility': 0.09245482608664017, 'num_trades': 4404873, 'initial_capital': 1000.0, 'final_value': 1340.763128410122}"
9mo,9,2023-04-01,2024-01-01,6390,6390,1.674204,2.980034,-0.050337,2992160,5809,"{'total_return': 0.6742040073962567, 'sharpe_ratio': 2.9800340828197673, 'max_drawdown': -0.050336870007331475, 'volatility': 0.10935405234299356, 'num_trades': 2992160, 'initial_capital': 1000.0, 'final_value': 1674.2040073962567}"
12mo,12,2023-01-01,2024-01-01,4872,4872,1.800069,3.061176,-0.061996,2289026,4429,"{'total_return': 0.80006882643226, 'sharpe_ratio': 3.0611755825525697, 'max_drawdown': -0.06199615747780001, 'volatility': 0.12092251192366303, 'num_trades': 2289026, 'initial_capital': 1000.0, 'final_value': 1800.06882643226}"
15mo,15,2022-10-01,2024-01-01,3775,3775,1.842773,3.004842,-0.048727,1784103,3431,"{'total_return': 0.8427733960273727, 'sharpe_ratio': 3.0048423677360274, 'max_drawdown': -0.04872740826957113, 'volatility': 0.12843796431451326, 'num_trades': 1784103, 'initial_capital': 1000.0, 'final_value': 1842.7733960273727}"
18mo,18,2022-07-01,2024-01-01,3342,3342,1.854867,2.869369,-0.060109,1578526,3038,"{'total_return': 0.8548673305300707, 'sharpe_ratio': 2.869368795477884, 'max_drawdown': -0.06010918546235485, 'volatility': 0.13660238413434836, 'num_trades': 1578526, 'initial_capital': 1000.0, 'final_value': 1854.8673305300706}"
21mo,21,2022-04-01,2024-01-01,3129,3129,1.802182,2.824129,-0.064879,1484665,2844,"{'total_return': 0.8021821132225375, 'sharpe_ratio': 2.8241292361637176, 'max_drawdown': -0.06487872048461403, 'volatility': 0.13238875306732056, 'num_trades': 1484665, 'initial_capital': 1000.0, 'final_value': 1802.1821132225375}"
24mo,24,2022-01-01,2024-01-01,3003,3003,1.753633,2.749686,-0.068662,1426368,2730,"{'total_return': 0.7536333469203476, 'sharpe_ratio': 2.749686135649686, 'max_drawdown': -0.06866230337646624, 'volatility': 0.1298183142645458, 'num_trades': 1426368, 'initial_capital': 1000.0, 'final_value': 1753.6333469203475}"
27mo,27,2021-10-01,2024-01-01,2930,2930,1.642834,2.518380,-0.076185,1390026,2663,"{'total_return': 0.6428344696884747, 'sharpe_ratio': 2.5183804295129733, 'max_drawdown': -0.07618512475224856, 'volatility': 0.1256752398236705, 'num_trades': 1390026, 'initial_capital': 1000.0, 'final_value': 1642.8344696884747}"
30mo,30,2021-07-01,2024-01-01,2910,2910,1.626320,2.472099,-0.079177,1381275,2645,"{'total_return': 0.6263198268716277, 'sharpe_ratio': 2.4720993235800903, 'max_drawdown': -0.07917706885209172, 'volatility': 0.12550237866835504, 'num_trades': 1381275, 'initial_capital': 1000.0, 'final_value': 1626.3198268716276}"
33mo,33,2021-04-01,2024-01-01,2885,2885,1.590379,2.379173,-0.083244,1369336,2622,"{'total_return': 0.5903789326509439, 'sharpe_ratio': 2.3791732350304113, 'max_drawdown': -0.08324405838695902, 'volatility': 0.12455929060083518, 'num_trades': 1369336, 'initial_capital': 1000.0, 'final_value': 1590.3789326509439}"
36mo,36,2021-01-01,2024-01-01,2887,2887,1.592440,2.386644,-0.082919,1370415,2624,"{'total_return': 0.5924399716878519, 'sharpe_ratio': 2.3866436090362715, 'max_drawdown': -0.08291931917722907, 'volatility': 0.12451085570382679, 'num_trades': 1370415, 'initial_capital': 1000.0, 'final_value': 1592.439971687852}"
39mo,39,2020-10-01,2024-01-01,2885,2885,1.590637,2.381527,-0.083292,1369282,2622,"{'total_return': 0.5906369906023192, 'sharpe_ratio': 2.3815272470292492, 'max_drawdown': -0.08329175359460227, 'volatility': 0.12448288584449453, 'num_trades': 1369282, 'initial_capital': 1000.0, 'final_value': 1590.6369906023192}"
42mo,42,2020-07-01,2024-01-01,2881,2881,1.587352,2.370396,-0.083872,1367155,2619,"{'total_return': 0.587351825835317, 'sharpe_ratio': 2.370395627420972, 'max_drawdown': -0.08387217066248376, 'volatility': 0.12453550029870834, 'num_trades': 1367155, 'initial_capital': 1000.0, 'final_value': 1587.351825835317}"
45mo,45,2020-04-01,2024-01-01,2881,2881,1.587352,2.370396,-0.083872,1367155,2619,"{'total_return': 0.587351825835317, 'sharpe_ratio': 2.370395627420972, 'max_drawdown': -0.08387217066248376, 'volatility': 0.12453550029870834, 'num_trades': 1367155, 'initial_capital': 1000.0, 'final_value': 1587.351825835317}"
48mo,48,2020-01-01,2024-01-01,2881,2881,1.587352,2.370396,-0.083872,1367155,2619,"{'total_return': 0.587351825835317, 'sharpe_ratio': 2.370395627420972, 'max_drawdown': -0.08387217066248376, 'volatility': 0.12453550029870834, 'num_trades': 1367155, 'initial_capital': 1000.0, 'final_value': 1587.351825835317}"
51mo,51,2019-10-01,2024-01-01,2881,2881,1.587352,2.370396,-0.083872,1367155,2619,"{'total_return': 0.587351825835317, 'sharpe_ratio': 2.370395627420972, 'max_drawdown': -0.08387217066248376, 'volatility': 0.12453550029870834, 'num_trades': 1367155, 'initial_capital': 1000.0, 'final_value': 1587.351825835317}"
54mo,54,2019-07-01,2024-01-01,2881,2881,1.587352,2.370396,-0.083872,1367155,2619,"{'total_return': 0.587351825835317, 'sharpe_ratio': 2.370395627420972, 'max_drawdown': -0.08387217066248376, 'volatility': 0.12453550029870834, 'num_trades': 1367155, 'initial_capital': 1000.0, 'final_value': 1587.351825835317}"
