Date,PAXG,1INCH,KNC,RIF,PSG,KMD,ASR,CHZ,OG,MDT
2022-12-19 03:00:00,746.6366418684565,424.4456913913753,232.7987572695181,242.95991014477664,178.1554972518922,196.8626027393344,189.92704146297686,173.47206617608262,141.97309559179038,144.66077818826253
2022-12-19 04:00:00,746.6366418684565,423.5377861691477,232.7987572695181,242.95991014477664,178.53739542392202,196.8626027393344,189.92704146297686,173.84392483883954,142.27743234547057,144.66077818826253
2022-12-19 05:00:00,746.6366418684565,423.0852885343515,233.04773989761384,242.95991014477664,178.72834450993693,196.8626027393344,189.92704146297686,174.029854170218,142.42960072231068,144.66077818826253
2022-12-19 06:00:00,746.6366418684565,419.0559048340244,235.2885835504755,242.95991014477664,180.44688628407093,196.8626027393344,189.92704146297686,175.70321815262392,143.79911611387132,144.66077818826253
2022-12-19 07:00:00,746.6366418684565,420.8372264273677,234.29265303809257,242.95991014477664,179.6830899400114,196.8626027393344,189.92704146297686,174.9595008271102,143.19044260651106,144.66077818826253
2022-12-19 08:00:00,746.6366418684565,409.94599385937164,240.51721874048613,242.95991014477664,184.45681709038365,196.8626027393344,189.92704146297686,179.60773411157115,146.99465202751293,144.66077818826253
2022-12-19 09:00:00,746.6366418684565,422.1831877059199,233.54570515380544,235.9175939086962,179.11024268196675,196.8626027393344,184.42190982636887,174.40171283297494,142.73393747599087,140.4677121538202
2022-12-19 10:00:00,750.6379100456728,424.4456913913753,233.54570515380544,235.9175939086962,178.1554972518922,197.91760061039207,184.42190982636887,173.47206617608262,141.97309559179038,140.4677121538202
2022-12-19 11:00:00,749.0322674573397,423.5377861691477,233.04614214812878,235.9175939086962,178.53739542392202,197.49424745400614,184.42190982636887,173.84392483883954,141.97309559179038,140.4677121538202
2022-12-19 12:00:00,751.4433155285541,424.9011052233401,233.79629067435658,235.9175939086962,177.96454816587743,198.12995855096105,184.42190982636887,173.2861368447043,141.97309559179038,140.9198614418689
2022-12-19 13:00:00,753.059322658723,425.81487104102473,234.29907839623695,235.9175939086962,177.5826499938476,198.55604448332872,184.42190982636887,172.91427818194737,141.97309559179038,141.22291490733534
2022-12-19 14:00:00,749.0322674573397,423.5377861691477,233.04614214812878,235.9175939086962,177.5826499938476,197.49424745400614,184.42190982636887,172.91427818194737,141.97309559179038,140.4677121538202
2022-12-19 15:00:00,749.0322674573397,431.85150498162807,237.62065747928062,235.9175939086962,177.5826499938476,197.49424745400614,184.42190982636887,172.91427818194737,141.97309559179038,143.22498458432042
2022-12-19 16:00:00,749.0322674573397,439.5203441377946,241.84033619145433,235.9175939086962,177.5826499938476,197.49424745400614,184.42190982636887,172.91427818194737,141.97309559179038,145.7683805369832
2022-12-19 17:00:00,752.3724336444403,441.48030107932317,242.91877693255333,235.9175939086962,178.3745458689595,197.49424745400614,184.42190982636887,172.91427818194737,141.97309559179038,146.41840676011353
2022-12-19 18:00:00,749.8645255322925,440.0087000757257,242.91877693255333,235.9175939086962,177.77996404939643,197.49424745400614,183.80717012694777,173.49258680462938,141.97309559179038,145.93034540424654
2022-12-19 19:00:00,751.5346024265738,440.9886749088564,242.91877693255333,235.9175939086962,178.17591051721243,197.49424745400614,184.21654021631733,173.10704772284134,141.97309559179038,146.25535730937847
2022-12-19 20:00:00,752.3724336444403,441.48030107932317,242.91877693255333,235.9175939086962,178.3745458689595,197.49424745400614,184.42190982636887,172.91427818194737,141.97309559179038,146.41840676011353
2022-12-19 21:00:00,769.530299862102,451.54826689641186,242.91877693255333,235.9175939086962,182.4423804383772,197.49424745400614,188.62765463426797,169.0588873640666,141.97309559179038,149.75748103058373
2022-12-19 22:00:00,766.0364051975746,449.49810450414645,242.91877693255333,235.9175939086962,181.6140381889407,197.49424745400614,187.77122941458904,169.8299655276428,141.97309559179038,149.0775378703994
2022-12-19 23:00:00,765.167883196217,448.98846946502624,242.91877693255333,235.9175939086962,181.40812658101677,197.49424745400614,187.55833686423242,170.0227350685368,141.97309559179038,148.90851571861893
2022-12-20 00:00:00,761.7134006535704,446.96143348550015,242.91877693255333,235.9175939086962,180.58912826688126,197.49424745400614,186.7115723637167,170.79381323211294,141.97309559179038,148.236242509957
2022-12-20 01:00:00,749.8645255322925,440.0087000757257,239.14004040249137,235.9175939086962,177.77996404939643,197.49424745400614,183.80717012694777,173.49258680462938,141.97309559179038,145.93034540424654
2022-12-20 02:00:00,749.8645255322925,440.0087000757257,239.14004040249137,235.9175939086962,177.77996404939643,197.49424745400614,183.80717012694777,173.49258680462938,141.97309559179038,145.93034540424654
2022-12-20 03:00:00,744.8985352969793,437.0947351745619,237.5563315256536,235.9175939086962,177.77996404939643,197.49424745400614,183.80717012694777,174.6492040499936,141.97309559179038,144.9639192757416
2022-12-20 04:00:00,744.8985352969793,436.6128225668721,237.29441715792962,235.9175939086962,177.77996404939643,197.49424745400614,183.80717012694777,174.84197359088765,141.97309559179038,144.80409136033282
2022-12-20 05:00:00,744.8985352969793,433.2689606872571,235.47706385365663,235.9175939086962,177.77996404939643,197.49424745400614,183.80717012694777,176.19136037714588,141.97309559179038,143.6950884724528
2022-12-20 06:00:00,748.9734725797856,430.91167580865385,234.19590463791306,235.9175939086962,177.77996404939643,197.49424745400614,183.80717012694777,177.1552080816161,141.97309559179038,143.6950884724528
2022-12-20 07:00:00,747.3434976666631,431.85150498162807,234.7066917799805,235.9175939086962,177.39306532458815,197.49424745400614,183.80717012694777,176.769668999828,141.97309559179038,143.6950884724528
2022-12-20 08:00:00,747.3434976666631,431.3810785056134,234.4510200024425,235.9175939086962,177.58651468699222,197.49424745400614,183.80717012694777,176.96243854072196,141.97309559179038,143.6950884724528
2022-12-20 09:00:00,747.3434976666631,435.17343963533284,236.5121278705957,235.9175939086962,176.03891978775926,197.49424745400614,183.80717012694777,175.4202822135698,141.97309559179038,143.6950884724528
2022-12-20 10:00:00,749.8154166225619,436.6128225668721,237.29441715792962,235.9175939086962,175.4585717005468,197.49424745400614,183.80717012694777,174.84197359088765,141.97309559179038,143.6950884724528
2022-12-20 11:00:00,746.5231425649434,434.695751995777,236.25250972803744,235.9175939086962,176.23236915016338,197.49424745400614,183.80717012694777,174.84197359088765,141.97309559179038,143.6950884724528
2022-12-20 12:00:00,744.0728477862841,433.2689606872571,235.47706385365663,235.9175939086962,176.81271723737575,197.49424745400614,183.80717012694777,174.84197359088765,141.97309559179038,143.6950884724528
2022-12-20 13:00:00,745.7045864875698,434.21911191683444,235.99346092351115,235.9175939086962,176.42581851256747,197.49424745400614,183.80717012694777,174.84197359088765,141.97309559179038,143.6950884724528
2022-12-20 14:00:00,744.8878235231804,433.74351595635596,235.73497958624552,235.9175939086962,176.6192678749716,197.49424745400614,183.80717012694777,174.84197359088765,141.97309559179038,143.6950884724528
2022-12-20 15:00:00,747.3434976666631,435.17343963533284,236.5121278705957,235.9175939086962,176.03891978775926,197.49424745400614,183.80717012694777,175.4183757016268,141.97309559179038,143.6950884724528
2022-12-20 16:00:00,745.7045864875698,434.21911191683444,235.99346092351115,235.9175939086962,176.42581851256747,197.49424745400614,183.80717012694777,175.03368628122857,141.97309559179038,143.6950884724528
2022-12-20 17:00:00,742.4482345815105,432.32295858968666,234.96292179284077,235.9175939086962,177.19961596218397,197.49424745400614,183.80717012694777,174.2693470398258,141.97309559179038,143.6950884724528
2022-12-20 18:00:00,746.5231425649434,434.695751995777,236.25250972803744,235.9175939086962,176.23236915016338,197.49424745400614,183.80717012694777,175.22581985563158,141.97309559179038,143.6950884724528
2022-12-20 19:00:00,742.4482345815105,432.32295858968666,234.96292179284077,235.9175939086962,177.19961596218397,197.49424745400614,183.80717012694777,174.2693470398258,141.97309559179038,142.9107266358128
2022-12-20 20:00:00,747.3434976666631,435.17343963533284,236.5121278705957,235.9175939086962,178.3679650784181,197.49424745400614,183.80717012694777,175.4183757016268,142.90918193635162,143.85299516308186
2022-12-20 21:00:00,748.1656577301035,435.65217829279777,236.77231723018951,235.9175939086962,178.56418946244293,197.49424745400614,184.00937823489835,175.61135521284984,143.06639775806389,144.01124928317338
2022-12-20 22:00:00,745.7045864875698,434.21911191683444,235.99346092351115,235.9175939086962,177.97680726026374,197.49424745400614,183.4040842275466,175.03368628122857,142.59578460754386,143.53752806842604
2022-12-20 23:00:00,748.1656577301035,435.65217829279777,236.77231723018951,235.9175939086962,178.56418946244293,197.49424745400614,184.00937823489835,175.61135521284984,143.06639775806389,144.01124928317338
2022-12-21 00:00:00,746.5231425649434,434.695751995777,236.25250972803744,235.9175939086962,178.17217148338145,197.49424745400614,183.60540594459107,175.22581985563158,142.75231126463223,143.6950884724528
2022-12-21 01:00:00,743.2596534171188,432.79544269743496,236.25250972803744,235.9175939086962,177.3932767446563,197.49424745400614,182.80275936122678,175.22581985563158,142.12825744489615,143.6950884724528
2022-12-21 02:00:00,745.7045864875698,432.79544269743496,236.25250972803744,235.9175939086962,177.97680726026374,197.49424745400614,183.4040842275466,175.22581985563158,142.59578460754386,143.6950884724528
2022-12-21 03:00:00,755.6473143074043,432.79544269743496,236.25250972803744,235.9175939086962,180.3498313570673,197.49424745400614,185.8494720172473,175.22581985563158,144.4970617356445,143.6950884724528
2022-12-21 04:00:00,757.3302704639908,432.79544269743496,236.25250972803744,235.9175939086962,180.75150136008972,197.49424745400614,186.2633906631654,175.22581985563158,144.81888147224947,143.6950884724528
2022-12-21 05:00:00,754.8086380429119,432.79544269743496,236.25250972803744,235.9175939086962,180.14966506255328,197.49424745400614,185.64320179303274,175.22581985563158,144.33668763826856,143.6950884724528
2022-12-21 06:00:00,758.174562850238,432.79544269743496,236.25250972803744,235.9175939086962,180.9530080505691,197.49424745400614,186.4710421577731,175.22581985563158,144.98032950064658,143.6950884724528
2022-12-21 07:00:00,754.8086380429119,432.79544269743496,236.25250972803744,234.87023500122146,180.14966506255328,197.49424745400614,185.64320179303274,175.22581985563158,144.33668763826856,143.6950884724528
2022-12-21 08:00:00,754.8086380429119,432.79544269743496,236.25250972803744,234.87023500122146,180.14966506255328,197.49424745400614,185.64320179303274,175.22581985563158,144.33668763826856,143.6950884724528
2022-12-21 09:00:00,755.6473143074043,432.79544269743496,236.25250972803744,235.1312019290007,180.3498313570673,197.49424745400614,185.8494720172473,175.22581985563158,144.4970617356445,143.6950884724528
2022-12-21 10:00:00,756.4878563700373,432.79544269743496,236.25250972803744,235.39274942836545,180.55044296035652,197.71392959800386,186.05620112961347,175.22581985563158,144.65779261632923,143.6950884724528
2022-12-21 11:00:00,756.4878563700373,432.79544269743496,236.25250972803744,234.60984671408048,179.9499425957434,197.05634446630322,185.43738893073453,175.22581985563158,144.176669137561,143.6950884724528
2022-12-21 12:00:00,756.4878563700373,432.79544269743496,236.25250972803744,234.60984671408048,178.95793629697965,195.9700360624096,184.41513210090685,175.22581985563158,143.38186941794928,143.6950884724528
