Date,PAXG,ASR,ATM,DCR,1INCH,NMR,MDT,SNX,OG,STRAX
2022-02-13 21:00:00,13.742173467354936,21.810895141010263,20.630865562553392,12.007025981339117,9.70051683987585,10.061643433815817,9.080929600048155,15.392352252449376,6.780916447212524,13.753783997960033
2022-02-13 22:00:00,13.2880842571293,21.090187301568186,19.949150004834237,11.610272079347048,9.379978022558218,9.729171737741908,8.780864100220482,14.883735395411925,6.780916447212524,13.299311135418751
2022-02-13 23:00:00,13.312026751286291,21.090187301568186,19.949150004834237,11.610272079347048,9.379978022558218,9.711673227422228,8.780864100220482,14.856966087146796,6.79313431468498,13.299311135418751
2022-02-14 00:00:00,13.312026751286291,21.090187301568186,20.718147927924775,12.057823735100325,9.379978022558218,9.351203914836823,8.780864100220482,14.305518336885127,7.054995405408242,13.299311135418751
2022-02-14 01:00:00,13.372081007307136,21.185331003680524,20.811613256922932,12.112219932401523,9.422293712885551,9.393389797159392,8.780864100220482,14.241271997048823,7.086822452349937,13.359308027758994
2022-02-14 02:00:00,13.139909671014768,20.81750294414119,20.45027383207056,11.90192280021723,9.258700139000947,9.23029806444181,8.628407279862015,14.241271997048823,6.963778250185012,13.127358460967459
2022-02-14 03:00:00,13.198417617601846,20.91019683480155,20.541332565274583,11.954918374837863,9.299926262068853,9.271397721871605,8.66682690411372,14.241271997048823,6.994785797124611,13.185810520904976
2022-02-14 04:00:00,13.422541690353583,21.265275648977426,20.8901476465717,12.157926422712476,9.457849538217197,9.428836551110939,8.81399943644773,14.241271997048823,7.113565178585221,13.409720510882615
2022-02-14 05:00:00,13.302070111980923,21.074413040310468,20.702651930970465,12.048805168357536,9.372962332189816,9.344209745865363,8.734890989748122,14.113452053918989,7.0497186698769,13.289364006671248
2022-02-14 06:00:00,12.850337962224339,20.358735718854835,19.99959944487537,11.639633316541921,9.054660865706486,9.02688470391762,8.43825813099222,13.63416574861971,6.81031348383339,12.838063350375327
2022-02-14 07:00:00,13.407363542946472,21.24122897466649,20.866525165252554,12.14417829633926,9.447154646164934,9.418174466808889,8.804032607081224,14.22516803323761,7.1055211923297525,13.394556861605324
2022-02-14 08:00:00,13.478490139991278,21.35391453951883,20.977222911487313,12.208603645391456,9.497272177444323,9.468138257083737,8.850738350354861,14.300633115642052,7.143216264968106,13.465615518696067
2022-02-14 09:00:00,13.422541690353583,21.265275648977436,20.890147646571712,12.157926422712476,9.457849538217197,9.428836551110939,8.81399943644773,14.241271997048823,7.113565178585221,13.409720510882615
2022-02-14 10:00:00,13.498950846086142,21.386330349066487,21.00906689313663,12.227136630052392,9.511689288909135,9.482511142483485,8.864174006294679,14.322341856614564,7.154059857021188,13.486056680773784
2022-02-14 11:00:00,13.37710999602745,21.19329840909748,20.819440114108698,12.116775111014688,9.425837260727931,9.396922474781492,8.784166418422897,14.193069120789538,7.089487673279742,13.3643322128014
2022-02-14 12:00:00,13.262392050498507,21.011551256446758,20.64089905421888,12.012865406483245,9.345004204427882,9.316337382715881,8.708836132209727,14.071353762930421,7.028690426268024,13.24972384557753
2022-02-14 13:00:00,13.1690986595472,20.863746934391038,20.495702059761207,11.928361725356554,9.279267410690696,9.250802243777855,8.647574419321172,13.972369786071596,6.979247583580465,13.156519568248399
2022-02-14 14:00:00,13.29212835554446,21.05866235791861,20.68717909694134,12.039800082282525,9.365957128653049,9.337226031556044,8.728362670622749,14.102903883475099,7.044449821842611,13.279431746576572
2022-02-14 15:00:00,13.317010662462357,21.098083290823734,20.725904628758897,12.062338083185333,9.383489807665871,9.354704927159851,8.74470179954566,14.129303928183955,7.057636736522207,13.304290285974874
2022-02-14 16:00:00,13.377109996027437,21.19329840909748,20.819440114108698,12.116775111014677,9.425837260727922,9.396922474781483,8.78416641842289,14.193069120789525,7.089487673279736,13.364332212801388
2022-02-14 17:00:00,13.42254169035357,21.265275648977436,20.890147646571712,12.157926422712464,9.45784953821719,9.42883655111093,8.813999436447723,14.24127199704881,7.1135651785852145,13.409720510882602
2022-02-14 18:00:00,13.524614250736482,21.42698877178335,21.04900808494868,12.250382136953618,9.529772348393742,9.500538730206829,8.881026048131734,14.349570643414197,7.167660731274074,13.511695571801857
2022-02-14 19:00:00,13.514337188235924,21.410706865421805,21.033013397954033,12.241073335937699,9.5225308800439,9.49331947585257,8.87427754809516,14.338666714353854,7.162214180566419,13.501428325926629
2022-02-14 20:00:00,13.321998306905225,21.105985194677974,20.73366713985581,12.066855812804501,9.387004223324174,9.358208561964029,8.747976968758973,14.134595802314358,7.0602800461613535,13.309273166231792
2022-02-14 21:00:00,13.341986301364196,21.137652089193615,20.73366713985581,12.084960622726188,9.401088250665993,9.372249385012736,8.747976968758973,14.155802997816703,7.0602800461613535,13.32924206820663
2022-02-14 22:00:00,13.292128355544449,21.0586623579186,20.73366713985581,12.039800082282516,9.36595712865304,9.337226031556035,8.747976968758973,14.102903883475086,7.0602800461613535,13.279431746576561
2022-02-14 23:00:00,13.488712733954099,21.370110151607953,20.73366713985581,12.21786310966554,9.504475265936879,9.475319249315117,8.747976968758973,14.311479253765397,7.0602800461613535,13.475828348061773
2022-02-15 00:00:00,13.222949992355746,20.949063371669208,20.73366713985581,11.977139412709304,9.317212370362657,9.28863080313902,8.747976968758973,14.02950587069864,7.0602800461613535,13.21031946239364
2022-02-15 01:00:00,13.115684173833689,20.779122592105516,20.73366713985581,11.879979727207976,9.241630264113406,9.21328055326105,8.747976968758973,13.9156971947564,7.0602800461613535,13.103156103922897
2022-02-15 02:00:00,13.02920713532489,20.642117388201516,20.73366713985581,11.801650190545063,9.18069643819617,9.21328055326105,8.747976968758973,13.823945345120638,7.0602800461613535,13.016761668072855
2022-02-15 03:00:00,13.169098659547188,20.863746934391017,20.73366713985581,11.928361725356543,9.279267410690688,9.21328055326105,8.747976968758973,13.972369786071583,7.0602800461613535,13.156519568248386
2022-02-15 04:00:00,13.086731228637591,20.73325256430837,20.73366713985581,11.853754606397366,9.221229314303,9.21328055326105,8.747976968758973,13.88497821640153,7.0602800461613535,13.074230814510267
2022-02-15 05:00:00,13.135057414858563,20.809815535373023,20.73366713985581,11.897527703171365,9.25528112122436,9.21328055326105,8.747976968758973,13.9362521389141,7.0602800461613535,13.12251083967464
2022-02-15 06:00:00,13.183741838190139,20.8869460599667,20.73366713985581,11.941625285466294,9.289585350732239,9.21328055326105,8.747976968758973,13.987906149807039,7.0602800461613535,13.17114875976239
2022-02-15 07:00:00,13.183741838190139,20.499447242557356,20.349011983750813,11.720081855288495,9.117243097954013,9.21328055326105,8.747976968758973,13.728399706140195,7.0602800461613535,12.926794963200779
2022-02-15 08:00:00,13.140579351269908,20.499447242557356,20.4158518041354,11.720081855288495,9.147190246815908,9.21328055326105,8.747976968758973,13.773492989846497,7.0602800461613535,12.969255238627351
2022-02-15 09:00:00,13.12619185562983,20.499447242557356,20.438229427596276,11.720081855288495,9.157216396154764,9.21328055326105,8.747976968758973,13.788589986181735,7.0602800461613535,12.983470717515145
2022-02-15 10:00:00,13.059050209309477,20.499447242557356,20.543310298689317,11.720081855288495,9.204297200248101,9.21328055326105,8.747976968758973,13.85948247968395,7.096579686501518,13.050223780330128
2022-02-15 11:00:00,13.03027521802932,20.499447242557356,20.58867646055613,11.720081855288495,9.224623215412436,9.21328055326105,8.747976968758973,13.890088624283917,7.112251191145984,13.079042824379444
2022-02-15 12:00:00,12.991908562989115,20.499447242557356,20.649477276977116,11.720081855288495,9.251864627639568,9.21328055326105,8.747976968758973,13.9311077121371,7.133254516922717,13.117666797282743
2022-02-15 13:00:00,13.107008528109727,20.499447242557356,20.468142679594223,11.720081855288495,9.170618835080713,9.21328055326105,8.747976968758973,13.80877087163535,7.070613423470048,13.002473235945462
2022-02-15 14:00:00,13.135783519389877,20.499447242557356,20.423305565290626,11.7458120020619,9.1505298562525,9.21328055326105,8.747976968758973,13.778521647382046,7.055124675554453,12.97399027157319
2022-02-15 15:00:00,13.404350104671307,20.499447242557356,20.014108745377825,11.985960038613737,8.967191869866046,9.21328055326105,8.747976968758973,13.502458244071347,6.913769762555866,12.714046280443275
2022-02-15 16:00:00,13.33720845835095,20.396766648140254,20.014108745377825,11.925923029475777,8.967191869866046,9.21328055326105,8.704158837251773,13.502458244071347,6.94857478832925,12.714046280443275
2022-02-15 17:00:00,13.351595953991032,20.418769632658204,20.014108745377825,11.938788102862476,8.967191869866046,9.21328055326105,8.71354843686046,13.502458244071347,6.94857478832925,12.714046280443275
2022-02-15 18:00:00,13.183741838190139,20.162068146615436,20.014108745377825,11.788695580017583,8.967191869866046,9.21328055326105,8.604003108092462,13.502458244071347,6.94857478832925,12.714046280443275
2022-02-15 19:00:00,13.36118761775109,20.433438289003508,20.014108745377825,11.94736481845362,8.967191869866046,9.21328055326105,8.719808169932923,13.323136293234786,6.94857478832925,12.714046280443275
2022-02-15 20:00:00,13.30843346707081,20.35276067910435,20.014108745377825,11.900192882702367,8.967191869866046,9.21328055326105,8.685379638034409,13.37594872538815,6.94857478832925,12.714046280443275
2022-02-15 21:00:00,13.274862643910627,20.301420381895795,20.014108745377825,11.870174378133385,8.967191869866046,9.21328055326105,8.663470572280806,13.409775185315075,6.94857478832925,12.714046280443275
2022-02-15 22:00:00,13.38037094527119,20.462775601694105,20.014108745377825,11.964518249635892,8.967191869866046,9.21328055326105,8.732327636077835,13.304035022563484,6.94857478832925,12.714046280443275
2022-02-15 23:00:00,13.2700668120306,20.294086053723145,20.014108745377825,11.865886020337816,8.967191869866046,9.21328055326105,8.660340705744577,13.41462150811425,6.94857478832925,12.714046280443275
2022-02-16 00:00:00,13.0062960586292,19.890698004227385,20.014108745377825,11.630026341581555,8.967191869866046,9.21328055326105,8.488198046252005,13.686673197991196,6.94857478832925,12.714046280443275
2022-02-16 01:00:00,13.03507104990935,19.934703973263282,20.014108745377825,11.630026341581555,8.947396744325502,9.21328055326105,8.488198046252005,13.656459791373116,6.94857478832925,12.714046280443275
2022-02-16 02:00:00,13.154966846909987,20.118062177579535,20.014108745377825,11.630026341581555,8.865849198350974,9.21328055326105,8.488198046252005,13.531993333194361,6.94857478832925,12.714046280443275
2022-02-16 03:00:00,13.226904325110377,20.228077100169294,20.014108745377825,11.630026341581555,8.817630294081482,9.21328055326105,8.488198046252005,13.45839656017118,6.94857478832925,12.714046280443275
2022-02-16 04:00:00,13.174150174430103,20.14739949027014,20.014108745377825,11.630026341581555,8.817630294081482,9.176534329154503,8.488198046252005,13.512288938096866,6.94857478832925,12.714046280443275
2022-02-16 05:00:00,13.236495988870434,20.242745756514594,20.014108745377825,11.630026341581555,8.817630294081482,9.219961684916791,8.488198046252005,13.448644098895686,6.94857478832925,12.714046280443275
2022-02-16 06:00:00,13.16935434255008,20.140065162097493,20.014108745377825,11.630026341581555,8.817630294081482,9.173193763326635,8.531473637165158,13.517209655117293,6.94857478832925,12.714046280443275
2022-02-16 07:00:00,13.16935434255008,20.140065162097493,20.014108745377825,11.630026341581555,8.817630294081482,9.173193763326635,8.531473637165158,13.517209655117293,6.94857478832925,12.714046280443275
2022-02-16 08:00:00,13.16935434255008,20.140065162097493,20.014108745377825,11.630026341581555,8.91831041898628,9.069636222662714,8.628886411659495,13.671549802192299,6.94857478832925,12.714046280443275
2022-02-16 09:00:00,13.222927899416968,20.140065162097493,20.014108745377825,11.630026341581555,8.954590527939262,9.069636222662714,8.663989130050126,13.727166313961577,6.94857478832925,12.714046280443275
2022-02-16 10:00:00,13.164505537563874,20.140065162097493,20.014108745377825,11.630026341581555,8.915026799538941,9.069636222662714,8.625709354806899,13.666516094606814,6.94857478832925,12.714046280443275
2022-02-16 11:00:00,13.07305193419506,20.140065162097493,20.014108745377825,11.630026341581555,8.853094255044889,9.069636222662714,8.56578669384115,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 12:00:00,13.396327103792983,20.140065162097493,20.014108745377825,11.630026341581555,9.072016780647342,9.069636222662714,8.777604573868699,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 13:00:00,13.482200995483971,20.140065162097493,20.014108745377825,11.630026341581555,9.130170734369445,9.069636222662714,8.83387126985504,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 14:00:00,13.43155410970078,20.140065162097493,20.014108745377825,11.630026341581555,9.09587257233199,9.069636222662714,8.80068617868353,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 15:00:00,13.316497966489193,20.140065162097493,20.014108745377825,11.630026341581555,9.017956345455405,9.069636222662714,8.725298550337266,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 16:00:00,13.356293253650916,20.140065162097493,20.014108745377825,11.630026341581555,9.044905785411947,9.069636222662714,8.75137340592289,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 17:00:00,13.37127787585022,20.140065162097493,20.014108745377825,11.630026341581555,9.05505339848458,9.069636222662714,8.761191700693928,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 18:00:00,13.149980522259467,20.140065162097493,20.014108745377825,11.630026341581555,8.905190433081195,9.069636222662714,8.616192205831396,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 19:00:00,13.183922212398045,20.140065162097493,20.014108745377825,11.630026341581555,8.92817580661791,9.069636222662714,8.638431639990992,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 20:00:00,13.2327154108155,20.140065162097493,20.014108745377825,11.630026341581555,8.961218648241216,9.069636222662714,8.6704021493914,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 21:00:00,13.242517422230918,20.140065162097493,20.014108745377825,11.630026341581555,8.967856587980652,9.069636222662714,8.676824669502057,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 22:00:00,13.2818711144218,20.140065162097493,20.014108745377825,11.630026341581555,8.99450697902963,9.069636222662714,8.702610181149913,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-16 23:00:00,13.174206720716095,20.140065162097493,20.014108745377825,11.630026341581555,8.921596458197408,9.069636222662714,8.632065809747811,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-17 00:00:00,13.13548752388812,20.140065162097493,20.014108745377825,11.630026341581555,8.895375748548036,9.069636222662714,8.606696035141642,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-17 01:00:00,13.213154855884506,20.140065162097493,20.014108745377825,11.630026341581555,8.9479722053022,9.069636222662714,8.657585590412252,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-17 02:00:00,13.341342179113232,20.140065162097493,20.014108745377825,11.630026341581555,9.034780890876025,9.069636222662714,8.741577092408786,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-17 03:00:00,13.321459403883551,20.140065162097493,20.014108745377825,11.630026341581555,9.034780890876025,9.069636222662714,8.728549406727101,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-17 04:00:00,13.208273749546894,20.140065162097493,20.014108745377825,11.630026341581555,9.034780890876025,9.069636222662714,8.654387368915971,13.571575032157996,6.94857478832925,12.714046280443275
2022-02-17 05:00:00,13.188785333833797,20.140065162097493,20.014108745377825,11.630026341581555,9.04813113969889,9.069636222662714,8.641618077335124,13.571575032157996,6.94857478832925,12.732833197739838
2022-02-17 06:00:00,12.856813031292134,20.140065162097493,20.014108745377825,11.630026341581555,9.281760494099084,9.069636222662714,8.424101620875772,13.571575032157996,6.94857478832925,13.061604250429541
2022-02-17 07:00:00,12.856813031292134,19.951772571585256,19.826993740926248,11.521295422890036,9.194983876750435,8.98484278800279,8.503603124375877,13.444692273856631,6.94857478832925,12.93948928800193
2022-02-17 08:00:00,13.017464131278876,19.70554379937694,19.58230488895111,11.37910883690882,9.081506761756058,8.873959065755209,8.609859098734116,13.278768666847151,6.94857478832925,12.77980049098122
2022-02-17 09:00:00,13.051039020342607,19.654849640392875,19.531927772367997,11.349835128030328,9.058143826316034,8.851130064115997,8.632065809747806,13.244607924227548,6.94857478832925,12.746923385712243
2022-02-17 10:00:00,13.05584957656094,19.647607617680862,19.52473104142755,11.34565316961912,9.054806264110319,8.847868778167541,8.63524755166072,13.239727818139036,6.94857478832925,12.742226656388107
2022-02-17 11:00:00,13.02703931636992,19.691059753952914,19.567911427070218,11.370744920086398,9.074831637344625,8.867436493858294,8.616192205831382,13.269008454670125,6.94857478832925,12.770407032332944
2022-02-17 12:00:00,13.246267726705238,19.365168731912508,19.24405853475019,11.182556791581844,8.92464133808736,8.72067862617767,8.761191700693912,13.04940368068699,6.94857478832925,12.559054212746709
2022-02-17 13:00:00,13.356153808902643,19.205844232248303,19.085730454060396,11.09055370653517,8.851214969561585,8.648930335311585,8.833871269855024,12.942041346739675,6.94857478832925,12.455726167615659
