Date,OG,CKB,ASR,PSG,FUN,DCR,DENT,ZRX,ADA,SUSHI
2021-04-05 14:00:00,477.87830096288286,1360.3478514922772,308.03522786393154,414.98639215444683,794.3695239103216,1426.888115771714,1611.1669346845315,784.2796284559167,767.4763990924578,853.3992677149432
2021-04-05 15:00:00,470.2075423274564,1338.511957274036,308.03522786393154,408.32515550739834,781.6185434347966,1426.888115771714,1637.4508020512064,771.6906079449507,755.1570989611012,839.7007595610869
2021-04-05 16:00:00,470.6558334165396,1339.7880809621145,308.03522786393154,408.71444855819976,782.3637306054441,1425.5290308905685,1635.891160055391,772.426329922864,755.1570989611012,839.7007595610869
2021-04-05 17:00:00,468.21513748708577,1332.840296438129,308.03522786393154,406.59496417050264,778.3066004541408,1432.9599800941469,1644.4186778046158,768.4207324875568,755.1570989611012,839.7007595610869
2021-04-05 18:00:00,475.48741515443834,1353.5418584891893,308.03522786393154,412.91016255017206,790.3951923335347,1411.0437683726147,1619.2683397615115,780.3557779070444,755.1570989611012,839.7007595610869
2021-04-05 19:00:00,465.7744415576317,1325.8925119141427,308.03522786393154,404.47547978280517,774.249470302837,1440.4688068532757,1619.2683397615115,764.4151350522491,755.1570989611012,839.7007595610869
2021-04-05 20:00:00,463.4333658701963,1319.2283104319522,308.03522786393154,402.44250496195275,770.3579373005665,1447.745465701309,1619.2683397615115,764.4151350522491,755.1570989611012,839.7007595610869
2021-04-05 21:00:00,473.3455799510399,1347.444823090589,308.03522786393154,411.050206863009,786.8348536293295,1417.4285818041653,1619.2683397615115,764.4151350522491,755.1570989611012,839.7007595610869
2021-04-05 22:00:00,473.8436811611326,1348.862738299566,308.03522786393154,411.4827546972331,787.6628393744936,1415.9385906533143,1619.2683397615115,765.2195285438333,754.3632830261056,839.7007595610869
2021-04-05 23:00:00,466.2227326467151,1327.168635602222,308.03522786393154,404.86477283360676,774.9946574734847,1439.08374069284,1593.225234959292,752.9123081225985,766.6942213063401,839.7007595610869
2021-04-06 00:00:00,461.1919104247794,1312.8476919915568,308.03522786393154,404.86477283360676,774.9946574734847,1454.781705679337,1576.0333814624025,744.7879338576004,775.0575560457222,839.7007595610869
2021-04-06 01:00:00,458.9006448583532,1306.3252820302637,308.03522786393154,404.86477283360676,774.9946574734847,1462.0453503619865,1568.203428384611,741.0877237963141,778.927375602664,843.8933390617719
2021-04-06 02:00:00,466.1729225257059,1327.0268440813243,303.22989147455934,398.54889968116447,774.9946574734847,1439.237505383586,1593.055018588036,752.8318687734401,766.7761418343138,830.7286390400794
2021-04-06 03:00:00,473.04671922498443,1346.5940739652033,298.8236868811626,392.7576236828491,786.4220816353974,1418.3240826455701,1616.5448778214104,763.932498957299,755.6341909473878,818.6574005239657
2021-04-06 04:00:00,460.6439990936775,1311.2879852616823,306.8694371010382,403.332520773791,765.8030336910766,1456.5120904936184,1574.1610013785828,743.9031010168579,775.9794454398079,840.699538578731
2021-04-06 05:00:00,460.6439990936775,1311.2879852616823,302.03581889212444,396.9794755338462,778.0585320676206,1433.5700098855878,1599.3530243245202,743.9031010168579,763.7566955542086,827.4573576815777
2021-04-06 06:00:00,460.6439990936775,1311.2879852616823,306.14116011978444,402.37531306537426,778.0585320676206,1433.5700098855878,1577.9057615462218,743.9031010168579,774.1378545229067,838.7043508927837
2021-04-06 07:00:00,460.6439990936775,1311.2879852616823,315.29036266085996,414.40052795422935,801.3112534459328,1433.5700098855878,1532.1175576782684,743.9031010168579,797.2734042247907,863.769507029897
2021-04-06 08:00:00,450.38633889226503,1282.0881115946563,308.2694497404303,405.1726213465152,783.4675855167111,1401.64714957421,1567.0119137858164,743.9031010168579,779.5196514694052,844.535013336531
2021-04-06 09:00:00,482.74032318572506,1374.1882821446509,330.4143153231345,434.27862988893,839.7488173555529,1502.3359714728351,1461.9884127206578,797.342175801746,835.5172792440732,905.2030891577723
2021-04-06 10:00:00,466.2906697978174,1327.3620282659024,319.1552580196133,419.4803364952788,811.1338947668514,1451.1430115812166,1513.5639732113275,770.1722838462881,807.0465487435159,874.3577747161611
2021-04-06 11:00:00,467.55262018969233,1330.9543476928739,320.0190070264323,420.6156012760509,813.3291150503882,1455.070326903493,1509.4787803011754,772.2566472667111,809.2307071974902,876.7241015760153
2021-04-06 12:00:00,475.5426810233045,1353.6991805643313,325.4878488714763,427.803549961695,813.3291150503882,1479.9361921069133,1484.1165409839816,785.4538304806966,823.0597444004293,891.7065412061136
2021-04-06 13:00:00,481.89872569063124,1371.792556408694,329.8382792085543,433.5215193068362,813.3291150503882,1499.7168362366547,1464.5416582895032,795.9521092470006,834.0606591617088,903.6249805644006
2021-04-06 14:00:00,471.4333866790439,1342.0014957749179,322.6752193644571,424.1067825032425,813.3291150503882,1467.1476587811453,1497.0529851994634,778.6665091485153,815.9474600826994,884.0010611456626
2021-04-06 15:00:00,472.1850171782476,1342.0014957749179,322.6752193644571,424.7829577628994,812.0344467603702,1467.1476587811453,1494.6699560018742,779.9079772191317,817.248367091145,885.4104695110017
2021-04-06 16:00:00,465.8715321171002,1342.0014957749179,322.6752193644571,419.1032755186538,823.0391272255206,1467.1476587811453,1514.9257041813785,769.479994152943,806.3211136435217,873.5718351433825
2021-04-06 17:00:00,467.92197673425034,1342.0014957749179,322.6752193644571,420.94787858210356,819.4325512747569,1467.1476587811453,1508.2872657023809,772.8667134591124,809.8699821044288,877.4166948173012
2021-04-06 18:00:00,471.00495692856884,1342.0014957749179,322.6752193644571,423.7213622760444,814.0689255018267,1467.1476587811453,1498.414716169514,777.9588717438594,815.2059424545431,883.1976976912534
2021-04-06 19:00:00,480.2243034331933,1342.0014957749179,322.6752193644571,432.01519019180193,798.4404297151849,1467.1476587811453,1469.6481494271936,793.1864660599018,831.1626026670538,900.4852134324881
2021-04-06 20:00:00,475.48814631217795,1342.0014957749179,322.6752193644571,427.7544899215618,806.3933920681505,1467.1476587811453,1484.286757355238,785.3637555001369,822.9653568150623,891.6042812816632
2021-04-06 21:00:00,479.00377031448596,1342.0014957749179,325.06098808434217,430.9171848562868,800.4749084566413,1467.1476587811453,1473.3929095948329,791.1705115481969,829.0501283996466,898.1965495351319
2021-04-06 22:00:00,479.00377031448596,1342.0014957749179,325.06098808434217,430.9171848562868,800.4749084566413,1467.1476587811453,1473.3929095948329,791.1705115481969,829.0501283996466,898.1965495351319
2021-04-06 23:00:00,466.6055183257024,1342.0014957749179,316.64730056921746,419.7635777758293,821.744458935503,1467.1476587811453,1473.3929095948329,770.6923191493579,807.5914822673129,874.9481580886905
2021-04-07 00:00:00,475.5426810233045,1342.0014957749179,322.7122276474443,427.803549961695,806.3009157617207,1439.574660917489,1445.7025409360058,785.4538304806966,823.0597444004293,874.9481580886905
2021-04-07 01:00:00,472.88510901484847,1342.0014957749179,320.90874918545467,425.4127682614072,810.8322547767825,1447.6649417277833,1453.8272598838053,781.0643188824355,818.4600720149798,874.9481580886905
2021-04-07 02:00:00,479.00377031448596,1342.0014957749179,325.06098808434217,430.9171848562868,800.4749084566413,1429.1728713042535,1435.2564737174068,791.1705115481969,829.0501283996466,874.9481580886905
2021-04-07 03:00:00,492.8978406849967,1342.0014957749179,334.48976615050725,443.41644699429617,777.9106896877615,1388.8865750244197,1394.79868956918,814.1193471185444,853.0977070170404,874.9481580886905
2021-04-07 04:00:00,480.9484556132923,1342.0014957749179,326.38068818676106,432.66664564621504,797.2382377315968,1423.3940992968999,1429.4531030404064,794.3825481917638,832.415950751345,874.9481580886905
2021-04-07 05:00:00,496.5576809391846,1342.0014957749179,336.97340273749296,446.7088804929364,772.177158689112,1378.6498931828228,1384.518432941352,820.1643051450532,859.4320852008794,874.9481580886905
2021-04-07 06:00:00,494.4849893669878,1342.0014957749179,335.5668351649454,444.8442638182492,775.413829414156,1378.6498931828228,1390.3218036183514,816.7408405439709,855.8447121559147,874.9481580886905
2021-04-07 07:00:00,510.3713239589107,1342.0014957749179,346.34760128730494,459.13578928065215,751.2775134359698,1378.6498931828228,1347.0452394270117,842.980298862776,883.3404617709676,874.9481580886905
2021-04-07 08:00:00,504.1041502543698,1342.0014957749179,342.09457907088955,453.4977692542272,760.6176203853828,1378.6498931828228,1347.0452394270117,832.6288082627591,872.4933630914703,874.9481580886905
2021-04-07 09:00:00,530.4153301576298,1275.4316951334386,359.949841736992,477.1676029315619,722.8872873620106,1378.6498931828228,1347.0452394270117,832.6288082627591,872.4933630914703,874.9481580886905
2021-04-07 10:00:00,542.1360664019601,1247.8574394755713,367.90375429629523,487.7117092201907,707.2587915753687,1378.6498931828228,1347.0452394270117,832.6288082627591,872.4933630914703,874.9481580886905
2021-04-07 11:00:00,537.4976193728535,1258.6260836969866,364.7560167044421,483.538910048745,713.3622277997376,1378.6498931828228,1347.0452394270117,832.6288082627591,872.4933630914703,874.9481580886905
2021-04-07 12:00:00,522.4617736696309,1294.8478869872035,354.5524083742523,470.01249396623217,733.8919678271609,1378.6498931828228,1347.0452394270117,832.6288082627591,872.4933630914703,874.9481580886905
2021-04-07 13:00:00,509.1804784283669,1328.6222711361893,345.5394710620246,458.0644912337,753.0345632581365,1378.6498931828228,1347.0452394270117,832.6288082627591,872.4933630914703,874.9481580886905
2021-04-07 14:00:00,509.1804784283669,1264.1735670837768,363.1553836936069,481.4170304744475,716.5064222183521,1378.6498931828228,1347.0452394270117,832.6288082627591,830.1705240369288,832.5062420325646
