week_start,coin_top_1,coin_top_1_count,coin_top_2,coin_top_2_count,coin_top_3,coin_top_3_count,coin_top_4,coin_top_4_count,coin_top_5,coin_top_5_count,coin_top_6,coin_top_6_count,coin_top_7,coin_top_7_count,coin_top_8,coin_top_8_count,coin_top_9,coin_top_9_count,coin_top_10,coin_top_10_count,total_trades_week,active_coins_week
2024-01-08,RUNE,1704,TIA,1390,FXS,1360,BEAMX,1209,OP,964,CYBER,948,GNS,874,ORDI,768,MEME,619,NTRN,447,21965,214
2024-01-15,RUNE,1341,TIA,1321,FXS,1048,BEAMX,970,CYBER,826,GNS,584,OP,546,ORDI,543,MEME,539,VANRY,414,17545,214
2024-01-22,RUNE,1252,FXS,1168,TIA,1070,BEAMX,861,OP,702,ORDI,618,CYBER,602,GNS,594,ARK,381,WLD,380,16825,214
2024-01-29,TIA,1577,RUNE,1263,FXS,1151,BEAMX,832,GNS,813,OP,791,CYBER,687,ORDI,643,WLD,436,MEME,432,18197,214
2024-02-05,RUNE,1676,TIA,1332,BEAMX,1274,CYBER,1155,FXS,1010,OP,974,ORDI,795,GNS,752,MEME,601,WLD,578,22004,214
2024-02-12,RUNE,2033,BEAMX,2000,CYBER,1400,TIA,1399,OP,1096,FXS,1087,GNS,1011,MEME,904,ORDI,825,WLD,644,26888,214
2024-02-19,BEAMX,1656,RUNE,1395,TIA,1316,CYBER,1255,OP,1123,FXS,1116,MEME,842,GNS,829,ORDI,804,WLD,679,23631,214
2024-02-26,BEAMX,1681,RUNE,1666,TIA,1528,FXS,1268,CYBER,1219,OP,1144,ORDI,1131,MEME,1000,GNS,761,WLD,675,26618,214
2024-03-04,RUNE,1757,TIA,1696,BEAMX,1618,FXS,1217,CYBER,1064,MEME,1005,OP,918,GNS,820,ORDI,783,WLD,572,25200,214
2024-03-11,RUNE,1715,TIA,1335,BEAMX,964,CYBER,928,FXS,911,OP,811,ORDI,695,GNS,654,WLD,556,MEME,538,20777,214
2024-03-18,RUNE,1087,CYBER,893,TIA,845,OP,828,BEAMX,707,FXS,607,GNS,562,ORDI,467,WLD,351,MEME,295,14444,213
2024-03-25,RUNE,1437,TIA,1168,CYBER,1071,BEAMX,939,OP,840,FXS,794,ORDI,752,GNS,597,MEME,554,WLD,416,18967,214
2024-04-01,RUNE,1248,CYBER,1114,FXS,811,BEAMX,809,TIA,688,ORDI,683,OP,678,GNS,671,PENDLE,429,MEME,421,16219,213
2024-04-08,RUNE,1501,BEAMX,1328,TIA,1213,CYBER,1009,FXS,988,OP,908,ORDI,814,MEME,709,GNS,631,GMX,424,20602,214
2024-04-15,TIA,1375,BEAMX,1146,RUNE,1031,GNS,587,WLD,449,FXS,437,OP,396,ORDI,323,CYBER,310,MEME,305,12864,211
2024-04-22,RUNE,1045,TIA,932,BEAMX,859,OP,604,CYBER,593,FXS,553,ARK,489,GNS,473,MEME,440,ORDI,378,14343,214
2024-04-29,TIA,1141,RUNE,1117,OP,975,CYBER,794,BEAMX,766,FXS,689,ORDI,529,WLD,453,GNS,451,MEME,349,16070,214
2024-05-06,RUNE,1413,TIA,937,FXS,853,BEAMX,735,CYBER,719,GNS,674,OP,564,ORDI,500,MEME,402,JTO,399,16237,214
2024-05-13,TIA,1303,RUNE,1238,BEAMX,1193,CYBER,843,FXS,813,GNS,782,MEME,742,ORDI,741,OP,724,GMX,515,19914,214
2024-05-20,BEAMX,1321,RUNE,1259,TIA,1206,CYBER,1119,OP,1038,FXS,912,ORDI,697,GNS,680,MEME,673,WLD,486,20650,214
2024-05-27,TIA,1777,BEAMX,1354,RUNE,1328,FXS,1143,CYBER,1136,ORDI,823,GNS,806,OP,747,MEME,623,GMX,582,21723,214
2024-06-03,RUNE,1449,TIA,1213,FXS,1145,CYBER,979,BEAMX,967,GNS,922,OP,785,ORDI,722,MEME,619,GMX,618,21262,214
2024-06-10,RUNE,1290,TIA,1169,FXS,934,BEAMX,896,GNS,785,OP,748,ORDI,729,CYBER,687,ARK,586,MEME,443,18399,214
2024-06-17,RUNE,1132,TIA,945,FXS,940,ORDI,709,CYBER,687,BEAMX,680,OP,669,MEME,566,GNS,515,WLD,447,16828,214
2024-06-24,RUNE,1250,TIA,1060,BEAMX,1046,FXS,893,OP,755,CYBER,735,ORDI,685,MEME,632,GNS,632,WLD,419,18092,214
2024-07-01,TIA,1348,RUNE,1295,BEAMX,956,CYBER,921,FXS,797,OP,778,GNS,754,ORDI,633,MEME,566,WLD,565,19005,214
2024-07-08,TIA,1508,RUNE,1207,OP,921,BEAMX,919,FXS,810,GNS,712,ORDI,659,CYBER,644,WLD,416,MEME,390,17466,214
2024-07-15,TIA,1703,RUNE,1583,BEAMX,1525,FXS,1421,CYBER,1129,OP,915,ORDI,845,GNS,790,MEME,662,IOTX,516,23524,214
2024-07-22,RUNE,1531,BEAMX,993,FXS,987,CYBER,906,GNS,838,ORDI,838,TIA,790,OP,778,MEME,595,WLD,519,19596,214
2024-07-29,FXS,1551,TIA,1495,RUNE,1232,BEAMX,1093,ORDI,685,CYBER,683,OP,653,GNS,645,MEME,570,GMX,496,20719,214
2024-08-05,TIA,1297,RUNE,940,BEAMX,874,OP,758,FXS,706,CYBER,634,MEME,520,GNS,513,ORDI,497,WLD,340,15835,214
2024-08-12,RUNE,1603,TIA,1334,FXS,870,OP,749,ORDI,725,BEAMX,662,CYBER,661,GNS,517,MEME,406,GMX,373,17136,214
2024-08-19,RUNE,1454,TIA,1284,BEAMX,1247,CYBER,1003,OP,924,FXS,922,ORDI,841,GNS,815,MEME,642,WLD,548,22227,214
2024-08-26,RUNE,1448,TIA,1093,BEAMX,932,CYBER,832,FXS,780,OP,763,ORDI,576,GNS,539,GMX,423,WLD,422,17393,214
2024-09-02,RUNE,1214,TIA,986,OP,792,FXS,788,ORDI,645,BEAMX,584,GNS,541,CYBER,446,MEME,360,WLD,328,15035,214
2024-09-09,RUNE,1360,TIA,1266,BEAMX,1146,FXS,887,CYBER,810,ORDI,758,OP,716,MEME,564,GNS,547,WLD,463,18534,214
2024-09-16,RUNE,1748,TIA,1535,BEAMX,1397,FXS,1171,CYBER,1063,OP,924,ORDI,872,GNS,707,MEME,665,ARK,518,23126,214
2024-09-23,RUNE,1704,TIA,1523,BEAMX,1337,FXS,1117,CYBER,1085,OP,869,ORDI,781,GNS,775,MEME,775,WLD,590,23389,214
2024-09-30,TIA,1318,RUNE,1298,FXS,974,BEAMX,895,OP,747,CYBER,694,GNS,661,ORDI,622,ARK,584,MEME,501,18326,214
2024-10-07,RUNE,1991,TIA,1381,FXS,885,BEAMX,873,CYBER,784,OP,692,ARK,620,GNS,603,ORDI,532,MEME,498,18861,213
2024-10-14,RUNE,1477,TIA,1371,BEAMX,1368,FXS,953,OP,883,CYBER,855,MEME,795,GNS,763,ORDI,682,WLD,585,21688,214
2024-10-21,TIA,1570,RUNE,1507,BEAMX,1423,OP,884,CYBER,838,GNS,733,FXS,707,MEME,648,ORDI,570,ARK,443,20111,213
2024-10-28,RUNE,1711,TIA,1213,OP,942,BEAMX,923,FXS,809,CYBER,784,GNS,688,MEME,657,ORDI,637,GMX,420,18663,214
2024-11-04,TIA,1345,RUNE,1303,BEAMX,1117,OP,1068,FXS,1055,CYBER,1043,ORDI,741,GNS,691,WLD,569,ARK,552,21539,214
