Date,BNB,DOT,NEO,COTI,SUSHI,EGLD,FLM,BNT,DASH,AVA
2022-07-01 08:00:00,2639.0398494050487,1061.6378184220584,1034.623371330928,1083.1344211149813,1010.4757397104312,703.5900915058178,581.4858984076063,620.8569281170293,683.9797686465439,707.8665851284139
2022-07-01 09:00:00,2707.2004812771,1061.6378184220584,1034.623371330928,1083.1344211149813,1010.4757397104312,721.7622859221934,581.4858984076063,620.8569281170293,683.9797686465439,726.1492320290816
2022-07-01 10:00:00,2703.6195282595377,1061.6378184220584,1034.623371330928,1083.1344211149813,1010.4757397104312,720.8075739037777,581.4858984076063,620.8569281170293,683.9797686465439,725.1887171719004
2022-07-01 11:00:00,2698.26582622338,1061.6378184220584,1034.623371330928,1080.9896004791099,1010.4757397104312,719.3802321732752,581.4858984076063,620.8569281170293,683.9797686465439,723.7526999101738
2022-07-01 12:00:00,2673.5596643089734,1061.6378184220584,1034.623371330928,1071.0917231692947,1010.4757397104312,712.7933628139383,581.4858984076063,620.8569281170293,683.9797686465439,717.125794875025
2022-07-01 13:00:00,2725.248484485614,1061.6378184220584,1034.623371330928,1091.799496483901,1010.4757397104312,726.5740344950079,581.4858984076063,632.8601620606253,697.2033775070438,730.9902269092755
2022-07-01 14:00:00,2721.6196582745815,1061.6378184220584,1034.623371330928,1090.345702214282,1009.1302327334532,725.6065590828974,580.7116162526028,632.0174720978282,696.2750108259426,730.0168710811673
2022-07-01 15:00:00,2708.9945173813257,1061.6378184220584,1034.623371330928,1085.2877698647128,1004.4490454378043,722.2405909493119,578.0177916576602,629.0856481715956,693.0451068658487,726.6304442438126
2022-07-01 16:00:00,2680.572279821916,1061.6378184220584,1034.623371330928,1073.9011440825257,993.9105636496046,714.6629847491882,571.9533426960063,622.485405305533,685.7738139413547,719.0067805665005
2022-07-01 17:00:00,2708.9945173813257,1061.6378184220584,1034.623371330928,1085.2877698647128,1004.4490454378043,722.2405909493119,578.0177916576602,629.0856481715956,693.0451068658487,726.6304442438126
2022-07-01 18:00:00,2705.408819807029,1061.6378184220584,1033.2539161736402,1083.8512539548985,1003.1195298250475,721.284613992397,577.2527118540102,628.2529735876492,692.1277738322738,725.6686567597044
2022-07-01 19:00:00,2705.408819807029,1061.6378184220584,1033.2539161736402,1083.8512539548985,1003.1195298250475,721.284613992397,577.2527118540102,628.2529735876492,692.1277738322738,725.6686567597044
2022-07-01 20:00:00,2728.887000486263,1070.8509637087654,1042.2207392111952,1093.257172714187,1011.8248394964266,727.5440932860561,582.2622480717021,633.7051021968879,698.1342231378944,731.9661818183669
2022-07-01 21:00:00,2734.3630279119875,1072.9998285188833,1044.3121520657996,1095.4509998166234,1013.8552572345465,729.0040479883023,583.4306672986017,634.9767512313966,699.5351613783048,733.4350102768652
2022-07-01 22:00:00,2754.631217471982,1080.9533312909234,1052.053010335829,1103.5709196265846,1021.3703568501664,734.4077168076225,587.75528814785,639.6834522176131,704.7203950542895,738.8715231562758
2022-07-01 23:00:00,2805.6779181389306,1100.9847245269257,1071.5488451189915,1124.021444561326,1040.2976043690096,748.0171940580042,598.647115725058,651.5375724714743,717.7797297601687,752.5637202223153
2022-07-02 00:00:00,2780.865800495525,1091.2481249222656,1062.0725628152181,1114.0811188611237,1031.097693582073,741.4020760153143,593.3529575587819,645.7756755720666,711.4320178643304,745.9083948053833
2022-07-02 01:00:00,2807.6048947310583,1101.7408953542106,1072.2847989961335,1124.7934373117112,1041.0120944819002,748.530942130846,599.0582744583855,651.9850570679519,718.272710343795,753.080590909281
2022-07-02 02:00:00,2828.977665556001,1110.1278502669416,1080.4475206493912,1133.3558787030115,1048.9367540246692,754.2291015519115,603.6185796618752,656.9482651148361,723.7405302841286,758.8133843348882
2022-07-02 03:00:00,2828.977665556001,1110.1278502669416,1080.4475206493912,1133.3558787030115,1048.9367540246692,754.2291015519115,603.6185796618752,656.9482651148361,723.7405302841286,758.8133843348882
2022-07-02 04:00:00,2817.279618696362,1105.5373836221436,1075.9797845198968,1128.6693623196772,1044.5993174125754,751.1103044400495,601.1225689947687,654.2317319717008,720.7478058308516,755.6756308503883
2022-07-02 05:00:00,2815.339343476874,1104.775994239484,1075.238751610448,1127.892041822212,1043.8798963950737,750.5930108419504,600.7085727351306,653.7811591535386,720.2514230444667,755.1551930880946
2022-07-02 06:00:00,2807.6048947310583,1101.7408953542106,1072.2847989961335,1124.7934373117112,1041.0120944819002,748.530942130846,599.0582744583855,651.9850570679519,718.272710343795,753.080590909281
