reference_coin,trading_coin,trading_type,sharpe_ratio,total_cumulative_return,num_trades
ALGO,AAVE,both,3.751623,1.495984,67
ANKR,AAVE,both,2.657621,0.976713,68
AVAX,AAVE,both,2.795074,0.705530,62
BEL,AAVE,both,2.492706,0.577508,79
BNB,AAVE,both,2.187190,1.002778,60
BNT,AAVE,both,3.656339,1.247624,62
BTC,AAVE,both,3.842868,1.677838,60
COMP,AAVE,both,5.302912,2.808013,67
DASH,AAVE,both,3.510135,1.969317,53
DATA,AAVE,both,3.087518,1.123003,77
DIA,AAVE,both,2.267692,0.500879,72
DOGE,AAVE,both,2.467229,0.655928,71
DOT,AAVE,both,2.218918,0.635066,67
DUSK,AAVE,both,4.055941,1.601696,80
ENJ,AAVE,both,3.543130,1.355313,68
ETC,AAVE,both,3.602710,1.303862,67
ETH,AAVE,both,3.199468,0.892345,63
FET,AAVE,both,2.531215,0.617998,71
FIL,AAVE,both,3.118995,0.977565,73
FLM,AAVE,both,3.745224,1.355137,69
FTT,AAVE,both,3.676472,2.031494,61
HIVE,AAVE,both,3.343699,1.172777,77
IOST,AAVE,both,2.607368,0.648759,72
IOTA,AAVE,both,4.496697,1.602695,70
IOTX,AAVE,both,2.870979,1.198178,67
JST,AAVE,both,4.903910,3.046852,71
KNC,AAVE,both,3.600502,1.160470,74
LRC,AAVE,both,2.133190,0.522216,72
LSK,AAVE,both,2.919282,0.779005,81
LUNA,AAVE,both,4.678744,2.104254,111
MBL,AAVE,both,3.094422,0.955173,80
MKR,AAVE,both,2.127780,0.865739,66
NEO,AAVE,both,2.620446,0.705008,66
NMR,AAVE,both,2.489655,0.935662,77
OGN,AAVE,both,3.735822,1.492785,70
ONE,AAVE,both,3.128372,0.991392,77
ONT,AAVE,both,2.982277,0.863315,64
OXT,AAVE,both,2.978331,0.764166,80
QTUM,AAVE,both,4.129981,1.820150,59
ROSE,AAVE,both,2.153434,0.178443,43
RSR,AAVE,both,2.555404,0.680647,64
RVN,AAVE,both,2.628109,1.173442,70
SAND,AAVE,both,3.374700,1.312325,69
SC,AAVE,both,2.031751,0.452412,83
SOL,AAVE,both,2.203025,0.550621,61
STORJ,AAVE,both,5.002637,1.691899,67
SUN,AAVE,both,2.566849,0.796756,69
TFUEL,AAVE,both,4.840492,2.526195,87
THETA,AAVE,both,5.930511,2.803779,66
TRB,AAVE,both,3.519623,1.185490,68
TRX,AAVE,both,4.592351,2.598163,56
UMA,AAVE,both,3.887834,1.779934,68
UNI,AAVE,both,2.125848,0.446281,61
UTK,AAVE,both,2.353632,0.592286,75
WAN,AAVE,both,2.496248,0.683546,74
WIN,AAVE,both,2.813804,1.027161,67
XRP,AAVE,both,3.859895,1.588102,63
XTZ,AAVE,both,4.050878,1.154189,71
XVS,AAVE,both,2.600368,0.740177,82
ZEC,AAVE,both,2.551211,0.604244,61
ZIL,AAVE,both,2.160283,0.529999,74
AAVE,ADA,both,3.205407,0.699442,64
BEL,ADA,both,4.763366,2.475711,93
COMP,ADA,both,2.574553,1.839641,156
CTK,ADA,both,2.893140,0.451602,52
FIO,ADA,both,2.290687,0.714784,110
FLM,ADA,both,2.080189,0.554549,73
INJ,ADA,both,3.754331,0.835826,76
JST,ADA,both,2.300520,0.960795,114
JUV,ADA,both,4.920696,0.037052,2
RUNE,ADA,both,2.521580,0.738366,110
SAND,ADA,both,2.440550,0.849620,127
SUSHI,ADA,both,2.267980,0.717513,89
UMA,ADA,both,2.006327,0.572078,98
UNI,ADA,both,2.090849,0.500079,82
UTK,ADA,both,2.599778,0.608638,90
XVS,ADA,both,6.056161,2.240138,69
BEL,ALGO,both,2.395558,0.591704,92
JUV,ALGO,both,2.370583,0.032281,5
PSG,ALGO,both,2.370583,0.032281,5
XVS,ALGO,both,3.675949,1.111009,86
JUV,ANKR,both,9.961370,0.049757,2
PSG,ANKR,both,5.504229,0.022063,2
UTK,ANKR,both,2.774564,0.760261,84
JUV,ARDR,both,22.004914,0.232192,2
PSG,ARDR,both,25.156295,0.253413,2
FIL,ARPA,both,3.021396,0.898218,71
GRT,ARPA,both,2.370235,0.061040,6
JUV,ARPA,both,3.413163,0.040974,6
PSG,ARPA,both,15.649539,0.304190,3
UTK,ARPA,both,2.041139,0.514004,101
XVS,ARPA,both,2.767415,0.816808,85
AVA,ATOM,both,4.101034,0.286518,32
JST,ATOM,both,2.756578,1.527596,107
SKL,ATOM,both,4.188018,0.192494,16
ARDR,AUDIO,both,2.378079,0.608734,71
AVA,AUDIO,both,2.790892,0.304715,37
BEL,AUDIO,both,3.962454,1.606625,64
CHZ,AUDIO,both,3.628549,1.347940,64
DENT,AUDIO,both,2.729817,0.770849,71
EUR,AUDIO,both,2.569936,0.649951,74
FET,AUDIO,both,2.478814,0.601447,69
FIO,AUDIO,both,2.466736,0.613096,65
LRC,AUDIO,both,2.253130,0.572516,68
NKN,AUDIO,both,3.797162,1.403601,84
NMR,AUDIO,both,4.160786,1.537519,73
OGN,AUDIO,both,2.868813,0.723157,64
TUSD,AUDIO,both,2.160637,0.468700,70
USDC,AUDIO,both,2.459563,0.625451,69
FET,AVA,both,2.350261,0.114246,31
