trading_coin,reference_coin,trade_type,time_entered,time_exited,log_return
RUNE,HOT,short,2024-03-05 20:00:00,2024-03-06 11:00:00,-0.0916567310641633
RUNE,HOT,short,2024-03-06 22:00:00,2024-03-07 02:00:00,-0.0260582745120136
RUNE,HOT,long,2024-03-07 08:00:00,2024-03-08 21:00:00,0.2373058651267141
RUNE,HOT,short,2024-03-08 21:00:00,2024-03-09 10:00:00,-0.0245571020542198
RUNE,HOT,long,2024-03-09 12:00:00,2024-03-11 02:00:00,0.1043016141690752
RUNE,HOT,long,2024-03-11 04:00:00,2024-03-12 19:00:00,0.1113040695586742
RUNE,HOT,long,2024-03-12 21:00:00,2024-03-13 11:00:00,0.1142195476389691
RUNE,HOT,short,2024-03-13 11:00:00,2024-03-14 01:00:00,0.0381463459248641
RUNE,HOT,long,2024-03-14 02:00:00,2024-03-14 06:00:00,-0.0409578856263912
RUNE,HOT,short,2024-03-14 15:00:00,2024-03-14 21:00:00,-0.0224374695217942
RUNE,HOT,short,2024-03-15 20:00:00,2024-03-16 09:00:00,-0.0615393833462281
RUNE,HOT,short,2024-03-16 19:00:00,2024-03-17 00:00:00,-0.0079574393080154
RUNE,HOT,long,2024-03-17 15:00:00,2024-03-18 13:00:00,-0.051803489399893
RUNE,HOT,long,2024-03-20 17:00:00,2024-03-21 06:00:00,0.0657323212215861
RUNE,HOT,short,2024-03-23 17:00:00,2024-03-24 07:00:00,0.0184598352821001
RUNE,HOT,long,2024-03-25 15:00:00,2024-03-26 01:00:00,-0.0053801941474725
RUNE,HOT,long,2024-03-26 10:00:00,2024-03-27 11:00:00,-0.023946352570638
RUNE,HOT,short,2024-03-27 17:00:00,2024-03-28 05:00:00,-0.0039560491154902
RUNE,HOT,long,2024-03-28 08:00:00,2024-03-28 23:00:00,-0.0214328191413524
RUNE,HOT,short,2024-03-29 01:00:00,2024-03-30 08:00:00,0.0530368244763792
RUNE,HOT,short,2024-03-30 18:00:00,2024-03-30 22:00:00,0.0078357280888215
RUNE,HOT,long,2024-04-01 11:00:00,2024-04-01 13:00:00,0.0019240025175221
RUNE,HOT,short,2024-04-05 05:00:00,2024-04-05 17:00:00,-0.0303699053252113
RUNE,HOT,short,2024-04-07 12:00:00,2024-04-08 07:00:00,0.0015904575917238
RUNE,HOT,long,2024-04-08 08:00:00,2024-04-08 10:00:00,-0.0057814768864214
RUNE,HOT,short,2024-04-08 20:00:00,2024-04-09 09:00:00,0.019080557953917
RUNE,HOT,long,2024-04-10 18:00:00,2024-04-11 06:00:00,0.0133335308694651
RUNE,HOT,short,2024-04-11 12:00:00,2024-04-11 23:00:00,-0.0036267301574184
RUNE,HOT,long,2024-04-12 18:00:00,2024-04-12 20:00:00,0.0248534516627615
RUNE,HOT,short,2024-04-13 06:00:00,2024-04-13 19:00:00,0.1480455830837546
RUNE,HOT,long,2024-04-13 20:00:00,2024-04-14 09:00:00,0.1291655267070449
RUNE,HOT,long,2024-04-15 01:00:00,2024-04-15 10:00:00,0.0427072199084343
RUNE,HOT,short,2024-04-17 18:00:00,2024-04-18 16:00:00,0.0047693195639746
RUNE,HOT,long,2024-04-19 06:00:00,2024-04-20 06:00:00,0.0551365641376596
RUNE,HOT,short,2024-04-20 19:00:00,2024-04-21 06:00:00,-0.0346855579878899
RUNE,HOT,short,2024-04-22 20:00:00,2024-04-23 14:00:00,-0.002981673698974
RUNE,HOT,short,2024-04-23 17:00:00,2024-04-23 22:00:00,0.0122614953592634
RUNE,HOT,long,2024-04-26 17:00:00,2024-04-26 21:00:00,-0.0020338363301807
RUNE,HOT,short,2024-04-27 03:00:00,2024-04-28 01:00:00,-0.0225077409927364
RUNE,HOT,long,2024-04-30 00:00:00,2024-04-30 08:00:00,-0.0711446558146885
RUNE,HOT,long,2024-05-01 11:00:00,2024-05-01 16:00:00,-0.0257615597792765
RUNE,HOT,long,2024-05-03 13:00:00,2024-05-04 11:00:00,0.0264966295868506
RUNE,HOT,long,2024-05-06 07:00:00,2024-05-07 11:00:00,-0.0332306103705332
RUNE,HOT,long,2024-05-08 00:00:00,2024-05-10 17:00:00,0.1082374143057845
RUNE,HOT,short,2024-05-11 07:00:00,2024-05-11 21:00:00,0.0053086861552958
RUNE,HOT,long,2024-05-12 00:00:00,2024-05-13 08:00:00,0.0212222853275926
RUNE,HOT,short,2024-05-13 08:00:00,2024-05-14 14:00:00,0.0762470104024712
RUNE,HOT,long,2024-05-15 12:00:00,2024-05-17 17:00:00,0.1298642933181007
RUNE,HOT,short,2024-05-18 03:00:00,2024-05-18 12:00:00,0.0088326792404836
RUNE,HOT,long,2024-05-18 19:00:00,2024-05-19 02:00:00,-0.0096435580785177
RUNE,HOT,long,2024-05-19 13:00:00,2024-05-20 17:00:00,0.0308121038332246
