trading_coin,reference_coin,trade_type,profit_factor,profit_factor_quantile,total_cumulative_return,max_drawdown,last_year_drawdown,num_trades,sharpe_ratio,drawdown_quantile,passes_filter_1_drawdown,passes_filter_2_return,passes_filter_3_trades,passes_filter_4_statistical,passes_filter_5_2022,passes_all_filters
FLM,EOS,short,1.4513,0.0000,3.3741,-0.4234,-0.2141,226,1.5305,0.0000,True,False,True,True,True,False
NEAR,ZRX,long,1.4513,0.0000,4.6615,-0.6113,-0.3355,290,1.2187,0.0000,True,True,True,True,False,False
FLM,NEO,short,1.4512,0.0000,2.3878,-0.5074,-0.1935,189,1.3633,0.0000,True,False,False,True,True,False
FIL,XTZ,short,1.4511,0.0000,2.6006,-0.5774,-0.2217,253,1.3028,0.0000,True,False,True,True,True,False
COMP,NEO,short,1.4507,0.0000,3.0670,-0.2619,-0.2615,261,1.6077,0.0000,True,False,True,True,True,False
FLM,AXS,short,1.4505,0.0000,3.9368,-0.5747,-0.3019,261,1.4138,0.0000,True,False,True,True,False,False
AAVE,XTZ,short,1.4493,0.0000,3.1533,-0.3901,-0.2398,237,1.7037,0.0000,True,False,True,True,True,False
RUNE,JUV,both,1.4493,0.0000,70.2986,-0.5960,-0.3921,704,1.3240,0.0000,True,True,True,True,False,False
BNB,THETA,long,1.4491,0.0000,4.2932,-0.5647,-0.3971,434,1.0695,0.0000,True,True,True,True,False,False
BTC,COS,long,1.4486,0.0000,3.2932,-0.3445,-0.3445,444,1.7549,0.0000,True,False,True,True,False,False
ETH,YFI,long,1.4482,0.0000,1.6945,-0.2623,-0.2623,225,1.6958,0.0000,True,False,True,True,True,False
CHR,ZRX,short,1.4482,0.0000,5.2507,-0.6530,-0.3318,277,1.3651,0.0000,True,True,True,True,False,False
RUNE,RLC,short,1.4481,0.0000,6.2555,-0.4185,-0.3459,319,1.6209,0.0000,True,True,True,True,False,False
ETH,HBAR,long,1.4479,0.0000,4.8705,-0.3770,-0.3458,409,1.6223,0.0000,True,True,True,True,False,False
FIL,OGN,short,1.4475,0.0000,2.3444,-0.2888,-0.1993,252,1.4883,0.0000,True,False,True,True,True,False
RUNE,ONT,both,1.4465,0.0000,37.3768,-0.5392,-0.2824,524,1.4829,0.0000,True,True,True,True,True,True
BAL,XTZ,short,1.4463,0.0000,3.1063,-0.4771,-0.2117,243,1.6703,0.0000,True,False,True,True,True,False
OGN,AVA,short,1.4446,0.0000,6.4432,-0.6887,-0.2895,342,1.5030,0.2000,True,True,True,True,True,True
RLC,1INCH,short,1.4431,0.0000,3.7867,-0.4787,-0.2898,284,1.2135,0.0000,True,False,True,True,True,False
MKR,UTK,long,1.4424,0.0000,3.3051,-0.4827,-0.2412,300,1.2190,0.0000,True,False,True,True,True,False
AVAX,ZEC,long,1.4422,0.0000,4.0755,-0.6212,-0.3714,278,1.1519,0.0000,True,True,True,True,False,False
CTXC,INJ,short,1.4418,0.0000,4.5949,-0.4876,-0.3110,323,1.2897,0.0000,True,True,True,True,False,False
ADA,BAT,long,1.4417,0.0000,5.6907,-0.3636,-0.3485,377,1.3078,0.0000,True,True,True,True,False,False
BNB,AVA,short,1.4413,0.0000,2.2303,-0.2608,-0.2287,323,1.5121,0.0000,True,False,True,True,True,False
BAL,CKB,short,1.4410,0.0000,3.5654,-0.3582,-0.3582,309,1.5827,0.0000,True,False,True,True,False,False
RUNE,BAL,long,1.4410,0.0000,5.5259,-0.5970,-0.3508,275,1.3823,0.0000,True,True,True,True,False,False
FIL,ZEC,short,1.4409,0.0000,3.2427,-0.4103,-0.2003,293,1.6817,0.0000,True,False,True,True,True,False
LINK,AXS,short,1.4403,0.0000,3.3318,-0.4150,-0.3251,251,1.5772,0.0000,True,False,True,True,False,False
MKR,XTZ,long,1.4397,0.0000,2.5700,-0.3802,-0.3802,272,1.0977,0.0000,True,False,True,True,False,False
CRV,FUN,short,1.4394,0.0000,5.1746,-0.5451,-0.1751,318,1.3910,0.0000,True,True,True,True,True,True
IOTX,KNC,short,1.4390,0.0000,4.1468,-0.5519,-0.2787,296,1.3032,0.0000,True,True,True,True,True,True
CTXC,UNI,short,1.4388,0.0000,4.3812,-0.5936,-0.2779,313,1.2059,0.0000,True,True,True,True,True,True
ETH,ZIL,long,1.4387,0.0000,4.3533,-0.3717,-0.3717,394,1.5584,0.0000,True,True,True,True,False,False
MKR,1INCH,both,1.4382,0.0000,15.2684,-0.5620,-0.3035,570,1.4079,0.0000,True,True,True,True,False,False
AXS,STRAX,long,1.4382,0.0000,5.1110,-0.7007,-0.3689,300,1.0721,0.2000,False,True,True,True,False,False
SXP,ONE,short,1.4381,0.0000,2.7839,-0.3900,-0.1988,250,1.2856,0.0000,True,False,True,True,True,False
MKR,IOTX,both,1.4375,0.0000,15.4886,-0.4808,-0.2367,601,1.2771,0.0000,True,True,True,True,True,True
JST,CTXC,short,1.4370,0.0000,3.4237,-0.4427,-0.2746,312,1.2666,0.0000,True,False,True,True,True,False
ONE,CKB,long,1.4369,0.0000,4.8755,-0.5193,-0.3628,300,1.1401,0.0000,True,True,True,True,False,False
RUNE,FIL,short,1.4367,0.0000,4.1225,-0.3838,-0.3336,252,1.5035,0.0000,True,True,True,True,False,False
CRV,CELO,long,1.4366,0.0000,5.6243,-0.5604,-0.2759,287,1.4559,0.0000,True,True,True,True,True,True
FIL,BNT,short,1.4366,0.0000,2.5321,-0.3861,-0.1411,251,1.4811,0.0000,True,False,True,True,True,False
MKR,EOS,short,1.4357,0.0000,2.4005,-0.6055,-0.1523,243,1.6995,0.0000,True,False,True,True,True,False
RUNE,ATM,both,1.4355,0.0000,53.6013,-0.5601,-0.3386,677,1.2942,0.0000,True,True,True,True,False,False
AAVE,1INCH,both,1.4350,0.0000,15.0459,-0.4538,-0.3884,503,1.4161,0.0000,True,True,True,True,False,False
RUNE,LTO,short,1.4348,0.0000,4.6949,-0.3915,-0.2602,302,1.5274,0.0000,True,True,True,True,True,True
EGLD,HIVE,both,1.4344,0.0000,16.2910,-0.6796,-0.2790,648,1.1492,0.0000,True,True,True,True,True,True
MANA,TRX,both,1.4343,0.0000,14.5461,-0.7352,-0.3364,536,1.1497,0.8000,False,True,True,True,False,False
LINK,ZEC,long,1.4341,0.0000,6.8038,-0.4507,-0.2585,380,1.3956,0.0000,True,True,True,True,True,True
AAVE,ARDR,short,1.4334,0.0000,3.9360,-0.4032,-0.2890,311,1.5165,0.0000,True,False,True,True,True,False
MKR,IOTA,long,1.4333,0.0000,3.3350,-0.4414,-0.3076,278,1.3394,0.0000,True,False,True,True,False,False
LINK,BAND,long,1.4329,0.0000,6.8149,-0.4303,-0.3951,420,1.4524,0.0000,True,True,True,True,False,False
AAVE,XLM,long,1.4322,0.0000,3.4618,-0.4142,-0.3334,258,1.2518,0.0000,True,False,True,True,False,False
RVN,1INCH,short,1.4317,0.0000,2.5656,-0.5968,-0.3178,252,1.2047,0.2000,True,False,True,True,False,False
FIL,CTXC,short,1.4314,0.0000,2.7605,-0.4126,-0.2324,296,1.3160,0.0000,True,False,True,True,True,False
BTC,FUN,long,1.4312,0.0000,3.2948,-0.4223,-0.2226,439,1.4752,0.0000,True,False,True,True,True,False
BCH,SUSHI,short,1.4308,0.0000,2.0903,-0.3687,-0.2948,264,1.1586,0.0000,True,False,True,True,True,False
RUNE,XRP,both,1.4301,0.0000,28.2736,-0.7365,-0.2816,560,1.3104,0.0000,False,True,True,True,True,False
GRT,EOS,short,1.4300,0.0000,3.0275,-0.4734,-0.1746,255,1.5026,0.0000,True,False,True,True,True,False
BNT,ONG,short,1.4299,0.0000,1.9299,-0.3461,-0.3461,302,1.0695,0.0000,True,False,True,True,False,False
LTO,ANKR,short,1.4295,0.0000,3.5686,-0.6177,-0.2776,298,1.1147,0.0000,True,False,True,True,True,False
CTXC,ATM,short,1.4292,0.0000,4.6852,-0.5724,-0.3521,324,1.3563,0.0000,True,True,True,True,False,False
RUNE,FLM,short,1.4292,0.0000,4.4172,-0.4042,-0.2565,271,1.5314,0.0000,True,True,True,True,True,True
FIL,XRP,short,1.4287,0.0000,2.4612,-0.4375,-0.3572,253,1.3445,0.0000,True,False,True,True,False,False
SXP,QTUM,short,1.4286,0.0000,2.0275,-0.4759,-0.1797,222,1.2315,0.0000,True,False,True,True,True,False
CRV,TRX,short,1.4281,0.0000,4.8863,-0.5160,-0.2484,302,1.5256,0.0000,True,True,True,True,True,True
SC,FUN,short,1.4275,0.0000,2.8765,-0.5961,-0.1648,288,1.1926,0.0000,True,False,True,True,True,False
