Date,FUN,ASR,SUSHI,CKB,ATOM,AAVE,SKL,CTK,NEAR,FLM
2021-10-18 14:00:00,921.1019044989946,1673.9271672219822,2935.3740361115542,1136.1436958037716,1164.3404163270473,4168.796014344054,1271.3032995473588,858.2524311495122,2128.706436816672,744.3988099839002
2021-10-18 15:00:00,904.9974730348347,1644.6604322289802,2884.052320506216,1156.3613746677267,1143.983232888273,4095.9093018390104,1249.0759903237863,843.2468520828683,2128.706436816672,744.3988099839002
2021-10-18 16:00:00,893.6885833844469,1644.6604322289802,2848.0130713255776,1170.9941711756157,1129.6879662957115,4044.7266326132462,1233.4674798467886,832.7096010049584,2128.706436816672,744.3988099839002
2021-10-18 17:00:00,900.4166569739182,1644.6604322289802,2869.4541436229197,1162.2442942208852,1129.6879662957115,4075.177081393131,1233.4674798467886,838.9785984816897,2128.706436816672,744.3988099839002
2021-10-18 18:00:00,899.1283024567854,1644.6604322289802,2865.3484063744922,1163.9096657617208,1129.6879662957115,4069.3461443927276,1233.4674798467886,837.7781521563581,2128.706436816672,744.3988099839002
2021-10-18 19:00:00,902.4207640005692,1644.6604322289802,2875.8408460093615,1159.6631679329582,1129.6879662957115,4084.2474278382033,1233.4674798467886,840.8459594322053,2128.706436816672,744.3988099839002
2021-10-18 20:00:00,902.3491887496174,1644.6604322289802,2875.61274949556,1159.7551535891757,1129.6879662957115,4083.9234868937374,1233.565319735727,840.7792679696868,2128.706436816672,744.3988099839002
2021-10-18 21:00:00,904.7111720310274,1644.6604322289802,2883.1399344510096,1156.7273118116088,1129.6879662957115,4094.613538061143,1230.3447773661637,842.9800862327947,2128.706436816672,744.3988099839002
2021-10-18 22:00:00,904.7111720310274,1644.6604322289802,2913.0205777590068,1144.8620484925798,1129.6879662957115,4137.049801786303,1217.7243744349157,851.7166678227072,2128.706436816672,744.3988099839002
2021-10-18 23:00:00,890.4012779937345,1644.6604322289802,2866.9450819711033,1163.261454475196,1129.6879662957115,4071.6137310039962,1237.2947717327004,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 00:00:00,897.9812713699245,1644.6604322289802,2891.351408947865,1153.4421916455296,1129.6879662957115,4106.275412061951,1226.8505826686894,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 01:00:00,895.643516403436,1644.6604322289802,2883.8242239924148,1156.452837245807,1129.6879662957115,4095.5853608945445,1230.0528344465959,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 02:00:00,902.7984634220824,1644.6604322289802,2906.861971886366,1147.2876036800642,1129.6879662957115,4095.5853608945445,1220.3042989570235,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 03:00:00,896.1394038205698,1644.6604322289802,2885.4208995890244,1155.8129028694655,1129.6879662957115,4095.5853608945445,1229.372172799076,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 04:00:00,893.5891256753098,1644.6604322289802,2885.4208995890244,1159.1115602741982,1129.6879662957115,4095.5853608945445,1229.372172799076,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 05:00:00,883.104648855907,1644.6604322289802,2885.4208995890244,1172.8728719155092,1129.6879662957115,4095.5853608945445,1229.372172799076,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 06:00:00,889.8345495170101,1644.6604322289802,2885.4208995890244,1164.0023263513046,1129.6879662957115,4095.5853608945445,1229.372172799076,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 07:00:00,889.8345495170101,1644.6604322289802,2885.4208995890244,1164.0023263513046,1129.6879662957115,4095.5853608945445,1229.372172799076,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 08:00:00,889.8345495170101,1644.6604322289802,2885.4208995890244,1164.0023263513046,1129.6879662957115,4095.5853608945445,1229.372172799076,838.244992393987,2128.706436816672,744.3988099839002
2021-10-19 09:00:00,889.8345495170101,1644.6604322289802,2885.4208995890244,1164.0023263513046,1122.3383619450096,4095.5853608945445,1229.372172799076,832.7914784796498,2128.706436816672,744.3988099839002
2021-10-19 10:00:00,889.8345495170101,1644.6604322289802,2885.4208995890244,1164.0023263513046,1121.9822901296716,4095.5853608945445,1229.372172799076,832.5272679852083,2128.706436816672,744.3988099839002
2021-10-19 11:00:00,889.8345495170101,1644.6604322289802,2885.4208995890244,1164.0023263513046,1120.2940297738892,4095.5853608945445,1229.372172799076,831.2745541108344,2128.706436816672,744.3988099839002
