Date,FUN,ONG,DUSK,YFI,WING,LTC,CTXC,EOS,FIO,MDT
2022-02-06 19:00:00,1070.1456137705895,1031.2303717503685,2551.038432104107,710.3884688167328,1479.7958230314164,565.7458187751654,810.6131920360898,724.5903145395062,1319.7474385474259,464.9665580722396
2022-02-06 20:00:00,1069.1346117736402,1031.2303717503685,2551.038432104107,711.0602309621861,1479.7958230314164,565.2113399666862,809.8473789118232,724.5903145395062,1318.5006294415707,464.5272887684396
2022-02-06 21:00:00,1069.6398738775029,1031.2303717503685,2551.038432104107,710.7243498894596,1479.7958230314164,565.4784530763111,810.2301045162236,724.5903145395062,1319.12373937987,464.74681962324496
2022-02-06 22:00:00,1033.025090426653,1031.2303717503685,2551.038432104107,735.9154303439535,1479.7958230314164,546.1215913781263,810.2301045162236,724.5903145395062,1273.9688875069855,448.8380969067944
2022-02-06 23:00:00,1018.8805204984013,1031.2303717503685,2551.038432104107,725.838998162156,1459.5338993933779,553.7031035212746,799.1361277314284,724.5903145395062,1273.9688875069855,455.06907465191415
2022-02-07 00:00:00,1021.7094344840518,1031.2303717503685,2551.038432104107,727.8542845985155,1463.586284120986,552.1700077108787,801.3549230883875,724.5903145395062,1273.9688875069855,453.8090772140223
2022-02-07 01:00:00,1028.310233783902,1031.2303717503685,2551.038432104107,732.5566196166875,1473.0418484854033,548.6255876705524,806.5321122546251,724.5903145395062,1273.9688875069855,450.8960432474951
2022-02-07 02:00:00,1046.69817469063,1049.6705297046396,2551.038432104107,745.6559814530247,1499.382349214854,538.9875705898534,820.9542820748593,724.5903145395062,1273.9688875069855,450.8960432474951
2022-02-07 03:00:00,1048.1126316834548,1051.0890033934297,2554.48578133668,746.6636246712044,1501.4085415786576,538.9875705898534,822.0636797533389,724.5903145395062,1273.9688875069855,450.8960432474951
2022-02-07 04:00:00,1047.6411460191798,1050.6161788304996,2553.3366649258223,746.3277435984778,1500.7331441240563,538.9875705898534,821.693880527179,724.5903145395062,1273.9688875069855,450.8960432474951
2022-02-07 05:00:00,1054.2419453190307,1057.2357227115199,2569.4242946778304,751.0300786166501,1510.1887084884747,538.9875705898534,826.871069693417,724.5903145395062,1273.9688875069855,450.8960432474951
2022-02-07 06:00:00,1048.1126316834548,1051.0890033934297,2554.48578133668,746.6636246712044,1501.4085415786576,538.9875705898534,822.0636797533389,724.5903145395062,1266.5620916493867,448.274554623963
2022-02-07 07:00:00,1045.2837176978044,1048.2520560158496,2561.399139337591,744.6483382348449,1497.35615685105,538.9875705898534,819.8448843963797,724.5903145395062,1263.143570484341,447.0646367977175
2022-02-07 08:00:00,1038.2114327336787,1041.1596875718992,2578.847362357602,739.610122143946,1487.2251950320306,538.9875705898534,814.2978960039819,729.5262158647072,1254.597267571727,444.0398422321037
2022-02-07 09:00:00,1045.7552033620796,1048.7248805787794,2560.2443155597107,744.9842193075715,1498.0315543056513,538.9875705898534,820.2146836225396,724.2636281939068,1263.7133240118485,447.26628976875844
2022-02-07 10:00:00,1057.070859304681,1060.0726700891,2532.83759674908,753.0453650530096,1498.0315543056513,538.9875705898534,829.089865050376,716.5105831106534,1277.3874086720311,452.10596107374056
2022-02-07 11:00:00,1052.8274883262054,1055.8172490227298,2543.0460778824176,750.0224353984703,1498.0315543056513,538.9875705898534,825.7616720149372,719.3984448428505,1272.2596269244625,450.2910843343722
2022-02-07 12:00:00,1041.511832383604,1044.4694595124095,2570.6753698105194,741.9612896530323,1498.0315543056513,538.9875705898534,816.8864905871011,727.2144532974581,1258.5855422642803,445.4514130293902
2022-02-07 13:00:00,1059.8997732903313,1062.90961746668,2526.077354053132,741.9612896530323,1498.0315543056513,538.9875705898534,831.3086604073349,714.5981883158743,1280.8059298370765,453.315878899986
2022-02-07 14:00:00,1064.6146299330817,1067.63786309598,2514.890120421364,741.9612896530323,1498.0315543056513,538.9875705898534,835.0066526689333,711.43344877506,1275.1336272248664,455.33240861039513
2022-02-07 15:00:00,1063.2001729402566,1066.21938940719,2518.235872244541,741.9612896530323,1498.0315543056513,539.7046272247843,833.8972549904539,712.3799234297495,1276.8300355981141,454.7274496972724
2022-02-07 16:00:00,1067.4435439187323,1070.4748104735602,2508.225217275371,741.9612896530323,1498.0315543056513,537.5591583003043,837.2254480258924,709.5480244408504,1271.7542978240933,456.5423264366407
2022-02-07 17:00:00,1050.9415456691052,1053.9259507710096,2547.6096419521937,753.6116463770593,1498.0315543056513,545.9999705661232,837.2254480258924,720.6894245554444,1291.723521881448,449.4844724502085
2022-02-07 18:00:00,1057.070859304681,1053.9259507710096,2532.83759674908,749.241908909217,1498.0315543056513,542.8340474540091,837.2254480258924,716.5105831106534,1284.233599586863,449.4844724502085
2022-02-07 19:00:00,1057.070859304681,1053.9259507710096,2529.4529585351625,748.2406947770446,1498.0315543056513,542.1086567447165,837.2254480258924,715.5531079439132,1282.5174745094646,449.4844724502085
2022-02-07 20:00:00,1057.070859304681,1053.9259507710096,2538.498834113294,750.9165667297564,1498.0315543056513,544.0473555618635,837.2254480258924,718.1120819553354,1287.1040367786086,449.4844724502085
2022-02-07 21:00:00,1057.070859304681,1053.9259507710096,2524.954153806776,746.9098976320432,1498.0315543056513,541.1444794983943,837.2254480258924,714.2804479031059,1280.2364296459527,449.4844724502085
2022-02-07 22:00:00,1057.070859304681,1053.9259507710096,2540.770421436885,751.5885278632952,1498.0315543056513,544.5341988330598,837.2254480258924,718.7546878452282,1288.255807728746,449.4844724502085
2022-02-07 23:00:00,1057.070859304681,1056.2890134409,2546.4672161037843,753.2737039347377,1498.0315543056513,545.7551275299949,837.2254480258924,720.3662454412939,1291.1442736653578,449.4844724502085
2022-02-08 00:00:00,1057.070859304681,1031.3154553297752,2486.2617740417854,735.4642555930232,1498.0315543056513,532.8519852854154,837.2254480258924,703.3348193231546,1260.6180955664395,449.4844724502085
2022-02-08 01:00:00,1044.1120221503331,1044.1154698462794,2486.2617740417854,744.592358056057,1479.6668942703805,539.4653964503051,837.2254480258924,712.0641521870945,1276.264064837654,449.4844724502085
2022-02-08 02:00:00,1047.8145470515751,1040.4260158892255,2486.2617740417854,741.9612896530323,1484.9139399947435,537.5591583003043,837.2254480258924,709.5480244408504,1271.7542978240933,449.4844724502085
2022-02-08 03:00:00,1050.1286251148517,1038.1333186307652,2486.2617740417854,740.3262934219766,1488.1933435724707,536.3745854525732,837.2254480258924,707.9844545324306,1268.9518423418895,449.4844724502085
2022-02-08 04:00:00,1058.9221217553024,1038.1333186307652,2486.2617740417854,734.1784789224059,1500.6550771678328,531.9204258705806,837.2254480258924,702.1052129956666,1258.4142177769875,449.4844724502085
2022-02-08 05:00:00,1057.070859304681,1038.1333186307652,2486.2617740417854,735.4642555930232,1498.0315543056513,532.8519852854154,837.2254480258924,703.3348193231546,1260.6180955664395,449.4844724502085
2022-02-08 06:00:00,1041.335128474401,1038.1333186307652,2449.2508719763646,746.5779376775401,1475.7316099771078,540.9039708408395,837.2254480258924,703.3348193231546,1279.6674356772212,449.4844724502085
2022-02-08 07:00:00,1006.1611419125991,1038.1333186307652,2366.5206203007187,772.6772584059178,1425.884675595659,559.8132172915772,837.2254480258924,703.3348193231546,1324.4028198131314,449.4844724502085
2022-02-08 08:00:00,1006.1611419125991,1038.1333186307652,2354.5465049266127,776.6067312873162,1425.884675595659,562.6601638427593,837.2254480258924,703.3348193231546,1331.1381092342797,451.7703389305377
2022-02-08 09:00:00,1006.1611419125991,1038.1333186307652,2354.5465049266127,773.3887475941368,1425.884675595659,560.3286990754551,837.2254480258924,703.3348193231546,1331.1381092342797,449.89836238800797
2022-02-08 10:00:00,1006.1611419125991,1038.1333186307652,2354.5465049266127,773.0328392887553,1425.884675595659,560.0708395728894,836.8401624998797,703.3348193231546,1331.1381092342797,449.691322184424
2022-02-08 11:00:00,1006.1611419125991,1038.1333186307652,2354.5465049266127,783.4889737754033,1425.884675595659,567.6464246230822,848.1593624590662,703.3348193231546,1349.143242241646,455.77390070277664
2022-02-08 12:00:00,1006.1611419125991,1038.1333186307652,2354.5465049266127,781.6660585269731,1425.884675595659,566.3257023694224,846.185980973587,703.3348193231546,1346.0042398167006,454.71346817438496
2022-02-08 13:00:00,1006.1611419125991,1038.1333186307652,2354.5465049266127,781.6660585269731,1425.884675595659,566.3257023694224,846.185980973587,703.3348193231546,1346.0042398167006,454.71346817438496
2022-02-08 14:00:00,1009.4492502195029,1038.1333186307652,2354.5465049266127,784.2205227705251,1425.884675595659,568.1764399588648,848.9512946368992,703.3348193231546,1350.4029464827681,456.199459900445
