Date,YFI,BNT,NEAR,PAXG,1INCH,UTK,STRAX,EGLD,SNX,DOT
2022-08-15 14:00:00,1613.5430009917072,921.5663576537629,951.2579768738889,559.0264475913638,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 15:00:00,1610.1870463307428,921.5663576537629,951.2579768738889,560.1915714921378,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 16:00:00,1620.297052900421,921.5663576537629,951.2579768738889,556.6961997898158,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 17:00:00,1620.9755692542317,921.5663576537629,951.2579768738889,556.4631750096611,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 18:00:00,1629.1623145534954,921.5663576537629,951.2579768738889,553.6668776478034,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 19:00:00,1628.4769286407684,921.5663576537629,951.2579768738889,553.8999024279582,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 20:00:00,1629.8482776333076,921.5663576537629,951.2579768738889,553.4338528676485,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 21:00:00,1635.3568480689082,921.5663576537629,951.2579768738889,551.5696546264102,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 22:00:00,1632.5979162290619,921.5663576537629,951.2579768738889,551.5696546264102,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-15 23:00:00,1634.666241291852,921.5663576537629,951.2579768738889,551.5696546264102,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 00:00:00,1635.3568480689082,921.5663576537629,951.2579768738889,551.5696546264102,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
2022-08-16 01:00:00,1642.2951461090818,921.5663576537629,951.2579768738889,551.5696546264102,1494.454426064771,1188.1583707261464,1088.3894909989206,718.0309760929591,1051.0599830304272,822.5010169145116
