Date,AXS,BTC,BAL,BNB,ETH,BNT,TWT,SOL,IOST,YFI
2022-11-17 15:00:00,1330.7111449742365,1305.6177725143598,1207.8783106035823,1146.693067177446,1236.6220599101302,1204.6175708924743,1128.0997005439124,1167.1387162644196,1101.856805845651,1098.6396211995768
2022-11-17 16:00:00,1325.4004391505077,1300.407211278555,1203.0578156353806,1142.1167550507396,1231.68685214538,1199.810089138627,1123.5975922749224,1167.1387162644196,1101.856805845651,1098.6396211995768
2022-11-17 17:00:00,1322.3847384926,1297.4483780333253,1200.3204827215345,1139.5180821154706,1228.884379216722,1197.0801458186302,1121.041056228791,1167.1387162644196,1101.856805845651,1098.6396211995768
2022-11-17 18:00:00,1323.1373763631138,1298.1868233253192,1201.003647481194,1139.5180821154706,1229.5838011741591,1197.761466334179,1121.041056228791,1167.1387162644196,1101.856805845651,1098.6396211995768
2022-11-17 19:00:00,1322.3847384926,1297.4483780333253,1200.3204827215345,1139.5180821154706,1228.884379216722,1197.0801458186302,1121.041056228791,1167.1387162644196,1101.856805845651,1098.6396211995768
2022-11-17 20:00:00,1320.131953588865,1295.2380741525192,1198.2756437390449,1139.5180821154706,1228.884379216722,1195.040827001222,1121.041056228791,1167.1387162644196,1101.856805845651,1098.6396211995768
2022-11-17 21:00:00,1320.131953588865,1301.8916943964525,1204.4311693061966,1139.5180821154706,1228.884379216722,1201.1797353591044,1121.041056228791,1167.1387162644196,1101.856805845651,1093.0247679396136
2022-11-17 22:00:00,1320.131953588865,1298.1868233253192,1201.003647481194,1139.5180821154706,1228.884379216722,1197.761466334179,1121.041056228791,1167.1387162644196,1101.856805845651,1096.144130861815
2022-11-17 23:00:00,1320.131953588865,1298.1868233253192,1201.003647481194,1139.5180821154706,1228.884379216722,1197.761466334179,1121.041056228791,1167.1387162644196,1101.856805845651,1096.144130861815
2022-11-18 00:00:00,1320.131953588865,1298.1868233253192,1201.003647481194,1139.5180821154706,1228.884379216722,1197.761466334179,1121.041056228791,1167.1387162644196,1101.856805845651,1096.144130861815
2022-11-18 01:00:00,1320.131953588865,1297.4483780333253,1200.3204827215345,1139.5180821154706,1228.884379216722,1197.0801458186302,1121.041056228791,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 02:00:00,1320.131953588865,1298.9261096711757,1201.6875903328341,1139.5180821154706,1228.884379216722,1198.4435628412023,1121.041056228791,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 03:00:00,1320.131953588865,1297.4483780333253,1200.3204827215345,1139.5180821154706,1228.884379216722,1197.0801458186302,1121.041056228791,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 04:00:00,1320.131953588865,1298.1868233253192,1201.003647481194,1139.5180821154706,1228.884379216722,1197.761466334179,1121.041056228791,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 05:00:00,1320.131953588865,1296.710772360765,1199.6380947268094,1139.5180821154706,1228.884379216722,1196.3995999710928,1121.041056228791,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 06:00:00,1320.131953588865,1297.4483780333253,1200.3204827215345,1139.5180821154706,1228.884379216722,1197.0801458186302,1121.041056228791,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 07:00:00,1320.131953588865,1297.4483780333253,1201.6875903328341,1139.5180821154706,1228.884379216722,1198.4435628412023,1122.3178683657252,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 08:00:00,1320.131953588865,1297.4483780333253,1199.6380947268094,1139.5180821154706,1228.884379216722,1196.3995999710928,1120.4037389711282,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 09:00:00,1320.131953588865,1297.4483780333253,1199.6380947268094,1139.5180821154706,1228.884379216722,1196.3995999710928,1119.7671459376218,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 10:00:00,1320.131953588865,1297.4483780333253,1199.6380947268094,1139.5180821154706,1228.884379216722,1196.3995999710928,1121.041056228791,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 11:00:00,1320.131953588865,1297.4483780333253,1199.6380947268094,1139.5180821154706,1228.884379216722,1196.3995999710928,1120.4037389711282,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 12:00:00,1320.131953588865,1297.4483780333253,1199.6380947268094,1139.5180821154706,1228.884379216722,1196.3995999710928,1121.679098947191,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 13:00:00,1320.131953588865,1297.4483780333253,1199.6380947268094,1139.5180821154706,1228.884379216722,1196.3995999710928,1126.8097066038958,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 14:00:00,1320.131953588865,1297.4483780333253,1197.5839199070715,1137.5668525228068,1228.884379216722,1196.3995999710928,1124.880237928204,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 15:00:00,1320.131953588865,1297.4483780333253,1196.9007573743243,1136.917926765521,1228.884379216722,1196.3995999710928,1124.2385492585363,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 16:00:00,1320.131953588865,1297.4483780333253,1201.6993285665467,1141.4760169644667,1228.884379216722,1196.3995999710928,1128.7458057561366,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 17:00:00,1320.131953588865,1297.4483780333253,1202.3879814768998,1142.1301579484002,1228.884379216722,1196.3995999710928,1129.392651490094,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 18:00:00,1320.131953588865,1297.4483780333253,1205.1505041224527,1144.754236427317,1228.884379216722,1196.3995999710928,1131.987465163822,1167.1387162644196,1101.856805845651,1096.7680034462558
2022-11-18 19:00:00,1321.650219205413,1298.9405555813794,1206.5365311542207,1146.0708025416666,1230.2977022520486,1196.3995999710928,1133.2893483900023,1167.1387162644196,1103.124036214651,1096.7680034462558
2022-11-18 20:00:00,1320.8906501139154,1298.1940380207002,1205.8431193547065,1145.4121411608953,1229.590634607076,1195.7120139940978,1132.6380326725364,1166.467946887256,1102.490056883493,1096.1376770074933
2022-11-18 21:00:00,1320.131953588865,1297.4483780333253,1205.1505041224527,1144.754236427317,1228.884379216722,1195.0252178918615,1131.987465163822,1165.7979480665283,1101.856805845651,1095.5080746657318
2022-11-18 22:00:00,1320.131953588865,1297.4483780333253,1205.1505041224527,1144.754236427317,1228.884379216722,1195.0252178918615,1131.987465163822,1165.7979480665283,1101.856805845651,1095.5080746657318
