reference_coin,trading_coin,trading_type,is_sharpe,is_return,is_trades,oos_trades,oos_total_return,oos_mean_return
CELR,1INCH,both,2.000791,5.674676,294,255,-2.311758,-0.009066
FLUX,1INCH,both,3.472348,0.086790,14,305,-0.918868,-0.003013
HIGH,1INCH,both,5.619690,0.092114,7,316,-0.901221,-0.002852
PORTO,1INCH,both,2.614379,0.219460,28,341,-0.355725,-0.001043
VOXEL,1INCH,both,8.477740,0.233030,10,340,-2.148384,-0.006319
1INCH,AAVE,both,2.059947,5.026403,255,255,0.925908,0.003631
ADX,AAVE,both,3.811627,0.886939,50,344,-0.960715,-0.002793
AGLD,AAVE,both,2.598735,0.669771,74,301,-0.628286,-0.002087
ALCX,AAVE,both,9.192757,1.097421,19,308,-0.282503,-0.000917
ALGO,AAVE,both,2.731683,23.142089,338,237,-0.058262,-0.000246
AMP,AAVE,both,5.754072,0.593973,32,350,-0.658137,-0.001880
AUCTION,AAVE,both,5.086202,1.740544,51,365,-1.411500,-0.003867
AVA,AAVE,both,2.318357,12.001073,386,341,-0.571600,-0.001676
BAKE,AAVE,both,2.106861,2.008235,156,237,-0.444239,-0.001874
BAR,AAVE,both,3.240286,8.150724,224,358,-1.466550,-0.004097
BICO,AAVE,both,7.574691,0.548562,16,304,-0.740207,-0.002435
BNB,AAVE,both,2.827112,52.952775,292,246,0.035267,0.000143
BNT,AAVE,both,2.962458,31.316145,254,237,-0.371104,-0.001566
BTC,AAVE,both,2.817626,32.609222,291,238,0.540639,0.002272
CHESS,AAVE,both,4.763207,1.524554,54,317,-0.953158,-0.003007
CHR,AAVE,both,2.417407,16.027830,391,264,-1.041577,-0.003945
CITY,AAVE,both,5.461562,1.076139,40,348,-0.531189,-0.001526
CKB,AAVE,both,3.049918,14.010806,282,298,-0.184736,-0.000620
COTI,AAVE,both,2.646631,25.319482,379,273,-0.556172,-0.002037
CVX,AAVE,both,209.394658,0.113358,2,292,-0.590369,-0.002022
DASH,AAVE,both,2.950017,53.172556,306,233,-0.597289,-0.002563
DEXE,AAVE,both,2.443916,1.406033,137,320,0.126895,0.000397
DF,AAVE,both,2.042375,0.524089,91,336,0.577589,0.001719
DUSK,AAVE,both,2.867469,33.093217,404,287,-0.398732,-0.001389
DYDX,AAVE,both,2.478025,0.687796,93,265,-1.197834,-0.004520
ENS,AAVE,both,5.016386,1.029616,32,268,-0.827300,-0.003087
ETC,AAVE,both,2.583299,18.923064,298,234,-0.131806,-0.000563
FARM,AAVE,both,2.755116,1.497270,115,312,-0.473883,-0.001519
FIDA,AAVE,both,3.815750,1.320218,57,343,-1.045201,-0.003047
FLM,AAVE,both,2.025837,7.471403,343,249,-0.609854,-0.002449
FLOW,AAVE,both,2.278199,1.134598,133,244,-0.284833,-0.001167
FLUX,AAVE,both,6.884121,0.502796,18,334,-1.720043,-0.005150
FTT,AAVE,both,2.935217,43.780758,292,208,1.065914,0.005125
FXS,AAVE,both,7.084895,0.479352,13,361,-2.023698,-0.005606
GALA,AAVE,both,2.798933,0.944203,87,229,-0.791297,-0.003455
GHST,AAVE,both,2.328706,0.932212,121,360,-0.246668,-0.000685
GNO,AAVE,both,2.895839,1.326506,93,267,0.695192,0.002604
GTC,AAVE,both,3.194497,3.160340,177,262,-0.735007,-0.002805
HIGH,AAVE,both,7.389665,0.148398,9,333,-0.326035,-0.000979
IDEX,AAVE,both,3.141948,1.118791,101,313,-0.962645,-0.003076
ILV,AAVE,both,2.047661,0.507020,70,217,0.151431,0.000698
JASMY,AAVE,both,5.988654,1.057191,28,294,-1.834452,-0.006240
KNC,AAVE,both,2.129240,8.836955,327,308,0.163461,0.000531
LAZIO,AAVE,both,3.812604,1.134926,60,357,-0.380118,-0.001065
LPT,AAVE,both,3.251005,4.339561,205,249,-1.361989,-0.005470
LUNA,AAVE,both,2.603899,19.015438,441,288,-0.234504,-0.000814
MINA,AAVE,both,2.032353,0.863341,107,246,-0.055646,-0.000226
MOVR,AAVE,both,4.458566,0.967240,41,301,-0.752636,-0.002500
MTL,AAVE,both,2.173137,11.585235,386,283,-0.349803,-0.001236
NEO,AAVE,both,2.229039,11.102321,306,234,0.232905,0.000995
OG,AAVE,both,2.050845,6.202034,346,343,-0.235349,-0.000686
OXT,AAVE,both,2.240283,13.048563,429,343,-0.011677,-0.000034
PHA,AAVE,both,3.882720,5.121568,160,327,-1.217252,-0.003722
POND,AAVE,both,2.255890,3.640821,254,314,-1.707982,-0.005439
PORTO,AAVE,both,4.910253,1.068411,37,349,-0.445545,-0.001277
POWR,AAVE,both,4.590158,0.650916,35,312,-0.217043,-0.000696
QI,AAVE,both,4.004103,0.709908,35,286,-1.510062,-0.005280
QUICK,AAVE,both,2.693749,1.333599,112,314,-1.587715,-0.005056
RAD,AAVE,both,3.998228,1.354202,79,352,-0.271154,-0.000770
RARE,AAVE,both,2.270945,0.507647,75,342,-0.722062,-0.002111
RAY,AAVE,both,2.937053,1.358625,91,253,0.355598,0.001406
REQ,AAVE,both,2.961502,1.483816,118,312,0.929289,0.002978
RIF,AAVE,both,2.572647,9.972183,323,357,-0.957314,-0.002682
SANTOS,AAVE,both,4.865276,0.640670,22,366,-0.822653,-0.002248
TRU,AAVE,both,2.312447,7.030391,291,317,0.102760,0.000324
USDP,AAVE,both,2.057875,0.662806,109,341,0.351009,0.001029
VOXEL,AAVE,both,5.918797,0.474762,12,328,-1.730764,-0.005277
WAXP,AAVE,both,2.019263,0.668057,113,262,-0.093861,-0.000358
XRP,AAVE,both,2.629809,21.678102,322,267,-0.165271,-0.000619
XTZ,AAVE,both,2.220119,9.210462,326,237,0.162439,0.000685
YGG,AAVE,both,2.996163,0.795079,84,282,-0.489159,-0.001735
ZEC,AAVE,both,2.778438,35.995229,345,264,-0.395029,-0.001496
BICO,ACM,both,4.138757,0.087459,10,343,-2.849989,-0.008309
FLUX,ACM,both,3.361605,0.044358,11,356,-2.284982,-0.006418
AAVE,ADA,both,2.167242,8.157067,310,230,0.159252,0.000692
ADX,ADA,both,5.973878,0.638634,46,320,-0.074494,-0.000233
ALCX,ADA,both,4.021199,0.183352,21,301,-0.448194,-0.001489
AUCTION,ADA,both,3.541503,0.519431,55,334,-0.717650,-0.002149
BCH,ADA,both,2.145135,10.339336,383,232,0.148199,0.000639
BNT,ADA,both,2.391010,16.030762,399,215,0.224015,0.001042
BTC,ADA,both,2.022965,8.404132,394,208,0.603294,0.002900
CHESS,ADA,both,3.517182,0.499284,59,298,-0.829430,-0.002783
CKB,ADA,both,2.244060,4.764362,278,282,0.566912,0.002010
DASH,ADA,both,2.277161,14.089324,388,231,-0.081753,-0.000354
DEXE,ADA,both,2.257474,1.026583,142,297,0.267600,0.000901
FLOW,ADA,both,2.171504,0.805721,125,228,0.212677,0.000933
FXS,ADA,both,2.890701,0.069805,15,338,-0.140908,-0.000417
HIGH,ADA,both,2.167278,0.018141,10,297,-0.102685,-0.000346
HIVE,ADA,both,2.194157,14.197324,494,288,1.240681,0.004308
ILV,ADA,both,4.815473,0.868563,58,210,-0.648422,-0.003088
JST,ADA,both,2.258085,16.295736,391,285,0.918653,0.003223
MANA,ADA,both,2.252804,10.296054,395,195,-0.825115,-0.004231
MLN,ADA,both,3.158028,1.966074,168,322,-0.021272,-0.000066
MOVR,ADA,both,3.704108,0.334134,41,280,-0.798160,-0.002851
OGN,ADA,both,2.185089,12.538404,446,251,-0.167019,-0.000665
OM,ADA,both,2.376689,3.682757,256,292,-0.530332,-0.001816
PHA,ADA,both,2.253436,1.110089,175,322,-0.400494,-0.001244
PORTO,ADA,both,2.167353,0.147149,37,338,-0.021587,-0.000064
QNT,ADA,both,2.372137,1.019384,132,305,-0.895057,-0.002935
RAD,ADA,both,3.600853,0.581817,82,343,-0.111755,-0.000326
SAND,ADA,both,2.935511,36.315116,426,201,-0.626173,-0.003115
SANTOS,ADA,both,2.085226,0.065871,22,334,-0.927928,-0.002778
SC,ADA,both,2.248680,15.610622,427,230,0.012297,0.000053
SKL,ADA,both,2.312878,10.012322,344,235,-0.734209,-0.003124
TRX,ADA,both,2.028459,8.673041,382,295,1.228640,0.004165
VOXEL,ADA,both,5.596197,0.108659,11,317,-0.519198,-0.001638
YGG,ADA,both,2.170228,0.351686,73,269,-0.548942,-0.002041
CVX,ADX,both,70.598939,0.032563,2,351,-1.350304,-0.003847
HIGH,ADX,both,4.497213,0.048351,9,394,-1.866171,-0.004736
SPELL,ADX,both,4.874475,0.014146,2,376,-1.714959,-0.004561
VOXEL,ADX,both,2.214886,0.042996,9,378,-1.845554,-0.004882
ALCX,AGLD,both,3.328268,0.310937,16,321,-0.798067,-0.002486
AMP,AGLD,both,2.513129,0.217409,26,356,-1.325602,-0.003724
AUCTION,AGLD,both,3.722514,0.877623,49,340,-2.031146,-0.005974
AVA,AGLD,both,2.004465,0.429850,85,359,-0.857167,-0.002388
CHESS,AGLD,both,3.043576,0.738416,58,308,-1.930684,-0.006268
CITY,AGLD,both,2.158278,0.226337,35,344,-0.853895,-0.002482
EGLD,AGLD,both,3.810617,1.308864,64,295,-1.398718,-0.004741
ENS,AGLD,both,2.276754,0.325453,33,315,-0.756097,-0.002400
FLM,AGLD,both,3.853283,1.349403,68,286,-0.415349,-0.001452
FLUX,AGLD,both,5.678290,0.267789,11,344,-1.595938,-0.004639
FORTH,AGLD,both,2.132548,0.442468,78,329,0.072603,0.000221
FUN,AGLD,both,2.055678,0.499286,82,339,0.858824,0.002533
FXS,AGLD,both,6.745646,0.457688,14,331,-1.881404,-0.005684
ILV,AGLD,both,2.457748,0.660111,62,277,-1.241200,-0.004481
LPT,AGLD,both,2.216654,0.523527,66,304,-0.519205,-0.001708
MLN,AGLD,both,4.656255,1.828128,80,352,-0.098451,-0.000280
OG,AGLD,both,2.107083,0.483536,80,361,-1.676086,-0.004643
OM,AGLD,both,3.868495,1.501620,72,308,-0.089532,-0.000291
OXT,AGLD,both,2.454208,0.586544,72,350,-0.202334,-0.000578
PORTO,AGLD,both,2.390285,0.227751,30,351,-0.770834,-0.002196
QI,AGLD,both,2.375131,0.283279,32,293,-2.508355,-0.008561
ROSE,AGLD,both,2.042812,0.530575,79,281,-0.728745,-0.002593
RVN,AGLD,both,2.049369,0.442359,65,284,-0.256550,-0.000903
SANTOS,AGLD,both,2.499687,0.106687,20,343,-1.668459,-0.004864
TRU,AGLD,both,2.016151,0.465253,68,320,-0.066123,-0.000207
VOXEL,AGLD,both,10.982343,0.456454,8,328,-2.082572,-0.006349
1INCH,ALCX,both,3.896319,0.296417,19,300,-0.512929,-0.001710
ADX,ALCX,both,6.003717,0.403366,18,377,-2.810292,-0.007454
AGLD,ALCX,both,5.232149,0.502066,16,321,-1.304344,-0.004063
ALGO,ALCX,both,3.356572,0.305117,17,312,-2.352407,-0.007540
ALICE,ALCX,both,4.314872,0.367776,15,293,-3.368204,-0.011496
AMP,ALCX,both,2.564559,0.156277,20,356,-2.182055,-0.006129
AR,ALCX,both,3.483592,0.259151,20,350,-2.399180,-0.006855
ARDR,ALCX,both,5.226102,0.434582,12,339,-2.109120,-0.006222
ARPA,ALCX,both,3.786964,0.262533,14,303,-2.442390,-0.008061
ATM,ALCX,both,3.833953,0.282598,17,356,-2.732916,-0.007677
ATOM,ALCX,both,2.963768,0.175545,17,324,-1.657780,-0.005117
AUCTION,ALCX,both,3.718748,0.234327,19,373,-3.897601,-0.010449
AUDIO,ALCX,both,2.987290,0.237062,20,311,-2.890884,-0.009295
AVA,ALCX,both,3.842123,0.338556,21,361,-3.444423,-0.009541
AVAX,ALCX,both,3.301767,0.180020,18,304,-3.325339,-0.010939
AXS,ALCX,both,3.181744,0.219943,15,287,-2.634604,-0.009180
BAND,ALCX,both,3.623106,0.259707,16,333,-1.802403,-0.005413
BAR,ALCX,both,2.125240,0.138842,17,344,-2.055184,-0.005974
BICO,ALCX,both,4.933442,0.299400,13,303,-2.269351,-0.007490
BNB,ALCX,both,4.871081,0.398106,14,324,-2.848708,-0.008792
BNT,ALCX,both,3.107944,0.205054,12,296,-2.166546,-0.007319
CAKE,ALCX,both,2.221826,0.149848,23,334,-2.886339,-0.008642
CELO,ALCX,both,2.329686,0.101322,18,315,-2.351844,-0.007466
CELR,ALCX,both,4.135158,0.250283,19,300,-3.227458,-0.010758
CFX,ALCX,both,2.808342,0.193414,15,324,-3.226071,-0.009957
CHESS,ALCX,both,7.363878,0.461280,19,328,-2.993440,-0.009126
CHR,ALCX,both,2.081312,0.085614,17,307,-1.491045,-0.004857
CKB,ALCX,both,6.060550,0.507458,14,321,-1.972420,-0.006145
COS,ALCX,both,6.055102,0.642990,17,339,-2.638021,-0.007782
COTI,ALCX,both,2.917160,0.170039,17,338,-2.877097,-0.008512
CRV,ALCX,both,5.736455,0.361018,20,306,-2.833431,-0.009260
CTK,ALCX,both,6.781865,0.520513,18,316,-1.758522,-0.005565
CTSI,ALCX,both,2.059014,0.123538,15,341,-2.555818,-0.007495
CVC,ALCX,both,3.036881,0.161163,10,285,-1.442165,-0.005060
CVX,ALCX,both,143.812919,0.064928,2,312,-1.092241,-0.003501
DEGO,ALCX,both,7.980185,0.614029,12,307,-2.580744,-0.008406
DENT,ALCX,both,3.290903,0.298996,13,294,-1.988788,-0.006765
DEXE,ALCX,both,4.288697,0.306959,20,325,-2.087989,-0.006425
DF,ALCX,both,4.266388,0.307028,16,343,-1.384280,-0.004036
DGB,ALCX,both,2.651242,0.178621,15,310,-2.449305,-0.007901
DIA,ALCX,both,2.183580,0.131202,15,330,-2.142897,-0.006494
DOGE,ALCX,both,5.327106,0.361160,10,280,-1.227312,-0.004383
DOT,ALCX,both,3.761656,0.303296,16,295,-2.831236,-0.009597
DUSK,ALCX,both,2.596082,0.180514,24,324,-2.032669,-0.006274
EGLD,ALCX,both,2.208546,0.152342,14,325,-2.283338,-0.007026
ENJ,ALCX,both,3.460078,0.254405,12,297,-3.089665,-0.010403
ETC,ALCX,both,7.280504,0.447168,11,288,-2.306447,-0.008008
ETH,ALCX,both,2.717654,0.186044,12,262,-2.245181,-0.008569
FET,ALCX,both,5.057229,0.343020,17,329,-2.210249,-0.006718
FIDA,ALCX,both,4.323025,0.298605,17,331,-3.008534,-0.009089
FIO,ALCX,both,4.542533,0.353165,17,339,-2.527324,-0.007455
FLOW,ALCX,both,2.757322,0.184191,17,306,-1.816043,-0.005935
FLUX,ALCX,both,6.108670,0.396741,13,329,-2.888596,-0.008780
FTT,ALCX,both,5.402140,0.270951,11,245,-1.916722,-0.007823
GALA,ALCX,both,2.745745,0.220485,13,288,-2.331223,-0.008095
GNO,ALCX,both,4.812701,0.460471,18,285,-1.610428,-0.005651
GRT,ALCX,both,3.490786,0.255922,16,303,-3.028703,-0.009996
HBAR,ALCX,both,4.650743,0.309157,13,309,-2.342709,-0.007582
HIGH,ALCX,both,9.950898,0.358583,7,327,-1.298699,-0.003972
HIVE,ALCX,both,6.537524,0.483431,14,318,-1.314777,-0.004135
HOT,ALCX,both,3.559527,0.240112,15,306,-2.844216,-0.009295
ILV,ALCX,both,3.970118,0.255248,10,272,-1.478806,-0.005437
INJ,ALCX,both,2.689434,0.188644,17,347,-2.013213,-0.005802
IOST,ALCX,both,3.723601,0.188674,14,291,-1.781882,-0.006123
IOTA,ALCX,both,3.375589,0.245786,17,326,-3.235477,-0.009925
IOTX,ALCX,both,5.599080,0.595128,19,299,-0.577340,-0.001931
JUV,ALCX,both,2.516846,0.149747,19,352,-1.763222,-0.005009
LAZIO,ALCX,both,3.717791,0.341297,19,359,-2.173490,-0.006054
LPT,ALCX,both,3.509580,0.301179,19,323,-2.954603,-0.009147
LTC,ALCX,both,6.821491,0.507636,12,317,-0.937537,-0.002958
LUNA,ALCX,both,5.471642,0.478684,19,298,-1.000594,-0.003358
MANA,ALCX,both,4.103592,0.280112,14,294,-2.040111,-0.006939
MASK,ALCX,both,3.970874,0.219946,16,317,-2.543627,-0.008024
MBL,ALCX,both,5.627010,0.410417,12,324,-2.128738,-0.006570
MDT,ALCX,both,5.674599,0.535846,20,341,-2.038986,-0.005979
MKR,ALCX,both,2.748791,0.183894,17,330,-3.078416,-0.009329
MOVR,ALCX,both,5.988926,0.337010,17,300,-2.527616,-0.008425
NEAR,ALCX,both,4.887673,0.650408,20,302,-2.650428,-0.008776
NMR,ALCX,both,6.700036,0.630098,16,356,-2.375528,-0.006673
OGN,ALCX,both,4.981994,0.376444,15,307,-1.841769,-0.005999
OM,ALCX,both,5.702832,0.445616,14,337,-2.953368,-0.008764
ONE,ALCX,both,3.269683,0.172451,19,292,-2.556450,-0.008755
ONG,ALCX,both,5.519786,0.384827,13,340,-2.624679,-0.007720
ONT,ALCX,both,2.268375,0.155483,15,317,-2.571474,-0.008112
OXT,ALCX,both,5.509306,0.489959,21,336,-2.341303,-0.006968
PAXG,ALCX,both,3.990473,0.213940,24,374,-0.687331,-0.001838
PEOPLE,ALCX,both,14.171351,0.151580,2,322,-2.445008,-0.007593
PERP,ALCX,both,3.090468,0.224006,21,346,-1.787642,-0.005167
PHA,ALCX,both,6.283185,0.559788,19,346,-2.504761,-0.007239
POND,ALCX,both,2.118662,0.138580,16,330,-2.749311,-0.008331
PORTO,ALCX,both,3.333401,0.301194,18,338,-0.837390,-0.002477
POWR,ALCX,both,5.909994,0.566596,13,330,-2.369456,-0.007180
PUNDIX,ALCX,both,4.816459,0.389383,15,332,-1.798612,-0.005418
QI,ALCX,both,4.761938,0.333821,16,294,-2.295695,-0.007808
RAD,ALCX,both,3.933412,0.335090,22,358,-0.947530,-0.002647
RAY,ALCX,both,2.741700,0.181392,14,305,-2.450618,-0.008035
REQ,ALCX,both,4.863285,0.374486,17,324,-1.038820,-0.003206
RLC,ALCX,both,4.882794,0.362865,17,341,-2.538952,-0.007446
ROSE,ALCX,both,4.352436,0.272386,17,293,-2.485992,-0.008485
RSR,ALCX,both,7.363866,0.726882,15,324,-2.858373,-0.008822
SAND,ALCX,both,6.005427,0.491328,12,293,-1.590880,-0.005430
SANTOS,ALCX,both,3.544979,0.275820,17,338,-1.740763,-0.005150
SFP,ALCX,both,4.419515,0.446143,17,326,-2.587002,-0.007936
SHIB,ALCX,both,3.427979,0.226354,15,287,-1.645077,-0.005732
SOL,ALCX,both,5.378209,0.374079,15,301,-2.595140,-0.008622
STORJ,ALCX,both,3.159909,0.222187,17,300,-2.834352,-0.009448
STRAX,ALCX,both,2.866039,0.196698,14,332,-0.924266,-0.002784
THETA,ALCX,both,4.129741,0.326152,12,311,-2.475531,-0.007960
TKO,ALCX,both,3.947643,0.288093,16,347,-2.023224,-0.005831
TLM,ALCX,both,2.309876,0.160434,14,290,-2.624321,-0.009049
TRU,ALCX,both,4.135576,0.376268,17,328,-2.046594,-0.006240
TRX,ALCX,both,4.756192,0.465961,16,352,-1.346784,-0.003826
TUSD,ALCX,both,3.351872,0.196499,24,297,0.683038,0.002300
UMA,ALCX,both,5.066813,0.389041,21,335,-3.602255,-0.010753
USDC,ALCX,both,2.515401,0.132619,21,308,0.109192,0.000355
USDP,ALCX,both,4.171129,0.353490,21,331,-0.300921,-0.000909
UTK,ALCX,both,3.769495,0.275458,19,313,-0.939144,-0.003000
VET,ALCX,both,2.918950,0.212295,12,299,-3.313851,-0.011083
VOXEL,ALCX,both,4.315711,0.169210,13,318,-2.107576,-0.006628
WAN,ALCX,both,4.308652,0.212053,17,313,-2.371403,-0.007576
WAXP,ALCX,both,5.739095,0.600543,13,312,-2.324916,-0.007452
WIN,ALCX,both,4.239349,0.322678,18,332,-1.801129,-0.005425
XEC,ALCX,both,5.108622,0.458688,15,310,-0.973513,-0.003140
XLM,ALCX,both,3.825417,0.284981,22,309,-1.905537,-0.006167
XRP,ALCX,both,8.033113,0.793794,13,311,-2.208278,-0.007101
XVG,ALCX,both,3.394025,0.193412,17,334,-1.535517,-0.004597
XVS,ALCX,both,2.001585,0.095113,15,352,-4.422490,-0.012564
YGG,ALCX,both,2.707677,0.204278,16,317,-2.223304,-0.007014
ZEC,ALCX,both,9.582770,0.657187,10,323,-2.436294,-0.007543
ALCX,ALGO,both,4.466855,0.286556,17,312,0.144093,0.000462
AUCTION,ALGO,both,2.403660,0.312505,49,350,-1.134906,-0.003243
CVX,ALGO,both,13.301876,0.023825,2,288,-0.589533,-0.002047
FLUX,ALGO,both,5.984920,0.195193,14,304,-1.752072,-0.005763
HIGH,ALGO,both,8.829492,0.253793,8,314,-0.764314,-0.002434
JASMY,ALGO,both,2.073362,0.141899,31,286,-1.268447,-0.004435
MOVR,ALGO,both,3.430931,0.350463,32,280,-0.909084,-0.003247
PEOPLE,ALGO,both,6.242030,0.021200,2,284,-0.577408,-0.002033
POWR,ALGO,both,2.624148,0.219369,26,294,-0.556812,-0.001894
PYR,ALGO,both,2.736252,0.160186,24,311,-0.987531,-0.003175
RAD,ALGO,both,3.760936,0.820736,76,373,-0.486759,-0.001305
SANTOS,ALGO,both,4.146955,0.231350,18,347,-2.047823,-0.005902
VOXEL,ALGO,both,8.311570,0.252563,10,347,-1.256433,-0.003621
ADX,ALICE,both,3.098038,0.697336,46,342,-1.612848,-0.004716
AR,ALICE,both,3.180648,10.548392,203,277,-0.136293,-0.000492
ASR,ALICE,both,2.793397,13.251561,253,335,0.439816,0.001313
ATA,ALICE,both,2.849356,9.383782,176,228,0.288893,0.001267
AUCTION,ALICE,both,7.054769,3.848178,42,324,-0.854478,-0.002637
BAKE,ALICE,both,3.190534,16.705600,173,208,-1.117590,-0.005373
CAKE,ALICE,both,3.373816,23.772751,249,291,0.135490,0.000466
CHESS,ALICE,both,5.224106,2.457107,50,301,-1.957169,-0.006502
CITY,ALICE,both,3.150284,0.544312,37,318,0.077229,0.000243
DASH,ALICE,both,3.295931,43.454562,215,233,1.367441,0.005869
DGB,ALICE,both,3.387029,23.997561,227,228,-0.834938,-0.003662
ENS,ALICE,both,3.062968,0.523629,31,266,-0.611775,-0.002300
ETC,ALICE,both,2.925831,15.150640,201,215,0.451394,0.002100
FARM,ALICE,both,2.797494,2.096860,128,315,-1.105307,-0.003509
FLUX,ALICE,both,2.002057,0.052632,14,301,0.218941,0.000727
FXS,ALICE,both,3.511782,0.125018,16,350,-0.230235,-0.000658
LAZIO,ALICE,both,3.316003,0.905768,57,329,0.207568,0.000631
LPT,ALICE,both,2.928382,8.004246,209,235,-0.459472,-0.001955
MINA,ALICE,both,2.769377,1.441888,112,252,0.203335,0.000807
MOVR,ALICE,both,5.192504,0.872969,38,275,-0.409477,-0.001489
NEAR,ALICE,both,3.088499,23.092032,233,216,-0.053852,-0.000249
PEOPLE,ALICE,both,8.163518,0.011497,2,251,-1.124092,-0.004478
PHA,ALICE,both,3.631702,19.003799,158,324,-0.995885,-0.003074
QI,ALICE,both,3.676126,0.612640,29,268,-2.206597,-0.008234
QNT,ALICE,both,2.096549,1.204802,152,308,-0.074534,-0.000242
RAD,ALICE,both,4.361519,2.421294,73,358,-1.112160,-0.003107
RARE,ALICE,both,2.488049,0.607908,61,319,-0.506399,-0.001587
RLC,ALICE,both,3.209016,28.110299,225,271,-0.221438,-0.000817
SHIB,ALICE,both,3.180387,19.993083,171,227,-0.345989,-0.001524
VET,ALICE,both,3.052970,16.633449,207,197,-0.354819,-0.001801
VOXEL,ALICE,both,2.830049,0.093955,11,311,-1.816278,-0.005840
XTZ,ALICE,both,2.591317,8.495013,223,224,0.793265,0.003541
XVG,ALICE,both,2.819722,5.147088,180,317,-0.083829,-0.000264
ZRX,ALICE,both,3.124940,14.996743,218,213,0.296796,0.001393
CHESS,AMP,both,4.020665,0.183083,20,353,-3.116011,-0.008827
COS,AMP,both,2.340667,0.107462,19,345,-3.444359,-0.009984
DCR,AMP,both,2.314196,0.092113,22,374,-3.219806,-0.008609
FIO,AMP,both,3.727983,0.194078,24,356,-3.575542,-0.010044
OG,AMP,both,2.882403,0.132724,24,355,-3.277478,-0.009232
VOXEL,AMP,both,4.911300,0.075608,8,352,-2.660685,-0.007559
AMP,ANKR,both,3.097129,0.154682,21,336,-1.659109,-0.004938
ATA,ANKR,both,2.415854,1.781760,155,256,-0.297272,-0.001161
AUCTION,ANKR,both,2.861817,0.610361,48,338,-1.144199,-0.003385
CHESS,ANKR,both,4.816076,1.480651,48,308,-1.968096,-0.006390
DF,ANKR,both,2.123384,0.573503,78,337,-0.424515,-0.001260
FLUX,ANKR,both,6.524429,0.125254,12,313,-0.776551,-0.002481
FXS,ANKR,both,2.829445,0.081326,15,359,-1.031372,-0.002873
HIGH,ANKR,both,7.295537,0.129025,5,309,-0.017880,-0.000058
IDEX,ANKR,both,2.458106,0.944993,96,300,-1.191711,-0.003972
LAZIO,ANKR,both,2.791652,0.705416,51,328,0.057970,0.000177
MOVR,ANKR,both,2.129754,0.324851,36,282,-1.920157,-0.006809
PEOPLE,ANKR,both,10.196308,0.009095,2,273,-0.653818,-0.002395
PORTO,ANKR,both,3.040700,0.450661,27,336,-0.074796,-0.000223
QI,ANKR,both,3.669040,0.476657,24,287,-1.024538,-0.003570
RARE,ANKR,both,3.234734,0.946918,63,330,-0.548448,-0.001662
SANTOS,ANKR,both,2.912972,0.106177,14,350,-0.462065,-0.001320
VOXEL,ANKR,both,8.945101,0.232261,8,322,-1.995659,-0.006198
YGG,ANKR,both,2.027317,0.573642,75,290,-1.354579,-0.004671
ALCX,AR,both,6.350739,0.606667,20,350,-1.879799,-0.005371
ATA,AR,both,2.130617,2.081552,176,305,-0.494757,-0.001622
AUCTION,AR,both,2.319245,0.359636,53,379,-1.433239,-0.003782
BNB,AR,both,2.039289,2.979226,192,307,0.565789,0.001843
CITY,AR,both,2.318533,0.268233,38,380,-1.342803,-0.003534
DYDX,AR,both,2.512377,0.973861,91,300,-0.072108,-0.000240
ENS,AR,both,5.799742,0.726618,29,307,-0.598608,-0.001950
HIGH,AR,both,8.465886,0.105324,7,354,-0.690090,-0.001949
JASMY,AR,both,4.339003,0.412812,34,316,-2.494401,-0.007894
LPT,AR,both,2.315364,3.808805,211,304,-1.335671,-0.004394
QUICK,AR,both,2.853432,2.850918,116,341,-2.344822,-0.006876
RAD,AR,both,2.278915,0.649721,83,372,-0.946084,-0.002543
SANTOS,AR,both,7.530066,0.635699,14,352,-0.746811,-0.002122
XVG,AR,both,2.541961,3.867669,176,361,-1.583695,-0.004387
