Date,ONG,PSG,OG,CKB,PAXG,STRAX,HIVE,LSK,KMD,YFI
2022-03-14 16:00:00,480.5607612046822,343.541450028634,409.02459905135333,222.2950468560252,411.1591679536107,312.4647616708262,150.14602677160707,146.21546792076137,521.173609150302,200.3652540119862
2022-03-14 17:00:00,476.0776859511531,340.3366062346379,405.2088733281482,220.22129156014105,407.3235291750851,309.5498273821116,148.7453382606514,144.85144697099526,516.3116630685681,198.49607828137422
2022-03-14 18:00:00,475.5795664785389,339.9805124797495,404.7849038033476,219.99087430504287,406.8973470885823,309.2259457944767,148.5897062038786,144.69988908768795,515.7714468372644,198.28839208908406
2022-03-14 19:00:00,473.21349898362075,338.28906714402945,402.7710485605449,218.89639234332626,404.87298217769387,307.68750825321064,147.85045393420756,143.97998914197808,513.2054197385714,197.30188267570554
2022-03-14 20:00:00,470.5983717523955,336.4195749308651,400.5452085553419,217.68670175406052,402.63552622355405,305.9871299181271,147.0333856361501,143.1843102546145,510.3692845242268,196.21153016618192
2022-03-14 21:00:00,470.5983717523955,341.5829343767476,406.69276666495017,221.02775195298491,408.815166477845,310.68341293883395,149.2900504593564,143.1843102546145,518.2024198781312,199.22297995439
2022-03-14 22:00:00,470.5983717523955,345.856059435409,411.7804009625571,223.7927590141638,413.92935151587915,314.5699919904535,151.1576351406306,143.1843102546145,518.2024198781312,201.7152142618726
2022-03-14 23:00:00,470.5983717523955,347.9035985260176,414.2182257301604,225.11765823097866,416.37989851327046,316.4323111193545,152.0525194670745,143.1843102546145,518.2024198781312,202.90940986754137
2022-03-15 00:00:00,470.5983717523955,341.31586406058125,406.3747895213498,220.85493901166126,408.495529912968,310.44050174810775,149.17332641677677,143.1843102546145,518.2024198781312,199.06721531017234
2022-03-15 01:00:00,470.5983717523955,343.3634031511898,408.81261428895306,222.1798382284761,410.9460769103593,312.30282087700874,150.06821074322062,143.1843102546145,518.2024198781312,200.26141091584108
2022-03-15 02:00:00,470.5983717523955,340.51465311208216,405.4208580905485,220.33650018769018,407.53662021833657,309.711768175929,148.82315428903783,143.1843102546145,518.2024198781312,198.59992137751934
2022-03-15 03:00:00,470.5983717523955,340.78172342824854,405.7388352341489,220.50931312901386,407.85625678321367,309.9546793666553,148.93987833161748,143.1843102546145,518.2024198781312,198.75568602173698
2022-03-15 04:00:00,470.5983717523955,337.8439499504188,402.24108665454423,218.60837077445342,404.34025456956533,307.28265626866687,147.65591386324147,143.1843102546145,518.2024198781312,197.0422749353427
2022-03-15 05:00:00,470.5983717523955,338.28906714402933,402.7710485605449,218.8963923433262,404.87298217769387,307.6875082532106,147.85045393420754,143.1843102546145,518.2024198781312,197.3018826757055
2022-03-15 06:00:00,470.5983717523955,336.50859836958705,400.65120093654207,217.74430606783503,402.74207174517966,307.6875082532106,147.07229365034328,143.1843102546145,518.2024198781312,196.26345171425442
2022-03-15 07:00:00,470.5983717523955,334.01594208536795,397.683414262938,216.13138528214733,399.75879713965986,307.6875082532106,145.98286925293334,143.1843102546145,518.2024198781312,194.8096483682229
2022-03-15 08:00:00,470.5983717523955,341.1378171831369,406.1628047589495,216.13138528214733,408.28243886971654,307.6875082532106,149.0955103883903,143.1843102546145,518.2024198781312,194.8096483682229
2022-03-15 09:00:00,468.38783660324543,339.53539528613896,404.2549418973469,216.13138528214733,406.3646194804538,306.2422120244637,148.39516613291252,143.1843102546145,518.2024198781312,194.8096483682229
2022-03-15 10:00:00,478.94928231585135,347.1914110162407,413.3702866805593,211.36541114515643,415.52753434026476,313.14751622847626,151.74125535352877,143.1843102546145,518.2024198781312,194.8096483682229
2022-03-15 11:00:00,480.30016490699865,348.17066884218394,414.53620287376083,211.36541114515643,416.69953507814756,314.0307528127105,152.16924350965414,143.58816343738394,519.6640164470183,194.8096483682229
2022-03-15 12:00:00,475.26505706726795,344.5207078545773,410.19051524455494,211.36541114515643,412.3311686914935,310.738689180565,150.57401492773246,142.0828924834252,514.2162474175302,194.8096483682229
2022-03-15 13:00:00,473.79136696783445,343.4524265899119,408.91860667015317,211.36541114515643,411.0526224319849,309.77515836140043,150.10711875741387,141.64232537494945,512.6217784332898,194.8096483682229
2022-03-15 14:00:00,474.0369819844068,343.63047346735624,409.13059143255356,211.36541114515643,411.26571347523645,309.9357468312612,150.1849347858003,141.7157532263621,512.8875232639965,194.8096483682229
