Date,TRU,DOT,BNT,AVA,STPT,CHR,STORJ,1INCH,KMD,ASR
2021-11-16 16:00:00,6549.054365214716,12420.915701670267,3390.663441740442,5258.409743466417,4059.7990438641923,3288.787363083338,5440.890953163129,1101.414749206058,5746.4816837632725,2653.9832157226924
2021-11-16 17:00:00,6533.97132890607,12420.915701670267,3382.8544517778896,5258.409743466417,4069.1706944732964,3288.787363083338,5440.890953163129,1098.878096167813,5733.2470414699455,2647.87086377492
2021-11-16 18:00:00,6672.131941493281,12683.55556276745,3454.3847998348742,5369.598647552643,4069.1706944732964,3288.787363083338,5440.890953163129,1122.113837998139,5854.476364876837,2703.860007616514
2021-11-16 19:00:00,6474.845826576171,12308.519603908151,3352.2432111246826,5210.826719010304,4069.1706944732964,3288.787363083338,5280.011005456794,1088.9344162578918,5681.367243680097,2623.910444139653
2021-11-16 20:00:00,6629.899439829068,12603.27263579451,3432.519627939726,5335.610772941133,4069.1706944732964,3288.787363083338,5406.451820626605,1115.0112094910523,5817.419366455516,2686.7454221627518
2021-11-16 21:00:00,6643.172511780677,12628.504412843145,3439.391539106772,5346.292676390464,4069.1706944732964,3288.787363083338,5417.275547995226,1117.243464164708,5829.065851673645,2692.1242918767907
2021-11-16 22:00:00,6416.926967150966,12198.417304059554,3322.25668966848,5164.21477668595,4069.1706944732964,3288.787363083338,5232.78019512099,1079.1936685910305,5630.546217273716,2600.439012660208
2021-11-16 23:00:00,6611.799796258692,12568.865667091826,3423.148839984663,5321.044540964773,3949.2380241279297,3288.787363083338,5391.6921923966665,1111.9672258451583,5801.5377957035225,2679.4105998254254
2021-11-17 00:00:00,6600.9400101164665,12548.221485870215,3417.5263672116253,5312.304801778956,3949.2380241279297,3288.787363083338,5382.836415458703,1110.1408356576217,5792.008853252326,2675.0097064230285
2021-11-17 01:00:00,6549.657686667064,12450.735074545933,3390.975801338945,5271.033811179265,3949.2380241279297,3288.787363083338,5341.017468807209,1101.5162153275878,5747.011069455008,2654.227709800603
