reference_coin,trading_coin,trading_type,is_sharpe,is_return,is_trades,oos_trades,oos_total_return,oos_mean_return
DUSK,ADA,both,2.704003,0.877098,161,385,-0.588704,-0.001529
RVN,ADA,both,2.668345,0.305428,79,307,0.927141,0.003020
XTZ,ADA,both,2.344450,0.340807,95,288,0.878242,0.003049
KAVA,ALGO,both,3.708881,0.626258,69,390,-3.462369,-0.008878
RLC,ALGO,both,2.979023,0.258439,40,409,-4.092051,-0.010005
THETA,ALGO,both,2.126778,1.658296,206,349,-1.081719,-0.003099
FTT,ANKR,both,3.104953,0.014817,4,400,-3.394165,-0.008485
FTT,ARPA,both,4.397263,0.065508,4,413,-1.962107,-0.004751
KAVA,ARPA,both,3.214537,0.506870,49,417,-2.891325,-0.006934
ANKR,ATOM,both,3.159585,1.969598,171,380,-0.696269,-0.001832
BCH,ATOM,both,4.902067,0.365948,22,283,0.960568,0.003394
COS,ATOM,both,2.933341,1.820203,153,404,-1.065519,-0.002637
DUSK,ATOM,both,2.113009,0.990728,178,405,-2.005974,-0.004953
KAVA,ATOM,both,2.892818,0.387175,67,391,-1.645297,-0.004208
MTL,ATOM,both,3.280414,1.396695,124,380,-0.846496,-0.002228
RVN,BAT,both,2.738014,0.465992,87,318,-0.616190,-0.001938
ANKR,BCH,both,2.929172,0.091254,21,360,-0.576512,-0.001601
BAND,BCH,both,2.241765,0.065655,25,355,0.084449,0.000238
CHZ,BCH,both,6.202230,0.262123,23,366,-1.563886,-0.004273
COS,BCH,both,2.282275,0.064848,17,403,-0.097240,-0.000241
DOGE,BCH,both,5.836804,0.245665,19,307,-1.869551,-0.006090
FET,BCH,both,4.982066,0.295814,21,342,-0.130723,-0.000382
FTT,BCH,both,5.185955,0.037495,4,284,-1.434125,-0.005050
HBAR,BCH,both,3.276322,0.120705,29,307,-0.565931,-0.001843
ICX,BCH,both,2.537124,0.064593,21,314,-1.196773,-0.003811
KAVA,BCH,both,2.111242,0.078088,34,374,-0.973358,-0.002603
MTL,BCH,both,4.534972,0.231859,25,350,-0.457758,-0.001308
RLC,BCH,both,3.816300,0.168567,26,364,-0.701462,-0.001927
RVN,BCH,both,3.316832,0.102333,23,311,-0.943601,-0.003034
THETA,BCH,both,5.329732,0.204007,24,366,-1.149738,-0.003141
TUSD,BCH,both,3.862430,0.123272,30,441,0.110725,0.000251
USDC,BCH,both,4.598656,0.174879,28,422,0.403088,0.000955
VET,BCH,both,4.118595,0.169039,20,297,-2.055002,-0.006919
WAN,BCH,both,4.594715,0.198126,26,339,-0.865955,-0.002554
WIN,BCH,both,5.252337,0.247219,20,321,0.143456,0.000447
XTZ,BCH,both,6.483160,0.257077,23,301,-0.959396,-0.003187
ZEC,BCH,both,2.245247,0.060017,21,260,-2.505426,-0.009636
ANKR,BNB,both,2.492785,0.801891,133,350,0.168352,0.000481
KAVA,BNB,both,3.095976,0.320335,55,368,-0.347484,-0.000944
LINK,BNB,both,2.071838,2.125880,327,292,-0.318930,-0.001092
TUSD,BNB,both,3.104129,13.069121,469,420,0.982469,0.002339
USDC,BNB,both,3.512108,8.984785,379,416,1.182931,0.002844
BCH,BTC,both,3.322691,0.034696,11,196,0.621123,0.003169
CELR,BTC,both,2.392190,2.070824,235,339,0.356286,0.001051
DUSK,BTC,both,2.319857,0.644159,134,341,0.488796,0.001433
FET,BTC,both,2.182626,1.701008,257,320,0.144012,0.000450
HOT,BTC,both,2.118512,1.445877,219,295,0.620130,0.002102
NKN,BTC,both,2.063115,0.236285,71,341,0.622180,0.001825
RLC,BTC,both,2.372942,0.163347,37,331,0.171843,0.000519
TFUEL,BTC,both,3.221271,1.689816,177,340,0.573208,0.001686
TUSD,BTC,both,2.032709,3.198495,438,406,1.241599,0.003058
BCH,CELR,both,2.170090,0.097001,23,358,-0.879370,-0.002456
TUSD,CHZ,both,2.778988,1.270609,118,450,-1.988970,-0.004420
USDC,CHZ,both,2.491509,1.078034,123,427,-1.343470,-0.003146
FTT,COS,both,5.724610,0.037380,3,427,-4.802281,-0.011247
FTT,CVC,both,3.606360,0.044642,10,373,0.015482,0.000042
ARPA,DASH,both,2.075060,0.176031,47,370,0.313880,0.000848
RLC,DASH,both,3.598310,0.414009,36,360,-0.925237,-0.002570
RLC,DUSK,both,3.175042,0.392764,48,425,-3.210154,-0.007553
BCH,ENJ,both,3.438928,0.214793,26,351,-2.408170,-0.006861
BCH,ETC,both,6.746663,0.285677,13,220,-0.429317,-0.001951
CHZ,ETC,both,2.453888,0.490902,114,363,-0.240720,-0.000663
RLC,ETC,both,2.877067,0.180751,44,368,-0.825782,-0.002244
ANKR,ETH,both,2.648617,0.817887,154,360,0.403648,0.001121
BAT,ETH,both,2.105143,1.535284,271,279,1.184700,0.004246
BTC,ETH,both,2.377829,4.590321,194,163,0.869856,0.005337
COS,ETH,both,2.348325,0.612073,127,396,0.480458,0.001213
DENT,ETH,both,2.388659,0.527114,120,335,0.747656,0.002232
DUSK,ETH,both,2.570022,0.727282,158,370,-0.244604,-0.000661
ENJ,ETH,both,2.044023,1.324474,228,321,1.075824,0.003351
FET,ETH,both,2.630157,2.320213,289,319,0.641968,0.002012
IOTX,ETH,both,2.040308,0.124385,42,390,0.809270,0.002075
KAVA,ETH,both,3.130473,0.269050,52,358,-0.156995,-0.000439
RLC,ETH,both,2.034488,0.155790,40,336,0.065246,0.000194
TFUEL,ETH,both,2.968865,1.656268,199,388,0.751338,0.001936
WIN,ETH,both,2.286744,0.605186,128,319,1.125295,0.003528
ARPA,FET,both,3.275843,0.710177,45,398,-1.326265,-0.003332
TUSD,FET,both,2.259987,4.091523,326,466,-1.330333,-0.002855
USDC,FET,both,2.523431,5.782109,320,434,-0.624203,-0.001438
ADA,FTT,both,11.004090,0.016617,5,296,0.291027,0.000983
ALGO,FTT,both,28.007576,0.022316,4,357,0.300396,0.000841
ANKR,FTT,both,3.579372,0.005920,4,400,0.343653,0.000859
ARPA,FTT,both,11.640262,0.018010,4,413,0.087999,0.000213
ATOM,FTT,both,12.861974,0.030231,6,347,-0.438612,-0.001264
BTC,FTT,both,2.075963,0.002175,3,194,0.579528,0.002987
CELR,FTT,both,2.991858,0.005360,5,389,0.165978,0.000427
CHZ,FTT,both,6.143131,0.010993,5,379,0.507533,0.001339
COS,FTT,both,10.226164,0.020039,3,427,0.426548,0.000999
DOGE,FTT,both,2.627120,0.005353,5,343,-0.082344,-0.000240
DUSK,FTT,both,5.154872,0.007814,8,389,0.405808,0.001043
ENJ,FTT,both,5.675281,0.010281,6,380,-0.021569,-0.000057
ETH,FTT,both,4.614324,0.006678,5,202,0.191522,0.000948
FUN,FTT,both,12.010790,0.021223,3,416,0.134222,0.000323
