total_cumulative_return,growth_factor,profit_factor,max_drawdown,sharpe_ratio,volatility,num_trades,trading_coin,reference_coin,trading_type
0.877098,1.877098,1.525240,0.160300,2.704003,0.616410,161,ADA,DUSK,both
0.305428,1.305428,1.543629,0.116550,2.668345,0.457449,79,ADA,RVN,both
0.340807,1.340807,1.419087,0.153183,2.344450,0.575762,95,ADA,XTZ,both
0.626258,1.626258,1.691217,0.139457,3.708881,0.903764,69,ALGO,KAVA,both
0.258439,1.258439,1.474891,0.099553,2.979023,0.812058,40,ALGO,RLC,both
1.658296,2.658296,1.419367,0.434740,2.126778,1.267533,206,ALGO,THETA,both
0.014817,1.014817,1.660375,0.016613,3.104953,0.457919,4,ANKR,FTT,both
0.065508,1.065508,2.166848,0.051895,4.397263,1.509787,4,ARPA,FTT,both
0.506870,1.506870,1.634154,0.232170,3.214537,1.236113,49,ARPA,KAVA,both
1.969598,2.969598,1.592500,0.266170,3.159585,0.961602,171,ATOM,ANKR,both
0.365948,1.365948,2.199380,0.101286,4.902067,0.990488,22,ATOM,BCH,both
1.820203,2.820203,1.619814,0.256932,2.933341,1.089106,153,ATOM,COS,both
0.990728,1.990728,1.357700,0.248600,2.113009,0.991764,178,ATOM,DUSK,both
0.387175,1.387175,1.462981,0.229331,2.892818,0.826056,67,ATOM,KAVA,both
1.396695,2.396695,1.629277,0.361031,3.280414,0.922858,124,ATOM,MTL,both
0.465992,1.465992,1.478581,0.159163,2.738014,0.656488,87,BAT,RVN,both
0.091254,1.091254,1.687953,0.048007,2.929172,0.471248,21,BCH,ANKR,both
0.065655,1.065655,1.410619,0.058685,2.241765,0.458510,25,BCH,BAND,both
0.262123,1.262123,3.963770,0.044327,6.202230,0.551943,23,BCH,CHZ,both
0.064848,1.064848,1.735336,0.040120,2.282275,0.441159,17,BCH,COS,both
0.245665,1.245665,4.010101,0.039849,5.836804,0.578344,19,BCH,DOGE,both
0.295814,1.295814,3.973263,0.032194,4.982066,0.823032,21,BCH,FET,both
0.037495,1.037495,2.011418,0.029977,5.185955,0.928066,4,BCH,FTT,both
0.120705,1.120705,1.695267,0.057436,3.276322,0.529293,29,BCH,HBAR,both
0.064593,1.064593,1.612126,0.047550,2.537124,0.372140,21,BCH,ICX,both
0.078088,1.078088,1.396686,0.067749,2.111242,0.572851,34,BCH,KAVA,both
0.231859,1.231859,2.886475,0.040488,4.534972,0.725546,25,BCH,MTL,both
0.168567,1.168567,2.173202,0.074250,3.816300,0.647750,26,BCH,RLC,both
0.102333,1.102333,1.881127,0.054395,3.316832,0.459060,23,BCH,RVN,both
0.204007,1.204007,3.035815,0.048047,5.329732,0.513547,24,BCH,THETA,both
0.123272,1.123272,1.952932,0.036718,3.862430,0.447508,30,BCH,TUSD,both
0.174879,1.174879,2.379497,0.037524,4.598656,0.520469,28,BCH,USDC,both
0.169039,1.169039,2.500313,0.041090,4.118595,0.570068,20,BCH,VET,both
0.198126,1.198126,2.669795,0.032178,4.594715,0.588120,26,BCH,WAN,both
0.247219,1.247219,3.391970,0.053836,5.252337,0.653736,20,BCH,WIN,both
0.257077,1.257077,3.799851,0.060088,6.483160,0.561504,23,BCH,XTZ,both
0.060017,1.060017,1.473012,0.048270,2.245247,0.398202,21,BCH,ZEC,both
0.801891,1.801891,1.611411,0.194028,2.492785,0.641662,133,BNB,ANKR,both
0.320335,1.320335,1.779361,0.109537,3.095976,0.624844,55,BNB,KAVA,both
2.125880,3.125880,1.418767,0.291573,2.071838,0.700843,327,BNB,LINK,both
13.069121,14.069121,1.707993,0.266729,3.104129,0.773643,469,BNB,TUSD,both
8.984785,9.984785,1.802871,0.190662,3.512108,0.708513,379,BNB,USDC,both
0.034696,1.034696,1.967576,0.019652,3.322691,0.159835,11,BTC,BCH,both
2.070824,3.070824,1.629561,0.208635,2.392190,0.728858,235,BTC,CELR,both
0.644159,1.644159,1.565500,0.118825,2.319857,0.580476,134,BTC,DUSK,both
1.701008,2.701008,1.532153,0.262898,2.182626,0.649023,257,BTC,FET,both
1.445877,2.445877,1.575252,0.193697,2.118512,0.576561,219,BTC,HOT,both
0.236285,1.236285,1.542141,0.118396,2.063115,0.601338,71,BTC,NKN,both
0.163347,1.163347,1.711737,0.158307,2.372942,0.667348,37,BTC,RLC,both
1.689816,2.689816,1.872661,0.162014,3.221271,0.582336,177,BTC,TFUEL,both
3.198495,4.198495,1.467398,0.288902,2.032709,0.669601,438,BTC,TUSD,both
0.097001,1.097001,1.407494,0.114657,2.170090,0.708063,23,CELR,BCH,both
1.270609,2.270609,1.594537,0.284627,2.778988,1.237523,118,CHZ,TUSD,both
1.078034,2.078034,1.487869,0.343305,2.491509,1.286694,123,CHZ,USDC,both
0.037380,1.037380,3.264724,0.016827,5.724610,0.609655,3,COS,FTT,both
0.044642,1.044642,1.335251,0.085205,3.606360,1.319759,10,CVC,FTT,both
0.176031,1.176031,1.447721,0.192660,2.075060,0.747194,47,DASH,ARPA,both
0.414009,1.414009,2.111156,0.158265,3.598310,1.008615,36,DASH,RLC,both
0.392764,1.392764,1.611402,0.172180,3.175042,1.141600,48,DUSK,RLC,both
0.214793,1.214793,1.696992,0.099138,3.438928,0.908486,26,ENJ,BCH,both
0.285677,1.285677,6.118817,0.035445,6.746663,0.570211,13,ETC,BCH,both
0.490902,1.490902,1.530514,0.116224,2.453888,0.625246,114,ETC,CHZ,both
0.180751,1.180751,1.575841,0.113423,2.877067,0.583542,44,ETC,RLC,both
0.817887,1.817887,1.593854,0.144432,2.648617,0.604124,154,ETH,ANKR,both
1.535284,2.535284,1.483730,0.143951,2.105143,0.639031,271,ETH,BAT,both
4.590321,5.590321,1.827646,0.343454,2.377829,0.688130,194,ETH,BTC,both
0.612073,1.612073,1.567562,0.243200,2.348325,0.588929,127,ETH,COS,both
0.527114,1.527114,1.670963,0.155193,2.388659,0.617602,120,ETH,DENT,both
0.727282,1.727282,1.522911,0.144497,2.570022,0.563908,158,ETH,DUSK,both
1.324474,2.324474,1.472079,0.365018,2.044023,0.722136,228,ETH,ENJ,both
2.320213,3.320213,1.556141,0.243009,2.630157,0.632698,289,ETH,FET,both
0.124385,1.124385,1.420166,0.214668,2.040308,0.629216,42,ETH,IOTX,both
0.269050,1.269050,1.875541,0.069304,3.130473,0.510840,52,ETH,KAVA,both
0.155790,1.155790,1.560228,0.184437,2.034488,0.783732,40,ETH,RLC,both
1.656268,2.656268,1.718617,0.180828,2.968865,0.627955,199,ETH,TFUEL,both
0.605186,1.605186,1.546031,0.239797,2.286744,0.594067,128,ETH,WIN,both
0.710177,1.710177,1.827674,0.168624,3.275843,1.638911,45,FET,ARPA,both
4.091523,5.091523,1.441971,0.336598,2.259987,1.165687,326,FET,TUSD,both
5.782109,6.782109,1.500025,0.374859,2.523431,1.197474,320,FET,USDC,both
0.016617,1.016617,2.507654,0.011029,11.004090,0.276545,5,FTT,ADA,both
0.022316,1.022316,inf,0.000000,28.007576,0.072174,4,FTT,ALGO,both
0.005920,1.005920,1.718957,0.006021,3.579372,0.153026,4,FTT,ANKR,both
0.018010,1.018010,4.228763,0.000000,11.640262,0.140877,4,FTT,ARPA,both
0.030231,1.030231,4.618917,0.007841,12.861974,0.213287,6,FTT,ATOM,both
0.002175,1.002175,1.369357,0.005078,2.075963,0.130108,3,FTT,BTC,both
0.005360,1.005360,1.340521,0.012919,2.991858,0.224184,5,FTT,CELR,both
0.010993,1.010993,1.926867,0.002768,6.143131,0.219913,5,FTT,CHZ,both
0.020039,1.020039,9.613501,0.002325,10.226164,0.178661,3,FTT,COS,both
0.005353,1.005353,1.361033,0.008291,2.627120,0.191082,5,FTT,DOGE,both
0.007814,1.007814,1.774363,0.003209,5.154872,0.139490,8,FTT,DUSK,both
0.010281,1.010281,1.639213,0.010059,5.675281,0.337520,6,FTT,ENJ,both
0.006678,1.006678,1.636545,0.005548,4.614324,0.178351,5,FTT,ETH,both
0.021223,1.021223,5.157197,0.005100,12.010790,0.214755,3,FTT,FUN,both
0.010987,1.010987,2.196142,0.007841,8.903474,0.226529,5,FTT,HOT,both
0.020820,1.020820,45.425754,0.000000,19.868813,0.126885,3,FTT,ICX,both
0.026041,1.026041,5.306111,0.006007,16.057976,0.146999,5,FTT,IOST,both
0.007215,1.007215,1.512666,0.006472,3.611247,0.185603,5,FTT,IOTX,both
0.014084,1.014084,1.884579,0.011063,4.974848,0.262562,6,FTT,LINK,both
0.008580,1.008580,1.476607,0.018747,3.783959,0.430935,4,FTT,LTC,both
0.013284,1.013284,2.003375,0.008318,7.624447,0.321460,4,FTT,MTL,both
0.020383,1.020383,4.687673,0.005067,10.289025,0.180567,6,FTT,ONE,both
0.038521,1.038521,82.788339,0.000000,17.462263,0.199156,5,FTT,ONG,both
0.011603,1.011603,1.434764,0.013818,3.281749,0.335215,6,FTT,RLC,both
0.007802,1.007802,2.136918,0.005982,7.152120,0.200716,5,FTT,RVN,both
0.022812,1.022812,inf,0.000000,27.872199,0.098868,4,FTT,STX,both
0.021340,1.021340,inf,0.000000,20.667573,0.093634,4,FTT,TFUEL,both
0.028448,1.028448,3.707205,0.010517,9.267632,0.280327,5,FTT,THETA,both
0.023907,1.023907,4.683974,0.006481,10.336119,0.210798,4,FTT,TRX,both
0.036356,1.036356,6.568837,0.005100,12.032666,0.274349,4,FTT,TUSD,both
0.032989,1.032989,4.381220,0.005100,10.339989,0.290635,4,FTT,USDC,both
0.040909,1.040909,inf,0.000000,28.896224,0.127456,4,FTT,WAN,both
0.016476,1.016476,2.060538,0.011966,6.087900,0.249519,6,FTT,WIN,both
0.022489,1.022489,3.564925,0.007383,8.853360,0.232154,5,FTT,XRP,both
0.041274,1.041274,inf,0.000000,194.187874,0.038399,2,FTT,XTZ,both
0.179080,1.179080,5.279452,0.024203,7.263650,2.370562,4,HBAR,FTT,both
1.200904,2.200904,1.474048,0.199638,2.293514,1.021813,171,IOST,DUSK,both
0.730950,1.730950,1.575149,0.202500,3.048133,1.059966,89,IOST,NKN,both
0.393248,1.393248,1.788724,0.228217,3.694876,0.930154,44,IOST,RLC,both
0.495161,1.495161,1.418529,0.274038,2.203660,0.933397,92,IOST,RVN,both
0.169437,1.169437,1.780443,0.093457,2.881806,0.543959,38,IOTA,RLC,both
0.439768,1.439768,1.492477,0.207237,2.821363,0.961137,57,KAVA,BTC,both
0.633141,1.633141,1.689363,0.161429,3.301423,1.116867,58,KAVA,DASH,both
0.689260,1.689260,1.702995,0.157583,3.437073,1.121667,52,KAVA,ETH,both
