total_cumulative_return,growth_factor,profit_factor,max_drawdown,sharpe_ratio,volatility,num_trades,trading_coin,reference_coin,trading_type
7.899420,8.899420,1.658309,0.373680,2.555457,0.775149,412,1000LUNC,IOTA,both
4.779499,5.779499,1.516841,0.494511,2.089971,0.828082,389,1000LUNC,LINK,both
3.751492,4.751492,1.481322,0.484338,2.093490,0.695165,386,1000LUNC,SXP,both
7.552773,8.552773,1.810314,0.342157,3.045986,0.522877,362,1000SHIB,ADA,both
3.881209,4.881209,1.557300,0.316139,2.279829,0.531292,376,1000SHIB,ALGO,both
3.138089,4.138089,1.543413,0.323554,2.104141,0.520512,356,1000SHIB,FIL,both
3.080640,4.080640,1.500355,0.268658,2.139071,0.498479,387,1000SHIB,FLOW,both
3.582271,4.582271,1.445588,0.478058,2.110635,0.557865,428,1000SHIB,IMX,both
5.342543,6.342543,1.653198,0.304219,2.786068,0.546189,438,1000SHIB,INJ,both
4.367265,5.367265,1.585023,0.416292,2.455035,0.514824,412,1000SHIB,OP,both
3.668715,4.668715,1.468945,0.461908,2.229800,0.527607,477,1000SHIB,SNX,both
2.676914,3.676914,1.468888,0.246664,2.217876,0.499286,409,1000SHIB,STG,both
5.234248,6.234248,1.651986,0.191044,2.722565,0.496759,395,1000SHIB,THETA,both
2.888859,3.888859,1.445817,0.454772,2.130825,0.481733,459,1000SHIB,TRB,both
3.802655,4.802655,1.483328,0.368827,2.132871,0.570435,453,1000SHIB,WOO,both
2.840616,3.840616,1.492017,0.352523,2.115028,0.490515,380,1INCH,ALGO,both
2.923200,3.923200,1.447758,0.369552,2.068560,0.508544,385,1INCH,IOTA,both
3.287489,4.287489,1.475406,0.253667,2.200472,0.508669,385,1INCH,LINK,both
3.091739,4.091739,1.392686,0.345751,2.010304,0.546089,457,1INCH,MKR,both
3.234836,4.234836,1.476588,0.431530,2.183369,0.499200,390,1INCH,ROSE,both
2.618887,3.618887,1.484370,0.292311,2.082958,0.473037,351,1INCH,ZIL,both
4.108519,5.108519,1.417463,0.388583,2.046002,0.635394,448,AAVE,AR,both
3.356525,4.356525,1.456255,0.219280,2.283260,0.540872,461,AAVE,INJ,both
7.630558,8.630558,1.515813,0.322949,2.615663,0.626974,576,AAVE,XMR,both
4.106584,5.106584,1.504729,0.329508,2.252627,0.556687,440,ADA,OP,both
4.304211,5.304211,1.473364,0.433405,2.166739,0.601446,417,ALICE,AAVE,both
5.655536,6.655536,1.573747,0.252741,2.436268,0.602656,401,ALICE,ADA,both
7.785145,8.785145,1.655762,0.244873,2.767912,0.597893,385,ALICE,ALGO,both
8.276646,9.276646,1.706336,0.324817,2.951750,0.558966,374,ALICE,ANKR,both
2.951871,3.951871,1.453807,0.214313,2.183404,0.631011,341,ALICE,APT,both
4.187370,5.187370,1.412432,0.319869,2.068843,0.630437,442,ALICE,ATOM,both
6.853599,7.853599,1.583054,0.323288,2.602716,0.602780,391,ALICE,AVAX,both
3.574750,4.574750,1.463413,0.435785,2.010609,0.592176,401,ALICE,BAKE,both
4.034375,5.034375,1.490195,0.340299,2.005369,0.652178,385,ALICE,BAT,both
15.328624,16.328624,1.806185,0.197151,3.604158,0.565810,464,ALICE,COMP,both
3.690953,4.690953,1.459877,0.289579,2.095684,0.572960,378,ALICE,DASH,both
3.548366,4.548366,1.537966,0.221863,2.076798,0.568673,311,ALICE,DEFI,both
5.805590,6.805590,1.568644,0.278670,2.680299,0.536854,412,ALICE,DOT,both
4.710752,5.710752,1.495865,0.278481,2.222920,0.609091,410,ALICE,DUSK,both
