Date,FUN,EOS,ZEC,TRX,LTC,DASH,NEO,BCH,VET,FIL
2021-06-09 12:00:00,491.7863542991029,5347.5456751992915,4341.476039899263,1181.2492762873085,2468.3895699308127,2136.444644112154,4611.710109984552,1089.5226303872837,1304.202846346222,4780.5227527031375
2021-06-09 13:00:00,502.90697328584645,5229.297129987136,4245.474386622616,1155.1286936989834,2413.806870990089,2089.202135784603,4509.732858256724,1065.4303694054802,1275.3634312932138,4674.812601692659
2021-06-09 14:00:00,492.5262999139973,5339.5118037623715,4334.953634581104,1179.4746294872523,2464.6811912342027,2133.2349620177124,4604.781719208988,1087.8857888768425,1302.2434805676735,4773.340746689686
2021-06-09 15:00:00,496.49489745809535,5382.535645199456,4369.8831121561725,1188.9784064809405,2484.540694623615,2150.423792406518,4604.781719208988,1096.6515763500183,1302.2434805676735,4773.340746689686
2021-06-09 16:00:00,504.627100229834,5470.697419906452,4441.458420862844,1208.4529540386782,2525.2355513618377,2185.6460724632775,4604.781719208988,1114.613881772458,1302.2434805676735,4773.340746689686
2021-06-09 17:00:00,506.76323004140653,5493.855351463105,4460.259495429279,1213.5684390766978,2535.9250901124324,2194.8980998133916,4624.274155310233,1119.3321379663137,1302.2434805676735,4793.546707616386
2021-06-09 18:00:00,501.822810509289,5440.2959203994515,4416.776559369116,1201.7373967584024,2511.2024324599524,2173.5001040621214,4579.192245249602,1108.4198025214473,1302.2434805676735,4746.814564519715
2021-06-09 19:00:00,498.77624677146366,5407.2679114548055,4389.962331274951,1194.4416551167715,2495.9569352269614,2160.304795952323,4551.391992350077,1101.6905915212096,1302.2434805676735,4717.996677369926
2021-06-09 20:00:00,497.851731022119,5397.245172045252,4381.825237055722,1192.2276761452856,2491.3305090263552,2156.300523856026,4542.955677257678,1099.6485329641732,1302.2434805676735,4709.2515491449585
2021-06-09 21:00:00,493.8964282413548,5354.365460060262,4347.012772892211,1182.7557367124748,2471.537534780943,2139.1692758825357,4506.863073569719,1090.9121107941291,1302.2434805676735,4671.837767918549
2021-06-09 22:00:00,498.4321158436855,5403.537164180534,4386.9334745085125,1193.6175494830072,2494.2348484568433,2158.8142925481875,4548.251757106022,1100.9304795314372,1302.2434805676735,4714.741493137823
2021-06-09 23:00:00,505.86996409769137,5484.171393365438,4452.397445321433,1211.4292954042057,2531.4550429887977,2191.0291771957654,4616.122998374471,1117.3591035800785,1321.6761958569678,4785.097175823853
2021-06-10 00:00:00,512.7287981679342,5558.528489594621,4512.765242304009,1227.8544503149722,2565.77775698331,2220.736229671694,4678.71066702595,1132.5088085086973,1339.596132531093,4849.975879578292
2021-06-10 01:00:00,506.8000070913394,5494.254054014133,4460.5831873951765,1213.6565107133815,2536.1091284130357,2195.057388949282,4624.609750222079,1119.4133706436055,1324.1061003246518,4793.894587052325
2021-06-10 02:00:00,514.4410837133335,5577.091496042536,4527.835865841808,1231.954936643497,2574.346310537719,2228.1524983887984,4694.335474282496,1136.2908829109463,1344.0697862493976,4866.1726362726895
2021-06-10 03:00:00,504.00795566535453,5463.985230707923,4436.00904083869,1206.970261021237,2522.1372519146935,2182.964427175053,4599.131952141852,1113.246323181018,1316.8113641884297,4767.484168681141
2021-06-10 04:00:00,504.0443338740687,5464.379609393615,4436.329222417039,1207.057377535121,2522.31929434939,2183.121988845766,4599.463907580606,1113.3266749029299,1316.9064087965658,4767.828275420292
2021-06-10 05:00:00,496.8834924730639,5386.748430729223,4373.303318087941,1189.9089922412961,2486.4852868709077,2152.106879121159,4534.120386468714,1097.5099000466137,1298.1974236942456,4700.092840632048
2021-06-10 06:00:00,497.343526093006,5391.735687134084,4377.352288494487,1191.0106552053403,2488.7873694411273,2152.106879121159,4538.318247428551,1097.5099000466137,1298.1974236942456,4704.44436519725
2021-06-10 07:00:00,505.49158386154636,5480.069346961906,4449.067144421325,1210.5231714288757,2529.5615671453265,2152.106879121159,4612.6702341580485,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 08:00:00,505.49158386154636,5480.069346961906,4321.947960822751,1175.935984433475,2457.286685503893,2152.106879121159,4480.876567004509,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 09:00:00,505.49158386154636,5480.069346961906,4321.947960822751,1188.0211423128055,2457.286685503893,2152.106879121159,4526.926778467449,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 10:00:00,502.4871228729305,5480.069346961906,4321.947960822751,1195.1245346451742,2457.286685503893,2152.106879121159,4553.994088822515,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 11:00:00,502.2956034473615,5480.069346961906,4321.947960822751,1195.5802216207078,2457.286685503893,2152.106879121159,4555.730473385609,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 12:00:00,501.6851352783599,5480.069346961906,4321.947960822751,1197.0350458071616,2457.286685503893,2152.106879121159,4561.274046924039,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 13:00:00,497.842776802879,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4596.478032619565,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 14:00:00,492.09719403580465,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4650.145164425102,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 15:00:00,482.66486232652477,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4741.019216196223,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 16:00:00,485.4538639613753,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4713.781385113924,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 17:00:00,495.1255949526169,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4781.518022428978
2021-06-10 18:00:00,490.12214995962296,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4733.198843109391
2021-06-10 19:00:00,492.1331039280989,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4752.618991735445
2021-06-10 20:00:00,488.03937620655864,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4713.085117746694
2021-06-10 21:00:00,494.3834571785364,5480.069346961906,4321.947960822751,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4774.3510628169815
2021-06-10 22:00:00,492.0253742512164,5480.069346961906,4301.33337198245,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4751.5786266304785
2021-06-10 23:00:00,483.58654956207624,5480.069346961906,4227.560351005743,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4670.08336007472
2021-06-11 00:00:00,478.7985639228476,5480.069346961906,4185.703317827467,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4623.844910965068
2021-06-11 01:00:00,481.3481662757369,5480.069346961906,4207.992187994898,1206.2737813437948,2457.286685503893,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4648.466885115958
2021-06-11 02:00:00,480.84542778361794,5480.069346961906,4203.5971995111795,1206.2737813437948,2459.85585333121,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4643.611847959445
2021-06-11 03:00:00,478.61901446137654,5480.069346961906,4184.133679083281,1206.2737813437948,2471.298474031963,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4643.611847959445
2021-06-11 04:00:00,471.6764352844954,5480.069346961906,4184.133679083281,1206.2737813437948,2507.67337861104,2152.106879121159,4621.702878219716,1097.5099000466137,1298.1974236942456,4643.611847959445
2021-06-11 05:00:00,471.6764352844954,5480.069346961906,4184.133679083281,1206.2737813437948,2571.428892582701,2206.822410007528,4621.702878219716,1097.5099000466137,1331.203015527005,4643.611847959445
2021-06-11 06:00:00,471.6764352844954,5437.478500995434,4184.133679083281,1206.2737813437948,2551.44386594459,2189.6710881192207,4621.702878219716,1088.9801037721418,1320.8569671479188,4643.611847959445
2021-06-11 07:00:00,471.6764352844954,5433.830599020826,4184.133679083281,1206.2737813437948,2549.7321502817185,2188.2020790032066,4621.702878219716,1088.2495275188046,1319.9708290716485,4640.496536179107
2021-06-11 08:00:00,471.6764352844954,5356.431511256573,4184.133679083281,1206.2737813437948,2513.4139510153386,2157.033487772334,4621.702878219716,1072.7485804143785,1301.1692606046483,4574.397641094273
2021-06-11 09:00:00,471.6764352844954,5323.931357983875,4184.133679083281,1206.2737813437948,2498.1638094847185,2143.9456850403058,4621.702878219716,1066.2396773856979,1293.2744148823601,4546.64247907019
2021-06-11 10:00:00,471.6764352844954,5356.5677586878,4184.133679083281,1206.2737813437948,2513.47788279412,2157.0883545751967,4621.702878219716,1072.7758670954693,1301.20235744701,4574.51399653104
2021-06-11 11:00:00,471.6764352844954,5384.507922911074,4184.133679083281,1206.2737813437948,2526.5883273885966,2168.339850978504,4621.702878219716,1078.3715274607844,1307.9895034689785,4598.3749235392825
