reference_coin,trading_coin,trading_type,sharpe_ratio,total_cumulative_return,num_trades
DUSK,ADA,both,2.704003,0.877098,161
RVN,ADA,both,2.668345,0.305428,79
XTZ,ADA,both,2.344450,0.340807,95
KAVA,ALGO,both,3.708881,0.626258,69
RLC,ALGO,both,2.979023,0.258439,40
THETA,ALGO,both,2.126778,1.658296,206
FTT,ANKR,both,3.104953,0.014817,4
FTT,ARPA,both,4.397263,0.065508,4
KAVA,ARPA,both,3.214537,0.506870,49
ANKR,ATOM,both,3.159585,1.969598,171
BCH,ATOM,both,4.902067,0.365948,22
COS,ATOM,both,2.933341,1.820203,153
DUSK,ATOM,both,2.113009,0.990728,178
KAVA,ATOM,both,2.892818,0.387175,67
MTL,ATOM,both,3.280414,1.396695,124
RVN,BAT,both,2.738014,0.465992,87
ANKR,BCH,both,2.929172,0.091254,21
BAND,BCH,both,2.241765,0.065655,25
CHZ,BCH,both,6.202230,0.262123,23
COS,BCH,both,2.282275,0.064848,17
DOGE,BCH,both,5.836804,0.245665,19
FET,BCH,both,4.982066,0.295814,21
FTT,BCH,both,5.185955,0.037495,4
HBAR,BCH,both,3.276322,0.120705,29
ICX,BCH,both,2.537124,0.064593,21
KAVA,BCH,both,2.111242,0.078088,34
MTL,BCH,both,4.534972,0.231859,25
RLC,BCH,both,3.816300,0.168567,26
RVN,BCH,both,3.316832,0.102333,23
THETA,BCH,both,5.329732,0.204007,24
TUSD,BCH,both,3.862430,0.123272,30
USDC,BCH,both,4.598656,0.174879,28
VET,BCH,both,4.118595,0.169039,20
WAN,BCH,both,4.594715,0.198126,26
WIN,BCH,both,5.252337,0.247219,20
XTZ,BCH,both,6.483160,0.257077,23
ZEC,BCH,both,2.245247,0.060017,21
ANKR,BNB,both,2.492785,0.801891,133
KAVA,BNB,both,3.095976,0.320335,55
LINK,BNB,both,2.071838,2.125880,327
TUSD,BNB,both,2.716250,15.526639,598
USDC,BNB,both,3.512108,8.984785,379
BCH,BTC,both,3.322691,0.034696,11
CELR,BTC,both,2.392190,2.070824,235
DUSK,BTC,both,2.319857,0.644159,134
FET,BTC,both,2.182626,1.701008,257
HOT,BTC,both,2.118512,1.445877,219
NKN,BTC,both,2.063115,0.236285,71
RLC,BTC,both,2.372942,0.163347,37
TFUEL,BTC,both,3.221271,1.689816,177
BCH,CELR,both,2.170090,0.097001,23
TUSD,CHZ,both,2.778988,1.270609,118
USDC,CHZ,both,2.491509,1.078034,123
FTT,COS,both,5.724610,0.037380,3
FTT,CVC,both,3.606360,0.044642,10
ARPA,DASH,both,2.075060,0.176031,47
RLC,DASH,both,3.598310,0.414009,36
RLC,DUSK,both,3.175042,0.392764,48
BCH,ENJ,both,3.438928,0.214793,26
BCH,ETC,both,6.746663,0.285677,13
CHZ,ETC,both,2.453888,0.490902,114
RLC,ETC,both,2.877067,0.180751,44
ANKR,ETH,both,2.648617,0.817887,154
BAT,ETH,both,2.105143,1.535284,271
BTC,ETH,both,2.358219,11.006757,276
COS,ETH,both,2.348325,0.612073,127
DENT,ETH,both,2.388659,0.527114,120
DUSK,ETH,both,2.570022,0.727282,158
ENJ,ETH,both,2.044023,1.324474,228
FET,ETH,both,2.630157,2.320213,289
IOTX,ETH,both,2.040308,0.124385,42
KAVA,ETH,both,3.130473,0.269050,52
RLC,ETH,both,2.034488,0.155790,40
TFUEL,ETH,both,2.968865,1.656268,199
WIN,ETH,both,2.286744,0.605186,128
ARPA,FET,both,3.275843,0.710177,45
TUSD,FET,both,2.259987,4.091523,326
USDC,FET,both,2.523431,5.782109,320
ADA,FTT,both,11.004090,0.016617,5
ALGO,FTT,both,28.007576,0.022316,4
ANKR,FTT,both,3.579372,0.005920,4
ARPA,FTT,both,11.640262,0.018010,4
ATOM,FTT,both,12.861974,0.030231,6
BTC,FTT,both,2.075963,0.002175,3
CELR,FTT,both,2.991858,0.005360,5
CHZ,FTT,both,6.143131,0.010993,5
COS,FTT,both,10.226164,0.020039,3
DOGE,FTT,both,2.627120,0.005353,5
DUSK,FTT,both,5.154872,0.007814,8
ENJ,FTT,both,5.675281,0.010281,6
ETH,FTT,both,4.614324,0.006678,5
FUN,FTT,both,12.010790,0.021223,3
HOT,FTT,both,8.903474,0.010987,5
ICX,FTT,both,19.868813,0.020820,3
IOST,FTT,both,16.057976,0.026041,5
IOTX,FTT,both,3.611247,0.007215,5
LINK,FTT,both,4.974848,0.014084,6
LTC,FTT,both,3.783959,0.008580,4
MTL,FTT,both,7.624447,0.013284,4
ONE,FTT,both,10.289025,0.020383,6
ONG,FTT,both,17.462263,0.038521,5
RLC,FTT,both,3.281749,0.011603,6
RVN,FTT,both,7.152120,0.007802,5
STX,FTT,both,27.872199,0.022812,4
TFUEL,FTT,both,20.667573,0.021340,4
THETA,FTT,both,9.267632,0.028448,5
TRX,FTT,both,10.336119,0.023907,4
TUSD,FTT,both,12.032666,0.036356,4
USDC,FTT,both,10.339989,0.032989,4
WAN,FTT,both,28.896224,0.040909,4
WIN,FTT,both,6.087900,0.016476,6
XRP,FTT,both,8.853360,0.022489,5
XTZ,FTT,both,194.187874,0.041274,2
FTT,HBAR,both,7.263650,0.179080,4
DUSK,IOST,both,2.293514,1.200904,171
NKN,IOST,both,3.048133,0.730950,89
RLC,IOST,both,3.694876,0.393248,44
RVN,IOST,both,2.203660,0.495161,92
RLC,IOTA,both,2.881806,0.169437,38
BTC,KAVA,both,2.821363,0.439768,57
DASH,KAVA,both,3.301423,0.633141,58
ETH,KAVA,both,3.437073,0.689260,52
FTT,KAVA,both,10.373958,0.083276,5
ONG,KAVA,both,2.441221,0.398460,57
ZEC,KAVA,both,2.519574,0.478096,63
IOTX,LINK,both,2.608700,0.178980,43
RLC,LINK,both,4.020794,0.292537,41
XTZ,LINK,both,2.340369,0.507614,90
ANKR,LTC,both,2.075009,0.642273,145
BTC,LTC,both,2.296683,9.556516,325
CHZ,LTC,both,2.342362,0.413865,112
IOTX,LTC,both,2.539462,0.180553,45
NKN,LTC,both,2.270357,0.311645,80
RVN,LTC,both,2.922893,0.467764,81
ANKR,NEO,both,2.582468,1.873922,147
FTT,NEO,both,10.205813,0.028444,5
HBAR,NEO,both,2.251324,0.807854,95
RVN,NEO,both,2.704825,1.034140,78
TFUEL,NEO,both,3.312123,6.127852,192
THETA,NEO,both,2.063826,2.456320,273
BCH,QTUM,both,3.505054,0.098436,18
DUSK,QTUM,both,2.122003,0.802555,163
RVN,QTUM,both,2.804132,0.629013,93
TFUEL,QTUM,both,2.856063,3.217835,221
XTZ,QTUM,both,2.550221,0.621188,97
BCH,RVN,both,2.594639,0.170353,23
IOTX,RVN,both,2.718370,0.340769,52
KAVA,RVN,both,3.472868,0.563094,60
BAND,STX,both,2.422525,0.451476,59
BAT,STX,both,3.792858,0.956594,57
BCH,STX,both,3.719165,0.329041,27
CELR,STX,both,2.109776,0.386675,63
COS,STX,both,2.250758,0.420026,58
ENJ,STX,both,2.263713,0.404467,66
FET,STX,both,2.023157,0.385793,70
FTT,STX,both,2.826466,0.022924,4
FUN,STX,both,5.462125,1.666143,56
ICX,STX,both,2.586373,0.360711,57
ONE,STX,both,3.601864,0.740560,62
RLC,STX,both,2.829463,0.407254,42
TFUEL,STX,both,2.542570,0.332148,68
TUSD,STX,both,2.868900,0.468951,56
