Date,STORJ,1INCH,LRC,KNC,SKL,TRU,NEAR,STRAX,DOT,DIA
2022-09-26 09:00:00,4647.673004310501,9390.206626900728,8960.543815369681,7553.4972326511015,4274.336770367415,5527.078768606514,5438.491291985445,4412.711587568063,2466.8394457033005,3624.8389619731574
2022-09-26 10:00:00,4647.673004310501,9477.883626218192,8960.543815369681,7553.4972326511015,4314.246544133684,5527.078768606514,5489.270855869529,4371.890943834777,2489.872493749083,3658.684330432291
2022-09-26 11:00:00,4647.673004310501,9346.973631380923,8960.543815369681,7553.4972326511015,4254.657503468854,5527.078768606514,5413.452197639287,4433.121909434704,2455.481989691775,3608.150016476043
2022-09-26 12:00:00,4647.673004310501,9287.111952131456,8960.543815369681,7553.4972326511015,4227.409010765943,5527.078768606514,5413.452197639287,4461.696360048003,2439.7561215052774,3585.0420108810463
2022-09-26 13:00:00,4647.673004310501,9287.111952131456,8960.543815369681,7553.4972326511015,4227.409010765943,5527.078768606514,5413.452197639287,4461.696360048003,2439.7561215052774,3585.0420108810463
2022-09-26 14:00:00,4647.673004310501,9295.616633406298,8960.543815369681,7553.4972326511015,4231.280264438806,5527.078768606514,5413.452197639287,4457.614295674674,2441.9903304077548,3588.3250163855164
2022-09-26 15:00:00,4647.673004310501,9355.588353621823,8960.543815369681,7553.4972326511015,4258.578846790025,5527.078768606514,5413.452197639287,4429.039845061375,2457.745106732966,3588.3250163855164
2022-09-26 16:00:00,4647.673004310501,9321.224392726976,8960.543815369681,7553.4972326511015,4242.936683900071,5527.078768606514,5413.452197639287,4445.368102554688,2448.717576497032,3588.3250163855164
2022-09-26 17:00:00,4647.673004310501,9287.111952131452,8960.543815369681,7553.4972326511015,4227.409010765944,5527.078768606514,5413.452197639287,4461.696360048002,2439.7561215052774,3588.3250163855164
2022-09-26 18:00:00,4647.673004310501,9278.622818719996,8960.543815369681,7553.4972326511015,4223.5448343392845,5527.078768606514,5413.452197639287,4465.778424421331,2437.5259970797692,3588.3250163855164
2022-09-26 19:00:00,4647.673004310501,9321.224392726976,8960.543815369681,7553.4972326511015,4242.936683900071,5527.078768606514,5413.452197639287,4445.368102554688,2448.717576497032,3588.3250163855164
2022-09-26 20:00:00,4647.673004310501,9364.218970184198,8960.543815369681,7553.4972326511015,4262.507425061971,5527.078768606514,5413.452197639287,4424.957780688047,2460.0123992668523,3588.3250163855164
2022-09-26 21:00:00,4647.673004310501,9321.224392726976,8960.543815369681,7553.4972326511015,4242.936683900071,5527.078768606514,5413.452197639287,4424.957780688047,2448.717576497032,3588.3250163855164
2022-09-26 22:00:00,4647.673004310501,9270.149190575048,8960.543815369681,7553.4972326511015,4219.6877157691115,5527.078768606514,5413.452197639287,4424.957780688047,2435.299945940884,3588.3250163855164
2022-09-26 23:00:00,4647.673004310501,9169.659768454992,8960.543815369681,7553.4972326511015,4173.945843511452,5527.078768606514,5413.452197639287,4424.957780688047,2408.9010305377305,3588.3250163855164
2022-09-27 00:00:00,4647.673004310501,9079.439502396846,8960.543815369681,7553.4972326511015,4132.878397823951,5582.0000571834535,5413.452197639287,4424.957780688047,2385.199857607574,3588.3250163855164
2022-09-27 01:00:00,4647.673004310501,9079.439502396846,8960.543815369681,7553.4972326511015,4110.816769365815,5611.957123679966,5413.452197639287,4424.957780688047,2372.467474026039,3588.3250163855164
2022-09-27 02:00:00,4639.417812473361,9079.439502396846,8960.543815369681,7553.4972326511015,4103.515141001046,5621.942812512135,5413.452197639287,4424.957780688047,2368.2534998270585,3588.3250163855164
2022-09-27 03:00:00,4639.417812473361,9079.439502396846,8960.543815369681,7553.4972326511015,4103.515141001046,5621.942812512135,5413.452197639287,4424.957780688047,2368.2534998270585,3588.3250163855164
2022-09-27 04:00:00,4614.827258697,9127.820174700915,8960.543815369681,7553.4972326511015,4081.76506074839,5651.899879008647,5413.452197639287,4424.957780688047,2355.700919439283,3607.445753595385
2022-09-27 05:00:00,4622.995094553101,9111.693283932895,8960.543815369681,7553.4972326511015,4088.989423687768,5641.914190176476,5413.452197639287,4424.957780688047,2359.8703015975825,3601.072174525429
2022-09-27 06:00:00,4590.496007772411,9176.200847004984,8960.543815369681,7553.4972326511015,4060.2443310783638,5681.856945505159,5413.452197639287,4424.957780688047,2343.280703695315,3626.566490805255
2022-09-27 07:00:00,4570.415097852147,9216.518073925043,8960.543815369681,7586.684830334103,4042.482982298493,5706.821167585587,5437.237136996227,4424.957780688047,2343.280703695315,3642.5004384801464
2022-09-27 08:00:00,4570.415097852147,9224.581519309053,8968.38331127114,7593.322349870702,4038.949343327953,5711.8140120016715,5441.994124867613,4428.82913482688,2345.330818046754,3645.687228015124
2022-09-27 09:00:00,4570.415097852147,9192.327737773008,8937.025327665298,7566.772271724301,4053.1210954098055,5691.842634337329,5422.966173382062,4413.3437182715425,2337.1303606409965,3632.9400698752115
2022-09-27 10:00:00,4570.415097852147,9095.56639316487,8842.951376847768,7487.122037285098,4096.239404935442,5631.928501344305,5365.882318925409,4366.887468605526,2312.5289884237227,3594.698595455472
2022-09-27 11:00:00,4570.415097852147,9160.073956236962,8905.667344059453,7540.222193577901,4067.3926485626566,5671.871256672988,5403.938221896511,4397.858301716204,2328.9299032352387,3620.1929117352984
2022-09-27 12:00:00,4570.415097852147,9152.01051085295,8897.827848157993,7533.5846740413,4070.9762544204204,5666.878412256904,5399.181234025124,4393.9869475773685,2326.879788883799,3617.00612220032
2022-09-27 13:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7487.122037285098,4096.239404935442,5631.928501344305,5365.882318925408,4366.887468605525,2312.5289884237227,3594.698595455471
2022-09-27 14:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4162.664908799258,5542.057301854769,5365.882318925408,4366.887468605525,2275.626930097813,3537.336383825864
2022-09-27 15:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4250.743375130798,5427.221880284805,5365.882318925408,4366.887468605525,2275.626930097813,3464.040224521363
2022-09-27 16:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4290.2117444449195,5427.221880284805,5365.882318925408,4366.887468605525,2254.691999738128,3464.040224521363
2022-09-27 17:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4254.657503468856,5427.221880284805,5365.882318925408,4366.887468605525,2273.5334370618443,3464.040224521363
2022-09-27 18:00:00,4570.415097852147,9152.01051085295,8842.951376847768,7367.646685626295,4254.657503468856,5427.221880284805,5365.882318925408,4366.887468605525,2265.1594649179706,3464.040224521363
