Trading Coin,Total Pairs,PF Mean,PF Median,PF Std,PF Min,PF Max,PF Above 1.0 (%),PF Above 1.2 (%),PF Above 1.5 (%),DD Mean (%),DD Median (%),DD Std (%),DD Best (%),DD Worst (%),DD Better than -10% (%),DD Better than -20% (%),DD Worse than -50% (%)
UTK,135,0.903,0.901,0.021,0.855,0.973,0.000,0.000,0.000,-99.611,-99.795,0.641,-93.521,-99.992,0.000,0.000,100.000
UMA,135,0.899,0.901,0.019,0.838,0.941,0.000,0.000,0.000,-99.775,-99.842,0.237,-98.420,-99.995,0.000,0.000,100.000
FUN,135,0.899,0.900,0.025,0.827,0.964,0.000,0.000,0.000,-99.027,-99.663,1.599,-90.499,-99.997,0.000,0.000,100.000
ONG,135,0.898,0.901,0.022,0.805,0.949,0.000,0.000,0.000,-99.666,-99.838,0.518,-95.977,-100.000,0.000,0.000,100.000
ARDR,135,0.895,0.896,0.031,0.813,0.964,0.000,0.000,0.000,-99.141,-99.574,1.152,-91.302,-99.985,0.000,0.000,100.000
STRAX,135,0.891,0.888,0.029,0.831,0.981,0.000,0.000,0.000,-99.496,-99.839,0.904,-94.253,-99.995,0.000,0.000,100.000
SUN,135,0.887,0.851,0.077,0.785,1.093,8.889,0.000,0.000,-98.146,-99.993,3.288,-82.657,-100.000,0.000,0.000,100.000
JUV,135,0.887,0.888,0.023,0.780,0.937,0.000,0.000,0.000,-99.828,-99.921,0.239,-98.335,-99.995,0.000,0.000,100.000
TROY,135,0.886,0.885,0.021,0.826,0.946,0.000,0.000,0.000,-99.919,-99.989,0.185,-98.478,-100.000,0.000,0.000,100.000
ASR,135,0.884,0.885,0.023,0.778,0.940,0.000,0.000,0.000,-99.905,-99.957,0.132,-99.325,-99.999,0.000,0.000,100.000
AVA,135,0.882,0.881,0.022,0.818,0.938,0.000,0.000,0.000,-99.806,-99.891,0.263,-97.777,-99.998,0.000,0.000,100.000
NMR,135,0.874,0.874,0.019,0.825,0.918,0.000,0.000,0.000,-99.880,-99.929,0.154,-98.939,-99.996,0.000,0.000,100.000
COS,135,0.850,0.852,0.021,0.794,0.923,0.000,0.000,0.000,-99.979,-99.996,0.055,-99.596,-100.000,0.000,0.000,100.000
OXT,135,0.819,0.817,0.024,0.768,0.899,0.000,0.000,0.000,-99.988,-99.995,0.019,-99.887,-100.000,0.000,0.000,100.000
