trading_coin,reference_coin,trade_type,profit_factor,profit_factor_quantile,total_cumulative_return,max_drawdown,last_year_drawdown,num_trades,sharpe_ratio,drawdown_quantile
DOGE,HIVE,long,2.0128,0.0000,12.9254,-0.5794,-0.2994,277,1.2361,0.0000
BNB,DATA,long,1.9484,0.0000,10.3492,-0.2942,-0.2609,285,1.8799,0.0000
BNB,YFI,long,1.9474,0.0000,8.9045,-0.2942,-0.1897,261,1.8221,0.0000
MKR,BNT,long,1.9426,0.0000,12.3460,-0.3255,-0.2751,237,2.4278,0.0000
MKR,ZEC,long,1.9115,0.0000,13.8077,-0.3322,-0.1810,280,2.2463,0.0000
MANA,ETC,long,1.8751,0.0000,6.2800,-0.4484,-0.2992,219,1.3058,0.0000
BNB,STORJ,long,1.8375,0.0000,7.2902,-0.2782,-0.2316,280,1.6912,0.0000
DOGE,KNC,short,1.8309,0.0000,10.6575,-0.5690,-0.1660,274,1.9767,0.0000
MKR,NEO,long,1.8259,0.0000,11.9433,-0.4739,-0.2518,266,2.1023,0.0000
IOST,COTI,short,1.8180,0.0000,9.7221,-0.4162,-0.2272,253,2.6384,0.0000
BNB,DENT,long,1.7989,0.0000,14.9731,-0.2422,-0.2422,446,1.8373,0.0000
ETC,CKB,long,1.7849,0.0000,5.8103,-0.5570,-0.3000,264,1.1994,0.0000
MKR,DASH,long,1.7743,0.0000,9.8940,-0.2946,-0.1913,264,1.9050,0.0000
FIL,COS,short,1.7562,0.0000,9.4763,-0.2934,-0.2132,322,2.3600,0.0000
FIL,ASR,short,1.7531,0.0000,12.1356,-0.2703,-0.2703,332,2.3135,0.0000
FIL,CELO,short,1.7475,0.0000,8.2036,-0.4840,-0.2230,271,2.3312,0.0000
RUNE,ONG,short,1.7440,0.0000,23.3032,-0.5308,-0.2586,331,2.4826,0.0000
BAL,ONT,short,1.7355,0.0000,8.3710,-0.2680,-0.1256,245,2.6460,0.0000
MKR,LTC,long,1.7339,0.0000,7.9473,-0.2970,-0.2970,263,1.7850,0.0000
