Reference Coin,Trading Coin,Number of Trades,Profit Factor,Total Cummulative Return,Max DrawDown,Sharpe Ratio,Mean Exit Hour,STD Exit Hour
1INCH,AAVE,980,1.064754506220118,2.786925672350328,-0.5594494686210106,0.229932044757729,11.397614314115309,7.220278704873495
1INCH,ADA,961,1.0134755373851585,0.5143351410058579,-0.8268765782997721,0.042353850489404,11.334008097165992,7.235797961376847
1INCH,ALGO,1008,0.9640965207851887,-1.617953823489865,-0.9353357626770104,-0.12951145417805285,11.098646034816248,7.0267993436513265
1INCH,ANKR,997,1.0185464476948445,0.9269666278868478,-0.8668904037148228,0.060896135432257456,11.027184466019417,7.157975527527075
1INCH,ARDR,1162,0.8935266600046643,-5.426431905598915,-0.9961859432832216,-0.34701310008455477,11.419031719532555,7.610921460787109
1INCH,ARPA,1098,0.9735887293693961,-1.4100817523656446,-0.8416989720862995,-0.090546220058603,11.186291739894552,6.874920367729747
1INCH,ASR,1317,0.9133389828756556,-5.557215147836711,-0.996974497403276,-0.27989810318169306,11.837719298245615,6.941186395918021
1INCH,ATM,1283,0.9853255080524614,-0.8641598739812244,-0.8984815816253787,-0.04574255002105476,11.143939393939394,6.955453942129595
1INCH,ATOM,1053,1.0166382217234227,0.8332753796659327,-0.8074817260147696,0.0619428292134963,11.353703703703705,6.94738276324145
1INCH,AUDIO,1061,1.0373827192977862,2.2189146857859994,-0.7410248782642106,0.1298178740490429,11.392335766423358,7.22865613295565
1INCH,AVA,1341,0.8912807559422716,-5.887586905288604,-0.9982588491652244,-0.38603671047131677,10.98989898989899,6.823214506642382
1INCH,AVAX,1032,0.9888053002409347,-0.5981086054781559,-0.9852521149664439,-0.0348660833087426,11.441509433962263,6.795512640428582
1INCH,AXS,1070,1.0119383877146315,0.7116474472830121,-0.8141361338686046,0.04131909085736626,11.073873873873874,7.1613648502474385
1INCH,BAL,1063,1.0323338216516758,1.3398218899390735,-0.5919081095002272,0.12154854035431768,11.22920517560074,7.0226589032066755
1INCH,BAND,1048,1.0004050265042732,0.020374517734297215,-0.9152108166756694,0.00144273785645837,10.979591836734693,6.747817423566821
1INCH,BAT,993,1.0224907140722694,0.9424286197043689,-0.7449812421053668,0.07576209536831863,11.379174852652259,7.023837260997201
1INCH,BCH,1014,1.030064986247138,0.9932123342777848,-0.5768760065191251,0.10530804656601153,11.165067178502879,7.207341906087681
1INCH,BEL,1065,1.0219083265738231,1.2054497411400078,-0.872505525939047,0.07271524634389508,10.742230347349178,6.959150099546286
1INCH,BNB,1018,1.0405202980669814,1.3549620144356531,-0.6846778971708708,0.12700307606586808,10.385796545105567,6.959422900261224
1INCH,BNT,940,0.9536769706231214,-1.370277131851076,-0.8638004510433004,-0.1573602578616427,11.620041753653444,6.841120990007896
1INCH,BTC,1029,0.990308482015501,-0.24132159978374546,-0.5629500105350514,-0.03513336200731367,11.581439393939394,6.907974396172841
1INCH,CELO,1107,0.9531680192083127,-2.655099070717168,-0.9646532456984298,-0.1595432970801556,11.312280701754386,7.200177457670525
1INCH,CELR,1059,0.9822469091662808,-1.0843878938332825,-0.9675861826335997,-0.06378621544763831,11.271062271062272,6.85229256270648
1INCH,CHR,1032,1.0434585940647843,2.7302305476012108,-0.8821313850398899,0.14765618063168742,10.397338403041825,7.123931000677092
1INCH,CHZ,1037,1.0148005642457953,0.8048304634771528,-0.8434273627109202,0.04931078838985379,11.37196261682243,7.109494026789244
1INCH,CKB,1138,0.9593885626271542,-1.9982304815732221,-0.9440706948145624,-0.1392626113990121,11.144082332761577,6.9259580805413385
1INCH,COMP,1008,1.0196830414347795,0.8442592833862261,-0.7341435630712637,0.07284177476198386,11.477669902912622,7.074161511942571
1INCH,COS,1247,0.8695876391757951,-7.672858728999414,-0.9996034419814189,-0.44505188415934765,11.291021671826625,6.985842596568128
1INCH,COTI,1025,0.9986623959007052,-0.07611008113087703,-0.7658886692688536,-0.0047251107738017165,10.971209213051823,6.782977582238181
1INCH,CRV,1066,1.0225209858651936,1.2138336542430843,-0.9016379466198305,0.08310810622624831,11.424632352941176,6.743513345451118
1INCH,CTK,1117,0.9469848059949937,-2.7657784618463754,-0.9841405123785041,-0.18529060321614899,11.129597197898423,6.906189673211857
1INCH,CTSI,1139,0.947374720332126,-3.28652989199204,-0.9735178608274558,-0.15469648683524176,11.01522842639594,6.791927279980735
1INCH,CTXC,1183,1.0357415779734331,2.3353824601166,-0.8569963655420312,0.11354182518503093,11.269168026101141,6.835435744927187
1INCH,DASH,993,1.033575506686212,1.2513523634234067,-0.7469172618422327,0.11480078065959996,11.001968503937007,6.976290932193387
1INCH,DATA,1202,0.9911982344760848,-0.511422870193462,-0.8687013739242936,-0.03005484960247752,11.585365853658537,6.910699382044845
1INCH,DCR,1222,0.9643294143699478,-1.6114922885725829,-0.8946851291820112,-0.12388282644523486,11.2032,7.004942577410646
1INCH,DENT,1050,0.9807852227275874,-1.1154841358856973,-0.941671298410813,-0.05994528177386052,10.798148148148147,6.932352449128581
1INCH,DGB,1046,0.9835731648225409,-0.7653143212862181,-0.8356403703756805,-0.05636987827720515,11.288930581613508,6.9910663576167416
1INCH,DIA,1174,0.9363211540261875,-3.5214257181534188,-0.9822161745862023,-0.2212242346281807,11.06301824212272,6.798427278896501
1INCH,DOGE,1008,1.0293769360117906,1.4822121473107386,-0.8149895426671416,0.07533061398768032,11.252390057361376,7.068992855102827
1INCH,DOT,987,0.9671790266481524,-1.2545484084149947,-0.9456061577274877,-0.1085400497338449,11.583333333333334,6.819819671945358
